SMILES_KnowItAll_2018,DATASOURCE_REGID,SUBSTANCE_COMMENT,SUBSTANCE_URL,InChI_1.05_KnowItAll 2018
C1C[C@@]2(C[C@@]3([C@]1(C2(C)C)CS(N3)(=O)=O)[H])[H],UALIB-2406,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C10H17NO2S/c1-9(2)7-3-4-10(9)6-14(12,13)11-8(10)5-7/h7-8,11H,3-6H2,1-2H3/t7-,8-,10-/m1/s1"
C1C[C@@]2(C[C@@]3([C@]1(C2(C)C)CS(N3C(=O)\C=C\B1OC(C(O1)(C)C)(C)C)(=O)=O)[H])[H],UALIB-2407,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C19H30BNO5S/c1-16(2)13-7-9-19(16)12-27(23,24)21(14(19)11-13)15(22)8-10-20-25-17(3,4)18(5,6)26-20/h8,10,13-14H,7,9,11-12H2,1-6H3/b10-8+/t13-,14-,19-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)c1ccccc1)(O)[H])[H])[H])C2(C)C)[H],UALIB-2408,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C19H22N2O5S/c1-18(2)12-8-9-19(18)13(10-12)21(27(19,24)25)17(23)16-15(22)14(20-26-16)11-6-4-3-5-7-11/h3-7,12-13,15-16,22H,8-10H2,1-2H3/t12-,13-,15-,16-,19-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)c1ccc(cc1)OC)(O)[H])[H])[H])C2(C)C)[H],UALIB-2409,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C20H24N2O6S/c1-19(2)12-8-9-20(19)14(10-12)22(29(20,25)26)18(24)17-16(23)15(21-28-17)11-4-6-13(27-3)7-5-11/h4-7,12,14,16-17,23H,8-10H2,1-3H3/t12-,14-,16-,17-,20-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)c1ccc(cc1)Br)(O)[H])[H])[H])C2(C)C)[H],UALIB-2410,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C19H21BrN2O5S/c1-18(2)11-7-8-19(18)13(9-11)22(28(19,25)26)17(24)16-15(23)14(21-27-16)10-3-5-12(20)6-4-10/h3-6,11,13,15-16,23H,7-9H2,1-2H3/t11-,13-,15-,16-,19-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)C)(O)[H])[H])[H])C2(C)C)[H],UALIB-2411,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C14H20N2O5S/c1-7-10(17)11(21-15-7)12(18)16-9-6-8-4-5-14(9,13(8,2)3)22(16,19)20/h8-11,17H,4-6H2,1-3H3/t8-,9-,10-,11-,14-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)C(C)(C)C)(O)[H])[H])[H])C2(C)C)[H],UALIB-2412,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C17H26N2O5S/c1-15(2,3)13-11(20)12(24-18-13)14(21)19-10-8-9-6-7-17(10,16(9,4)5)25(19,22)23/h9-12,20H,6-8H2,1-5H3/t9-,10-,11+,12-,17-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)C(OCC)=O)(O)[H])[H])[H])C2(C)C)[H],UALIB-2413,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C16H22N2O7S/c1-4-24-14(21)10-11(19)12(25-17-10)13(20)18-9-7-8-5-6-16(9,15(8,2)3)26(18,22)23/h8-9,11-12,19H,4-7H2,1-3H3/t8-,9-,11-,12-,16-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)Br)(O)[H])[H])[H])C2(C)C)[H],UALIB-2414,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C13H17BrN2O5S/c1-12(2)6-3-4-13(12)7(5-6)16(22(13,19)20)11(18)9-8(17)10(14)15-21-9/h6-9,17H,3-5H2,1-2H3/t6-,7-,8+,9-,13-/m1/s1"
C1[C@]2(CC[C@@]3([C@@]1(N(S3(=O)=O)C(=O)[C@]1([C@@](\C(=N/O1)COCc1ccccc1)(O)[H])[H])[H])C2(C)C)[H],UALIB-2415,"Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=837909,"InChI=1S/C21H26N2O6S/c1-20(2)14-8-9-21(20)16(10-14)23(30(21,26)27)19(25)18-17(24)15(22-29-18)12-28-11-13-6-4-3-5-7-13/h3-7,14,16-18,24H,8-12H2,1-2H3/t14-,16-,17-,18-,21-/m1/s1"
