SMILES_KnowItAll_2018,DATASOURCE_REGID,SUBSTANCE_COMMENT,SUBSTANCE_URL,InChI_1.05_KnowItAll 2018
OC1([C@@]2([C@]1([C@]1(CC[C@@]2(C1)[H])[H])[H])[H])C,UALIB-2573,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C9H14O/c1-9(10)7-5-2-3-6(4-5)8(7)9/h5-8,10H,2-4H2,1H3/t5-,6+,7+,8-,9?"
[C@@]12(\C=C/[C@@](C2)(CC([C@@]1(CCO[Si](C(C)C)(C(C)C)C(C)C)[H])=O)[H])[H].[C@@]12(\C=C/[C@@](C2)(CC([C@]1(CCO[Si](C(C)C)(C(C)C)C(C)C)[H])=O)[H])[H],UALIB-2574,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/2C19H34O2Si/c2*1-13(2)22(14(3)4,15(5)6)21-10-9-18-17-8-7-16(11-17)12-19(18)20/h2*7-8,13-18H,9-12H2,1-6H3/t16-,17+,18+;16-,17+,18-/m00/s1"
[C@@]12(\C=C/[C@@]([C@]3(C([C@@]2(CCC3)[H])=O)[H])(C11CC1)[H])[H],UALIB-2575,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C13H16O/c14-12-8-2-1-3-9(12)11-5-4-10(8)13(11)6-7-13/h4-5,8-11H,1-3,6-7H2/t8-,9+,10-,11+"
[C@]12(\C=C/[C@]([C@@]3([C@]([C@]2(CCC3)[H])([H])O[Si](C(C)C)(C(C)C)C(C)C)[H])(C11CC1)[H])[H],UALIB-2576,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C22H38OSi/c1-14(2)24(15(3)4,16(5)6)23-21-17-8-7-9-18(21)20-11-10-19(17)22(20)12-13-22/h10-11,14-21H,7-9,12-13H2,1-6H3/t17-,18+,19-,20+,21+"
C1(C[C@]2([C@]3([C@@]([C@@]([C@@]1(C21CC1)[H])(CCC3)[H])([H])O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])=O,UALIB-2577,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C22H38O2Si/c1-13(2)25(14(3)4,15(5)6)24-21-16-8-7-9-17(21)20-19(23)12-18(16)22(20)10-11-22/h13-18,20-21H,7-12H2,1-6H3/t16-,17+,18-,20-,21+/m0/s1"
[C@@]12([C@]3([C@@]([C@@]([C@@](C(=O)\C(=C/2)Cl)(C11CC1)[H])(CCC3)[H])([H])O[Si](C(C)C)(C(C)C)C(C)C)[H])[H],UALIB-2578,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C23H37ClO2Si/c1-13(2)27(14(3)4,15(5)6)26-22-16-8-7-9-17(22)20-21(25)19(24)12-18(16)23(20)10-11-23/h12-18,20,22H,7-11H2,1-6H3/t16-,17+,18-,20-,22+/m0/s1"
O[C@@]1([C@@]2([C@@]3([C@]([C@]([C@@](C22CC2)(\C=C/1)[H])(CCC3)[H])([H])O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])C,UALIB-2579,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C24H42O2Si/c1-15(2)27(16(3)4,17(5)6)26-21-18-9-8-10-19(21)22-23(7,25)12-11-20(18)24(22)13-14-24/h11-12,15-22,25H,8-10,13-14H2,1-7H3/t18-,19-,20-,21+,22-,23-/m0/s1"
OC12C3C4C5(C([C@](C)(CC4)O1)C2CCC3)CC5,UALIB-2580,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H22O2/c1-13-6-5-9-10-3-2-4-11(15(10,16)17-13)12(13)14(9)7-8-14/h9-12,16H,2-8H2,1H3/t9?,10?,11?,12?,13-,15?/m0/s1"
O[C@@]1([C@@]2([C@@]3(C([C@]([C@@](C22CC2)(\C=C/1Cl)[H])(CCC3)[H])=O)[H])[H])C,UALIB-2581,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H19ClO2/c1-14(18)11(16)7-10-8-3-2-4-9(12(8)17)13(14)15(10)5-6-15/h7-10,13,18H,2-6H2,1H3/t8-,9-,10-,13-,14-/m0/s1"
C12[C@]3(C)\C(=C/C([C@](CCCC2C(=O)O3)(I)[H])C11CC1)Cl,UALIB-2582,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H18ClIO2/c1-14-11(16)7-9-10(17)4-2-3-8(13(18)19-14)12(14)15(9)5-6-15/h7-10,12H,2-6H2,1H3/t8?,9?,10-,12?,14-/m0/s1"
C12[C@]3(C)\C(=C/C([C@@](CCCC2C(=O)O3)(I)[H])C11CC1)Cl,UALIB-2583,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H18ClIO2/c1-14-11(16)7-9-10(17)4-2-3-8(13(18)19-14)12(14)15(9)5-6-15/h7-10,12H,2-6H2,1H3/t8?,9?,10-,12?,14+/m1/s1"
C12[C@]3(C)CCC([C@@](CCCC2C(=O)O3)(I)[H])C11CC1,UALIB-2584,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H21IO2/c1-14-6-5-10-11(16)4-2-3-9(13(17)18-14)12(14)15(10)7-8-15/h9-12H,2-8H2,1H3/t9?,10?,11-,12?,14+/m1/s1"
C12[C@]3(C)CC\C(=C\CCCC2C(=O)O3)C11CC1,UALIB-2585,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H20O2/c1-14-7-6-10-4-2-3-5-11(13(16)17-14)12(14)15(10)8-9-15/h4,11-12H,2-3,5-9H2,1H3/b10-4-/t11?,12?,14-/m0/s1"
OC12C3C4CC[C@](C(C1CC(C3)O)C41CC1)(C)O2,UALIB-2586,"Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.",http://library.ua.edu/vwebv/holdingsInfo?bibId=882951,"InChI=1S/C15H22O3/c1-13-3-2-9-10-6-8(16)7-11(15(10,17)18-13)12(13)14(9)4-5-14/h8-12,16-17H,2-7H2,1H3/t8?,9?,10?,11?,12?,13-,15?/m0/s1"
