SMILES_KnowItAll_2018,DATASOURCE_REGID,SUBSTANCE_COMMENT,SUBSTANCE_URL
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H],UALIB-970,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H],UALIB-971,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H],UALIB-972,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](O)(CO)[H])[H],UALIB-973,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](O)(CO)[H])[H],UALIB-974,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2(\C([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(NCCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])=C\C(=O)OCC)[H],UALIB-975,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CC(=O)OCC)[H],UALIB-976,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H],UALIB-977,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H],UALIB-978,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H],UALIB-979,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-980,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCO)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-981,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/[Sn](CCCC)(CCCC)CCCC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-982,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/I)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(O)[H])(O)[H])[H],UALIB-983,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]34[C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N4CCC\C=C/C\C=C/C#C[C@]([C@@]3(O)[H])(O)[H])=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[H],UALIB-984,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])C=O)[H],UALIB-985,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C=C)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C=C)(O)[H])[H],UALIB-986,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
