SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)(C)[C@@H]1CC[C@@H](CC1)C(O)=O |o1:4,7|	UALIB-378	cis-4-tert-Butylcyclohexanecarboxylic Acid	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	QVQKEGYITJBHRQ-DTORHVGOSA-N
CC(C)(C)[C@H]1CC[C@@H](CC1)C(O)=O |o1:4,7|	UALIB-379	trans-4-tert-Butylcyclohexanecarboxylic Acid	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	QVQKEGYITJBHRQ-KYZUINATSA-N
CC(C)(C)[C@@H]1CC[C@H](CO)CC1 |o1:4,7|	UALIB-380	cis-4-tert-Butylcyclohexylmethanol	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	GGWBQKOXLMPNMS-AOOOYVTPSA-N
CC(C)(C)[C@@H]1CC[C@H](COC(=O)NC2=C3C=CC=CC3=CC=C2)CC1 |o1:4,7,c:13,15,17,20,22|	UALIB-381	cis-4-tert-Butylcyclohexylmethyl-N-1-naphthylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	JSHLOLKPUDSUMJ-MAEOIBBWSA-N
CC(C)(C)[C@@H]1CC[C@H](COC(=O)NC2=CC=CC=C2)CC1 |o1:4,7,c:15,17,t:13|	UALIB-382	cis-4-tert-Butylcyclohexylmethyl-N-phenylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	BUKMQWIEAVXWNQ-GASCZTMLSA-N
CC(C)(C)[C@H]1CC[C@H](CO)CC1 |o1:4,7|	UALIB-383	trans-4-tert-Butylcyclohexylmethanol	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	GGWBQKOXLMPNMS-MGCOHNPYSA-N
CC(C)(C)[C@H]1CC[C@H](COC(=O)C2=CC=CC=C2C(O)=O)CC1 |o1:4,7,c:14,16,t:12|	UALIB-384	trans-4-tert-Butylcyclohexylmethyl hydrogen phthalate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	OGNXZQCOIWVBHO-HDJSIYSDSA-N
CC(C)(C)[C@H]1CC[C@H](COC(=O)NC2=C3C=CC=CC3=CC=C2)CC1 |o1:4,7,c:13,15,17,20,22|	UALIB-385	trans-4-tert-Butylcyclohexylmethyl-N-1-naphthylcarbamate	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	JSHLOLKPUDSUMJ-SAABIXHNSA-N
CC(C)(C)[C@@H]1CC[C@H](CBr)CC1 |o1:4,7|	UALIB-386	cis-4-tert-Butylcyclohexylmethyl Bromide	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	OXGDKDFWZLJUSQ-AOOOYVTPSA-N
CC(C)(C)[C@H]1CC[C@H](CBr)CC1 |o1:4,7|	UALIB-387	trans-4-tert-Butylcyclohexylmethyl Bromide	Williams, G.C. Comparative Reactivities of Axial and Equatorial Carbinol Derivatives. Ph.D. Thesis, The University of Alabama, 1961.	https://ir.ua.edu/handle/123456789/6414	OXGDKDFWZLJUSQ-MGCOHNPYSA-N
