SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC1(C)CC(=O)CC(=O)C1	UALIB-890	5,5-Dimethyl-1,3-cyclohexanedione	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	BADXJIPKFRBFOT-UHFFFAOYSA-N
CC1(C)CC(=O)C(C)(C)C(=O)C1	UALIB-891	2,2,5,5-Tetramethyl-1,3-cyclohexanedione	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	RMYOPLPHLGBSCY-UHFFFAOYSA-N
CC1(C)C[C@H](O)C(C)(C)[C@H](O)C1 |o1:4,9,r|	UALIB-892	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	XONJWJKVJONLNF-OCAPTIKFSA-N
CC1(C)C[C@@H](O)C(C)(C)[C@H](O)C1 |o1:4,9,r|	UALIB-893	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	XONJWJKVJONLNF-HTQZYQBOSA-N
CC1=CC=C(C=C1)S(=O)(=O)O[C@@H]1CC(C)(C)C[C@@H](OS(=O)(=O)C2=CC=C(C)C=C2)C1(C)C |o1:11,17,r,c:3,5,28,t:1,23,25|	UALIB-894	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-p-toluenesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	HDIVNFGTFYEQSP-FGZHOGPDSA-N
CC1=CC=C(C=C1)S(=O)(=O)O[C@@H]1CC(C)(C)C[C@H](OS(=O)(=O)C2=CC=C(C)C=C2)C1(C)C |o1:11,17,r,c:3,5,28,t:1,23,25|	UALIB-895	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-p-toluenesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	HDIVNFGTFYEQSP-SZPZYZBQSA-N
CC1(C)C[C@@H](OS(C)(=O)=O)C(C)(C)[C@@H](C1)OS(C)(=O)=O |o1:4,13,r|	UALIB-896	trans-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-methanesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	LCROYCVZXOXYLQ-NXEZZACHSA-N
CC1(C)C[C@@H](OS(C)(=O)=O)C(C)(C)[C@H](C1)OS(C)(=O)=O |o1:4,13,r|	UALIB-897	cis-2,2,5,5-Tetramethyl-1,3-cyclohexanediol bis-methanesulfonate	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	LCROYCVZXOXYLQ-AOOOYVTPSA-N
CC(C)=CCC(C)(C)CC=O	UALIB-898	3,3,6-Trimethyl-5-heptenal	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	QWBRMOIHXYKAFG-UHFFFAOYSA-N
COC1CC(C)(C)C=CC1(C)C	UALIB-899	4-methoxy-3,3,6,6-tetramethylcyclohexene	Payne, L.B. Mechanism Studies of the Retropinacol Reaction. Ph.D. Thesis, The University of Alabama, 1962.	https://ir.ua.edu/handle/123456789/6561	OVFGZCMSTIEVPJ-UHFFFAOYSA-N
