SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
ClCC1=CCCCC1	UALIB-378	1-Chloromethylcyclohexene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	PZCCSJYFXQXAST-UHFFFAOYSA-N
CC(=C)CCC(C)=O	UALIB-379	5-oxo-2-methylhexene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	VBCIOOKAKHGVMI-UHFFFAOYSA-N
CC(=O)CCC1(C)CO1	UALIB-380	2-Methyl-2-(3-butanonyl)oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	GJTIGQZURAGZCN-UHFFFAOYSA-N
CC(=C)CCC1(C)CO1	UALIB-381	2-Methyl-2-(2-methylbut-l-en-4-yl) oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	ROTNGJJFLIIVDI-UHFFFAOYSA-N
CC1(CCC2(C)OCOO2)CO1	UALIB-382	3-methyl-3-[2-(2-methyloxiranyl)ethyl]-1,2,4-trioxalane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	RWWZCYVWUPIIPT-UHFFFAOYSA-N
COC(C)(CCC1(C)CO1)OO	UALIB-383	2-methyl-1-(3-hydroperoxy-3-alkoxybut-1-yl)oxirane	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	AOKNEHYHBQJHJE-UHFFFAOYSA-N
[H]OOC1CCCCO1	UALIB-384	Tetrahydro-2H-pyran-2-ylhydroperoxide	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	XYISQAQXKGUAET-UHFFFAOYSA-N
[H]OOC1CCCO1	UALIB-385	Tetrahydro-2-furanylhydroperoxide	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	JSZPBTUOIOMFMS-UHFFFAOYSA-N
CC(CCC(C)=O)C(O)=O	UALIB-386	5-Oxo-2-methylhexanoic acid	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	RJKCQJNOJDMYEM-UHFFFAOYSA-N
COC(=O)C(C)CCC(C)(OC)OC	UALIB-387	Methyl 5,5-dimethoxy-2-methylhexanoate	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	KMJVGQLTNNGPRR-UHFFFAOYSA-N
CO\C(O[Si](C)(C)C)=C(\C)CCC(C)(OC)OC.CO\C(O[Si](C)(C)C)=C(/C)CCC(C)(OC)OC	UALIB-388	1,5,5-Trimethoxy-2-methyl-1-trimethylsiyloxyhex-l-ene	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	VVZWRMCLGWCGQO-ZGMWKFTRSA-N
COC(=O)C(C)(CC(C)(OC)OC)OO[Si](C)(C)C	UALIB-389	Methyl 5,5-dimethoxy-2-methyl-2-trimethylsilylperoxy hexanoate	Muse, D.E. Approaches to the synthesis of qinghaosu. M.S. Thesis, The University of Alabama, 1984.	https://ir.ua.edu/handle/123456789/6347	UIDOMQPFBOYFEQ-UHFFFAOYSA-N
