SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O[Si](C)(C)C(C)(C)C)N1C=NC2=C(N)N=CN=C12	UALIB-2180	2, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	YLKVHYZMEPCMDO-XNWPKKHHSA-N
CC(C)(C)[Si](C)(C)OC[C@H]1O[C@H]([C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O)N1C=NC2=C(N)N=CN=C12	UALIB-2181	3, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	XERXHSJOIUTEBZ-DFYYWFRZSA-N
CC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2182	4a, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	FWMPWRPYRSFWHH-NSAZKJPHSA-N
CCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2183	4b, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	HSQMXDIYGXXWBG-LOODEUFTSA-N
CCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2184	4c, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	IFBXVKDHZLOGQT-JWIQCUOBSA-N
CCCCC(=O)O[C@H]1[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](CO[Si](C)(C)C(C)(C)C)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2185	4d, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	AILVPSMFGMKWRW-LLHPUKMZSA-N
CC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2186	5a, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	WEPFJYPAGFIIKF-QRKAXHLRSA-N
CCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2187	5b, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	ZJGJHHKPRTUHSO-FAYBLGNRSA-N
CCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2188	5c, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	ZFVXOVJSEIPINR-BKWHQTBESA-N
CCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=CN=C12	UALIB-2189	5d, Figure 9	Waites, W.J. Synthesis and evaluation of a series of 2'-O-Acyl derivatives of 9-(Beta-D-arabinofuranosyl)adenine as antiherpes agents. M.S. Thesis, The University of Alabama, 1984.	http://library.ua.edu/vwebv/holdingsInfo?bibId=295348	GCTYFBHNQFEDDZ-UPSWMWPXSA-N
