SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(=O)OC[C@H]1O[C@H](C(Cl)[C@@H]1OC(C)=O)N1C=NC2=C1N=CN(C[C@H]2OC(C)=O)C(C)=O	UALIB-2655	part 1, 32	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	VRYXIZHEHYABHD-APEATWRNSA-N
CC(=O)OC[C@H]1OC(OC(C)=O)C(OC(C)=O)[C@@H]1OC(C)=O	UALIB-2656	part 1, 35	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	IHNHAHWGVLXCCI-OKZRHMCRSA-N
CC(=O)OCC1=CC(Cl)=C(O1)C(C)=O	UALIB-2657	part 1, 36	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	WHDMCHMZRKQHCL-UHFFFAOYSA-N
CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C.CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2658	part 1, 40 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	IZTIVMUKISWAHA-IEIMAZEQSA-N
CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1OC(C)=O)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2659	part 1, 43 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	YAJVBBNLIGDLOB-UAFMIMERSA-N
CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1Cl)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2660	part 1, 41 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	ITWADOHIPMJFMT-XMTFNYHQSA-N
CC(=O)OC[C@H]1O[C@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O.CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@@H](Cl)[C@@H]1OC(C)=O	UALIB-2661	part 1, 42 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	LEBOMMPSQJTDCT-RIIILGHTSA-N
CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C.CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1O)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2662	part 1, 47 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	IZTIVMUKISWAHA-CDXBVUHXSA-N
CO[C@@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@@H]1OC(C)=O)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2663	part 1, 49 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	YAJVBBNLIGDLOB-YSTOQKLRSA-N
CO[C@H]1O[C@@H]2CO[Si](O[Si](O[C@H]2[C@H]1Cl)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2664	part 1, 48 	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	ITWADOHIPMJFMT-TVFCKZIOSA-N
COC1O[C@H](CCl)[C@H]2O[Si](O[Si](O[C@H]12)(C(C)C)C(C)C)(C(C)C)C(C)C	UALIB-2665	part 1, 51 (beta)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	KDFRICQVWKCDOT-HRBLRVMOSA-N
CC(=O)O[C@H]1O[C@H](CCl)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.CC(=O)O[C@@H]1O[C@H](CCl)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	UALIB-2666	part 1, 52 (anomeric mixture)	Smal, E. Synthesis, biosynthesis and studies related to compounds of interest in cancer chemotherapy. Ph.D. Thesis, The University of Alabama, 1985.	http://library.ua.edu/vwebv/holdingsInfo?bibId=424136	YWVZMFZHGMBNHT-OBRDZNJISA-N
