SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
N#C[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2587	part 1, 30	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	PQATZWNKXOJHJA-FPCALVHFSA-N
N#C[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2588	part 1, 31	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	PQATZWNKXOJHJA-FICKONGGSA-N
NC(=S)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2589	part 1, 32	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	YUXQXDRXPDLDEK-XPGKHFPBSA-N
NC(=S)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2590	part 1, 33	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	YUXQXDRXPDLDEK-FXSWLTOZSA-N
CCOC(=O)C1=CSC(=N1)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2591	part 1, 34	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	QCOPJOJHYMEYAX-XAZDILKDSA-N
CCOC(=O)C1=CSC(=N1)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2592	part 1, 35	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	QCOPJOJHYMEYAX-GKIKGMKOSA-N
CCOC(=O)C1=CSC(=N1)C1=CC=C(COCC2=CC=CC=C2)O1	UALIB-2593	part 1, 36	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	JNDQOQLCRRSGQP-UHFFFAOYSA-N
NC(=O)C1=CSC(=N1)[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2594	part 1, 37	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	KJYSNBSKZNOFRD-VIJSPRBVSA-N
NC(=O)C1=CSC(=N1)[C@@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@@H]1OCC1=CC=CC=C1	UALIB-2595	part 1, 38	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	KJYSNBSKZNOFRD-ZZXHUEHTSA-N
NC(=O)C1=CSC(=N1)[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	UALIB-2596	part 1, 39	Jiang, C. Design, synthesis, and biological evaluation of compounds of interest in the chemotherapy of cancer. Ph.D. Thesis, The University of Alabama, 1987.	http://library.ua.edu/vwebv/holdingsInfo?bibId=552496	FVRDYQYEVDDKCR-JWXFUTCRSA-N
