SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)(C)[Si](OC[C@H]1OC(=O)[C@H](O[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)[C@@H]1O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2699	10	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	KQLMXZKOTBTQIW-WDUIFATLSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)[C@H](O)[C@@H]1O)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2700	11	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	GVSOPBYAWJJMGA-GUDVDZBRSA-N
CC1(C)O[C@@H]2[C@@H](CO)OC(=O)[C@@H]2O1	UALIB-2701	12	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	NHHKFJCWLPPNCN-HSUXUTPPSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)[C@@H]2OC(C)(C)O[C@H]12)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2702	13	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	DPXUCVYKYWELST-NJDAHSKKSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)[C@@H]2OC(=S)O[C@H]12)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2703	14	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	NXMRNKMESGJKCD-GUDVDZBRSA-N
CC[C@H]1CC(=O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2704	15b	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	YBBVSXFNQJPUOC-GHTZIAJQSA-N
CCC[C@H]1CC(=O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2705	15c	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	MDWMCPRPHXCLFF-SIKLNZKXSA-N
CCCC[C@H]1CC(=O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2706	15d	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	UYSALNBKFYCDKY-NZQKXSOJSA-N
C[C@H]1C[C@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C.C[C@H]1C[C@@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2707	16a (mixture of anomers)	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	YIOXRHFYJQKWBV-YTQPKUDQSA-N
CC[C@H]1C[C@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C.CC[C@H]1C[C@@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2708	16b (mixture of anomers)	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	YMZNDWHXKGJLLL-ZOPYMGJVSA-N
CCC[C@H]1C[C@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C.CCC[C@H]1C[C@@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2709	16c (mixture of anomers)	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	NUWDQONQLFTHAD-TZNBMJSFSA-N
CCCC[C@H]1C[C@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C.CCCC[C@H]1C[C@@H](O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2710	16d (mixture of anomers)	Agyei-Aye, K. Synthesis of potential antiviral nucleosides. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588965	MOJLSQRPVPXFMP-MJFUTUQRSA-N
