SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CO\C(O[Si](C)(C)C(C)(C)C)=C\C=C	UALIB-2306	84	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	AYUCMORHKFSWMF-KTKRTIGZSA-N
CO\C(O[Si](C(C)C)(C(C)C)C(C)C)=C\C=C	UALIB-2307	85	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	ANTFXEZEDVDHGD-UVTDQMKNSA-N
CC(C)(C)O\C(O[Si](C)(C)C(C)(C)C)=C\C=C	UALIB-2308	86	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	CHCXKYIWKQONBG-QXMHVHEDSA-N
CC(C)[Si](O\C(OC(C)(C)C)=C/C=C)(C(C)C)C(C)C	UALIB-2309	87	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	VPCFBBSRXMLIIB-VBKFSLOCSA-N
COC1=C(N)C=CC(C)=C1	UALIB-2310	89	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	CJJLEUQMMMLOFI-UHFFFAOYSA-N
COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C(Cl)=CC1=O	UALIB-2311	90	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	AXRBULRPFJDRJA-UHFFFAOYSA-N
COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(O)C=CC=C2C1=O	UALIB-2312	91	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	DWDLPWOSQYMPIN-UHFFFAOYSA-N
COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2(Cl)[C@H](O[Si](C)(C)C)C=CCC2C1=O	UALIB-2313	93	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	QGBHEGRKDMUIMX-JERHATOGSA-N
COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O	UALIB-2314	94	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	JSZMKZDBMBYENT-UHFFFAOYSA-N
COC1=CC(C)=CC=C1C1=C(Cl)C(=O)C2=C(C=CC=C2OC(C)=O)C1=O	UALIB-2315	95	Hassen, W.D. Synthetic approaches towards benzo[d]naphthopyran antibiotics. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=579834	DLAGVPBYJYYEKD-UHFFFAOYSA-N
