SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)(C)SC1=CC=CC=C1.CC(=C)[C@@H](C\C=C(/C)C=C)CC(=O)C(C)(C)SC1=CC=CC=C1	UALIB-2279	24 and 45	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	HSAUUGYDJNFKFW-MTEAXECDSA-N
CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)(C)S(=O)C1=CC=CC=C1.CC(=C)[C@@H](C\C=C(/C)C=C)CC(=O)C(C)(C)S(=O)C1=CC=CC=C1	UALIB-2280	46a and 46b	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	RQAZTWMGTQWUKK-QTFVLCLHSA-N
CC(=C)[C@@H](C\C=C(\C)C=C)CC(=O)C(C)=C	UALIB-2281	48	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	HOZFDLRZDWJLFD-MQJVFOOVSA-N
[H][C@]1(CC(=O)C2(C)CCC=C(C)[C@]2([H])C1)C(C)=C	UALIB-2282	52	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	NCURUZQWQGIRTM-QNIGDANOSA-N
[H][C@@]12C[C@@H](CCC1(C)CCC=C2C)C(C)=C	UALIB-2283	49	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	OZQAPQSEYFAMCY-GNXJLENFSA-N
[H][C@@]12C[C@@H](CC[C@]1(C)CCC=C2C)C(C)=C	UALIB-2284	50	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	OZQAPQSEYFAMCY-ILXRZTDVSA-N
CC12OC1CCCC2=O	UALIB-2285	57	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	WTEVFHFQWNTPQP-UHFFFAOYSA-N
CC1(SC2=CC=CC=C2)C(O)CCCC1=O	UALIB-2286	58	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	BCDQAZMUPGHBID-UHFFFAOYSA-N
C\C(C=C)=C\CCCC(=O)C(C)(C)SC1=CC=CC=C1.C\C(C=C)=C/CCCC(=O)C(C)(C)SC1=CC=CC=C1	UALIB-2287	59 and 60	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	UYVXDTVHNUVXRF-PXJKUUFGSA-N
CC(C)CCCC(C)C\C=C(\C)C=C.CC(C)CCCC(C)C\C=C(/C)C=C	UALIB-2288	64 and 65	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	OHMKJBZUBIXQNL-YCUKUTHWSA-N
CCCC[C@H](C\C=C(\C)C=C)C(C)C.CCCC[C@H](C\C=C(/C)C=C)C(C)C	UALIB-2289	66 and 67	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	WVFJBYIHCCILQU-AVXNAUDUSA-N
CC(=C)CC[C@H](C\C=C(\C)C=C)C(C)=C.CC(=C)CC[C@H](C\C=C(/C)C=C)C(C)=C	UALIB-2290	68 and 69	Stanhope, B.E. Retroaldol-Wittig reactions of monocyclic beta-hydroxy-alpha-phenylsulfenyl ketones in natural products synthesis. Ph.D. Thesis, The University of Alabama, 1988.	http://library.ua.edu/vwebv/holdingsInfo?bibId=588828	RZKDIFJVCPNZSJ-FQMQUKJESA-N
