SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCOC1(C)O[C@@H]2[C@@H](CO)OC(=O)[C@@H]2O1	UALIB-2230	3	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	POOUAWUFUQIRRC-PILSHRGASA-N
CC(=O)OC[C@H]1OC(=O)C=C1	UALIB-2231	5	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	CXDHMDVSGRBHQX-LURJTMIESA-N
C[C@@H]1[C@@H](CO)OC(=O)[C@H]1C(C)=O	UALIB-2232	7	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	BCODRAFSTLHTPZ-QPPQHZFASA-N
C[C@@H]1[C@@H](COC(C)=O)OC(=O)[C@H]1C(C)=O	UALIB-2233	8	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	DNXZXVDGNLNDKF-JISRMSBWSA-N
CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1COC(C)=O	UALIB-2234	9	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	QYFTUIHMZSXNNK-DTWKUNHWSA-N
CSC(SC)(SC)[C@H]1CC(=O)O[C@@H]1CO	UALIB-2235	10	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	XPGWTSFISYAOCE-NKWVEPMBSA-N
C[C@H]1CC(=O)O[C@@H]1COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2236	13	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	LHVOHKXDSVCNRT-WMZHIEFXSA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@H]1C(C)(C)O	UALIB-2237	14	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	UHMYXXFJPWMHJL-ZPZUNKDASA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)C1=C(C)C	UALIB-2238	15	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	ABSINCMMASMQQX-PXDATVDWSA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@@]1(C)C(C)=C	UALIB-2239	16	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	WGHAOMNFSUTXOY-QIDLSXJSSA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@H]1C.C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@@H]1C	UALIB-2240	17a and 17b	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	JBEAREJNHIOFRP-AJROZUJWSA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@@]1(C)C(C)(C)O	UALIB-2241	18a	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	QWTWMMNJVAMVOW-LQCMOVKCSA-N
C[C@@H]1[C@@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)OC(=O)[C@]1(C)C(C)(C)O	UALIB-2242	18b	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	QWTWMMNJVAMVOW-LFGPKHSOSA-N
C[C@@H]1[C@@H](CO)OC(=O)[C@@]1(C)C(C)=C	UALIB-2243	19	Blazis, V.J. Synthetic approaches to acetomycin and related compounds. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=666439	MPGXICORSITXMU-MRTMQBJTSA-N
