SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H]C1=CC=C(Br)N1C(=O)OC(C)(C)C	UALIB-2190	3	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	HMQSOVFFDHSOMX-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(Br)=CC=C1Br	UALIB-2191	4	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	NTGSPDLQYRAXAK-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N1C(Br)=CC=C1Br	UALIB-2192	6	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	VEUZJRKSJDBMNS-UHFFFAOYSA-N
[H]C1=CC=C(Br)N1S(=O)(=O)C1=CC=C(C)C=C1	UALIB-2193	5	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	DEGWOQDAQOPOEW-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(=CC=C1[Si](C)(C)C)[Si](C)(C)C	UALIB-2194	14	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	BCDUZDFUVDKVMQ-UHFFFAOYSA-N
CSC1=CC=C(SC)N1C(=O)OC(C)(C)C	UALIB-2195	10	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	RFUNAKPKKFKOHA-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(Br)=CC=C1C(O)=O	UALIB-2196	11	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	HSYPLGOVUSKXRC-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(I)=CC=C1I	UALIB-2197	12	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	JHUFFJHLQNKYCT-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(=CC=C1C(O)=O)C(O)=O	UALIB-2198	13	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	AKWDFNMMPSMWTI-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(=CC=C1C#C[Si](C)(C)C)C#C[Si](C)(C)C	UALIB-2199	18	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	KFGNEPULCCDJEH-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(=CC=C1C#C)C#C	UALIB-2200	19	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	UBKFWPIHZDDFAI-UHFFFAOYSA-N
C[Si](C)(C)C#CC1=CC=C(S1)C#C[Si](C)(C)C	UALIB-2201	22	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	RAPGDWBCCYLGCE-UHFFFAOYSA-N
C#CC1=CC=C(S1)C#C	UALIB-2202	23	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	RFMSIVGKBOVYMW-UHFFFAOYSA-N
C[Si](C)(C)C#CC1=CC=C(C=C1)C#C[Si](C)(C)C	UALIB-2203	27	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	CMTMWEXUJQSPCA-UHFFFAOYSA-N
C#CC1=CC=C(C=C1)C#C	UALIB-2204	15	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	MVLGANVFCMOJHR-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C(CBr)=C(Br)C(Br)=C1CBr	UALIB-2205	47	Chen, W. Part I: synthesis of some pyrrole-derived conducting polymers; Part II: synthesis of pyrrole-annealated tetrathiafulvalene. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=667397	ZGMMAVFKKIQTQG-UHFFFAOYSA-N
