SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	UALIB-2357	N-Cinnamyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	OGKGVHUNQULMJX-QPJJXVBHSA-N
[K+].F[P-](F)(F)(F)(F)F.C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	UALIB-2358	N-Cinnamyl aza-15-crown-5.KPF6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	ODNYMTNBLCPNJU-RDRKJGRWSA-N
C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	UALIB-2359	N-Cinnamyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	JFNJSWSKOWSWKO-QPJJXVBHSA-N
[K+].F[P-](F)(F)(F)(F)F.C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	UALIB-2360	N-Cinnamyl aza-18-crown-6.KPF6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	SYFCKWMEAZFISJ-RDRKJGRWSA-N
O=C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCC1	UALIB-2361	N-Cinnamoyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	QTUXDFFCFVHLSB-VOTSOKGWSA-N
O=C(\C=C\C1=CC=CC=C1)N1CCOCCOCCOCCOCCOCC1	UALIB-2362	N-Cinnamoyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	VIHASUXCHDDQNH-VOTSOKGWSA-N
C=CCN1CCOCCOCCOCCOCC1	UALIB-2363	N-Allyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	YLVVBENHVUBDBL-UHFFFAOYSA-N
C=CCN1CCOCCOCCOCCOCCOCC1	UALIB-2364	N-Allyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	FEPQERSSODAYKX-UHFFFAOYSA-N
C\C=C\CN1CCOCCOCCOCCOCC1	UALIB-2365	N-Crotyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	PTSAYWPOBNHVSY-NSCUHMNNSA-N
C\C=C\CN1CCOCCOCCOCCOCCOCC1	UALIB-2366	N-Crotyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	LLYQJJOCDMZJMR-NSCUHMNNSA-N
C(CN1CCOCCOCCOCCOCC1)C1OCCCO1	UALIB-2367	N-Ethyl dioxane aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	KAWBVBLIYNDBAU-UHFFFAOYSA-N
C(\C=C\CC1=CC=CC1)N1CCOCCOCCOCCOCC1	UALIB-2368	N-Crotylcyclopentadienyl aza-15-crown-5	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	PDJPJLZSAGDPRJ-ONEGZZNKSA-N
C(\C=C\CC1=CC=CC1)N1CCOCCOCCOCCOCCOCC1	UALIB-2369	N-Crotylcyclopentadienyl aza-18-crown-6	Cragg, P.J. Azacrowns and their derivatives: a synthetic and structural investigation. Ph.D. Thesis, The University of Alabama, 1990.	http://library.ua.edu/vwebv/holdingsInfo?bibId=708581	UZEPKQNNTAWHGY-ONEGZZNKSA-N
