SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
O=C(OC1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2022	37	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	FQTGYQKXWLOIEK-PFMBNVRQSA-N
COC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1OC	UALIB-2023	36	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	HYRRPKBTOGOOHM-MTQWCTHYSA-N
COC[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H](O)[C@@H]1OC	UALIB-2024	38	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	OOYHCZAIAHBBNH-XDZVQPMWSA-N
COC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1OC	UALIB-2025	38b	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	LFLWPMNHMXGPDI-ULAWRXDQSA-N
OC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1O	UALIB-2026	39	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	SSDDKLJPMGOGSJ-BSDSXHPESA-N
CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H]1OS(=O)(=O)C1=CC=C(C)C=C1	UALIB-2027	40	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	IVPFHGSOCMCGCX-VWPRMMSESA-N
CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]1O[C@H](CO)[C@H]2O[C@@H]12	UALIB-2028	41	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PFWNNRNVLRCDKF-XQHKEYJVSA-N
C[C@@H]1O[C@H](CO)C[C@H]1O	UALIB-2029	42a	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	SDZOCENWJJOXPI-HCWXCVPCSA-N
C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C[C@H]1O	UALIB-2030	42c	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	LVZGADTWYOKVKL-WDJPJFJCSA-N
C[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)CC1=O	UALIB-2031	31	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	IDYNQGGHXBCYDS-CVDCTZTESA-N
CC1CC(=O)C(C)O1	UALIB-2032	44	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PAZYIUKTJFPTKT-UHFFFAOYSA-N
CC1CC(=O)C(C)(CC=C)O1	UALIB-2033	44d	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PFOYCJOAMVRFLN-UHFFFAOYSA-N
CC1OC(C)C(=O)C1CC=C	UALIB-2034	44c	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	DXQUXNZLGCENCM-UHFFFAOYSA-N
CC1OC(C)C(CC=C)(CC=C)C1=O	UALIB-2035	44h	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	KXPMAGHTEHUBMT-UHFFFAOYSA-N
COC[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H](OCSC)[C@@H]1OC	UALIB-2036	52g	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	HLZDQSRESGNTRO-KUXCXQDQSA-N
COC[C@@H]1O[C@H](COC(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(=O)[C@@H]1OC	UALIB-2037	52f	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	DHDWKQUDQGRDMX-RMTZWNOUSA-N
CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]1O[C@H](COC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)C1=O	UALIB-2038	52e	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	XTVCXGQQESEFKF-JBRSBNLGSA-N
[H][C@@]1(COC(C)(C)O1)C=O	UALIB-2039	54b	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	YSGPYVWACGYQDJ-YFKPBYRVSA-N
[H][C@@]1(COC(C)(C)O1)\C=C/C(=O)OC	UALIB-2040	54c	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	VXZZSPHSNBVYHV-MJSGSUOKSA-N
OC[C@H]1OC(=O)C=C1	UALIB-2041	54d	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	AWNLUIGMHSSXHB-BYPYZUCNSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2042	54	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	VXTQWNKHHWYJRP-KRWDZBQOSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)C[C@@H]1C(=C)C=O)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2043	57	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	UQFXKPASWKCYBE-FGZHOGPDSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)C[C@@H]1C(=C)CO)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2044	58	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	ILLHRHZUQRSYJX-FGZHOGPDSA-N
CC(C)(C)[Si](OC[C@H]1OC(=O)C[C@@H]1C(=C)CBr)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2045	59	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	MIGYGOQUMAZVCF-FGZHOGPDSA-N
[H][C@]1(CO)OC(=O)C[C@]1([H])C(=C)CO	UALIB-2046	65	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PQTOPEGCCCRHBO-RNFRBKRXSA-N
[H][C@]1(CBr)OC(=O)C[C@]1([H])C(=C)CBr	UALIB-2047	64	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	ABJJCJIHYYPIJR-RNFRBKRXSA-N
[H][C@]1(CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)OC(=O)C[C@]1([H])C(=C)C[C@]1(C)OC(C)=CC1=O.[H][C@]1(CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)OC(=O)C[C@]1([H])C(=C)C[C@@]1(C)OC(C)=CC1=O	UALIB-2048	62 (diastereomeric mixture)	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	BPDRZXXAKNHHEE-NVOBPDDESA-N
[H][C@]1(CO)OC(=O)C[C@]1([H])C(=C)C[C@]1(C)OC(C)=CC1=O.[H][C@]1(CO)OC(=O)C[C@]1([H])C(=C)C[C@@]1(C)OC(C)=CC1=O	UALIB-2049	62a (diastereomeric mixture)	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	ZDLAQLTWPLOTLH-BMGYNNNMSA-N
[H][C@]1(CBr)OC(=O)C[C@]1([H])C(=C)CC1(C)OC(C)=CC1=O	UALIB-2050	63	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	HAESQQFPOQONTD-HRQHSXBYSA-N
CC(=C)[C@H]1CC(=O)O[C@@H]1CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-2051	61	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PRASHWOKGMZNCM-FGZHOGPDSA-N
CC1=CC(=O)C(C)(CCCCCI)O1	UALIB-2052	74	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	VTBFXIVBAJTLNR-UHFFFAOYSA-N
[H]C(=O)CCCCBr	UALIB-2053	77c	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	LEJSXHLXJUILMI-UHFFFAOYSA-N
COC(CCCCI)OC	UALIB-2054	77a	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	ZIQIWJCANQKRIM-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CCCC=C)O1	UALIB-2055	75a	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	XEWKCZJJBPDSHH-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CCCCCCC2=CC(=O)C(C)(CCCCCI)O2)O1	UALIB-2056	75b	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	NPTMYHMQFPVCRH-UHFFFAOYSA-N
COC(CCCCC1(C)OC(C)=CC1=O)OC	UALIB-2057	76	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	OWHMDWJWJMHWNR-UHFFFAOYSA-N
[H]C(=O)CCCCC1(C)OC(CBr)=CC1=O	UALIB-2058	82	Kois, A. Synthetic approaches to heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=741315	PSZBELRAHWVYNN-UHFFFAOYSA-N
