SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CO[C@H]1CCC2=CC(=O)CC[C@]12C	UALIB-1440	74b	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	BVRJALUKWAMCDN-QWRGUYRKSA-N
C[C@]12CCC(=O)C=C1CC[C@@H]2O[Si](C)(C)C	UALIB-1441	74c	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	RVUMLWCMWVDITB-STQMWFEESA-N
COCO[C@H]1CCC2=CC(=O)CC[C@]12C	UALIB-1442	74e	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	RJTHXABUCVFNNT-RYUDHWBXSA-N
CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)CC[C@]12C)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1443	74g	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	CZUPBLUOJRSEIL-AHWVRZQESA-N
C[C@]12CCC(=O)C=C1CC[C@@H]2OC(=O)C1=CC=CC=C1	UALIB-1444	74h	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	JYQRKKRFLJUJIV-RDJZCZTQSA-N
[H]C(=O)O[C@H]1CCC2=CC(=O)CC[C@]12C	UALIB-1445	74i	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	RSSQGLYUCJMEDA-QWRGUYRKSA-N
CC1=CC=C(C=C1)S(=O)(=O)O[C@H]1CCC2=CC(=O)CC[C@]12C	UALIB-1446	74j	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	YWPXUQJGLVSIJA-IRXDYDNUSA-N
C[C@]12C=CC(=O)C=C1CC[C@@H]2OC1CCCCO1	UALIB-1447	78d	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	VOJXDJQCLKQZNQ-LWEDLAQUSA-N
C[C@]12C=CC(=O)C=C1CC[C@@H]2OCOCC[Si](C)(C)C	UALIB-1448	78f	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	ZEBDPNVSWYKQTM-HOTGVXAUSA-N
CC(C)(C)[Si](O[C@H]1CCC2=CC(=O)C=C[C@]12C)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1449	78g	Kotian, P.L. Synthetic approaches to Tussilagone. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761605	HSNCNNHIMGVDNR-AHWVRZQESA-N
