SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[Na+].OC(CCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2417	13	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	WJXSTBNDHBEQEW-UHFFFAOYSA-M
[Na+].OC(CCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2418	1	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	UWYSDCUMHTYMDJ-UHFFFAOYSA-M
CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2419	14	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	RDJFNKPSUXHIEA-UHFFFAOYSA-N
CN(C)C(=O)CCC(O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2420	2	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	MRZLYYIKNOYWPM-UHFFFAOYSA-N
OC(CCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2421	15	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	WJAVNGUHQONUJE-UHFFFAOYSA-N
OC(CCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2422	3	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	UXXHOSUEGUXLKS-UHFFFAOYSA-N
O=C(CC1=CC=CC=C1)C1=CC2=CC(OCC3CCCC(=O)O3)=CC=C2C=C1	UALIB-2423	17	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	ICZNNHLMVCFFLV-UHFFFAOYSA-N
[Na+].OC(CCCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2424	18	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	ZRKDQVKGMSGSJM-UHFFFAOYSA-M
[Na+].OC(CCCC([O-])=O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2425	4	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	GGHBHHZBJWPJHI-UHFFFAOYSA-M
CN(C)C(=O)CCCC(O)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2426	19	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	RAHJYGGABQDZEY-UHFFFAOYSA-N
CN(C)C(=O)CCCC(O)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2427	5	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	AOAVHCOLUVPHMW-UHFFFAOYSA-N
OC(CCCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(=O)CC1=CC=CC=C1	UALIB-2428	20	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	FRACZKLPRFJBOH-UHFFFAOYSA-N
OC(CCCC(=O)N1CCCC1)COC1=CC=C2C=CC(=CC2=C1)C(O)CC1=CC=CC=C1	UALIB-2429	6	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	QMEIFJMTXWHLQD-UHFFFAOYSA-N
OP(=O)(CP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1)O[C@H]1O[C@H](COCC2=CC=CC=C2)[C@@H](OCC2=CC=CC=C2)[C@H](OCC2=CC=CC=C2)[C@H]1OCC1=CC=CC=C1	UALIB-2430	part 3, 11	Randolph, J.T. Design, synthesis, and study of compounds of interest as anti-inflammatory, antiviral, and antitumor agents. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=744241	KPYWFCNMAUZWMN-ZTQXLAMASA-N
