SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	UALIB-2101	54	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	IKXPVDQOIYFSBQ-DTWKUNHWSA-N
CCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	UALIB-2102	55	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	MMANMKYDGBWNMH-VHSXEESVSA-N
CC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2103	57	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	MVUMVNRFAFXMSZ-DTWKUNHWSA-N
CCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2104	58	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	GABXFXYBTIQILK-VHSXEESVSA-N
CC(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2105	59	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	LUDVHFSZQGOCSV-VHSXEESVSA-N
CC(C)(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2106	60	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	JWOUMIIMMOZUFJ-VHSXEESVSA-N
CCCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2107	61	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	IZSRLSPXWNLYPJ-WDEREUQCSA-N
CCCC(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2108	62	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	JUGAHDSVTUQCSQ-GLXQMMQGSA-N
O=C(OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O)C1=CC=CC=C1	UALIB-2109	63	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	ZWYNUFKABKZASN-QWHCGFSZSA-N
CC1=CC=CC=C1C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2110	64	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	OADYAFLWUUINSH-GXTWGEPZSA-N
CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2111	65	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	UYBOJICUOPKETP-PKOBYXMFSA-N
CCC(C)(C)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2112	66	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	ILEDJJVCAJWPRZ-WDEREUQCSA-N
CCCCC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O.CC(C)CC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2113	67 and 61	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	ZGQIVZFIQVFMKG-YOWHLSKISA-N
CCCCN(CCCC)C(CC)C(=O)OCC	UALIB-2114	68a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	JYLXJDMQTQEVPC-UHFFFAOYSA-N
CCCCN(CCCC)C(C(=O)OCC)C1=CC=CC=C1	UALIB-2115	68b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	UOSBBMDSNMPFPS-UHFFFAOYSA-N
CCOC(=O)CN(CC1=CC=CC=C1)CC1=CC=CC=C1	UALIB-2116	68c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	AFMDCFOWHWNQBP-UHFFFAOYSA-N
COC(=O)C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1	UALIB-2117	68d	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	YGLZUMLZWOSPSK-UHFFFAOYSA-N
CCCCN(CCCC)C(CC)C(O)=O	UALIB-2118	69a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	VWWINSBHLYDJGY-UHFFFAOYSA-N
CCCCN(CCCC)C(C(O)=O)C1=CC=CC=C1	UALIB-2119	69b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	BDKRUSDTGYDTKA-UHFFFAOYSA-N
OC(=O)CN(CC1=CC=CC=C1)CC1=CC=CC=C1	UALIB-2120	69c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	QDWVRVNMKUFQJL-UHFFFAOYSA-N
OC(=O)C(N(CC1=CC=CC=C1)CC1=CC=CC=C1)C1=CC=CC=C1	UALIB-2121	69d	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	QCVGMYQQPIOOMI-UHFFFAOYSA-N
CCCCN(CCCC)C(CC)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2122	70a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	FFKIGHJCWATAGQ-PXKIYYGHSA-N
CCCCN(CCCC)C(C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O)C1=CC=CC=C1	UALIB-2123	70b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	KEVYXZGSWZDRGK-ZOAFEQKISA-N
O=C(CN(CC1=CC=CC=C1)CC1=CC=CC=C1)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2124	70c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	FTLQUZNZLZVFIA-FCHUYYIVSA-N
CCOC(=O)OC[C@H]1O[C@H](C=C1)N1C=C(C)C(=O)NC1=O	UALIB-2125	86	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	NZFOGHIOBDAQHV-VHSXEESVSA-N
CCCCNC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2126	74	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	SDENPISMEJKICR-WDEREUQCSA-N
[H]C(CNC(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	UALIB-2127	76	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	QEZCCRMSCCTRKN-ALRJJGGSSA-N
NC1=NC=NC2=C1N=CN2[C@H]1CC[C@@H](COC(=O)C2=CN=CC=C2)O1	UALIB-2128	88	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	OOWIXQABRIESBO-NWDGAFQWSA-N
[H]C(=O)NC1=NC=NC2=C1N=CN2[C@H]1CC[C@@H](COC(=O)C2=CN=CC=C2)O1	UALIB-2129	89	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	HVCQBIQTKDSSLY-QWHCGFSZSA-N
[I-].[H]C(=O)NC1=NC=NC2=C1N=CN2[C@H]1CC[C@@H](COC(=O)C2=CC=C[N+](C)=C2)O1	UALIB-2130	90	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	SOFXQHOMXCVOMV-LMRHVHIWSA-N
[I-].C[N+]1=CC(=CC=C1)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	UALIB-2131	91	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	PDFZHIFXRRCCJN-JHEYCYPBSA-M
CN1C=CCC(=C1)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CN=C2N	UALIB-2132	92	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	DPGFTGVETNXBEC-QWHCGFSZSA-N
O=C(OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O)C1=CC=CN=C1	UALIB-2133	93	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	XYXGOAHTHFKXSE-NWDGAFQWSA-N
[I-].C[N+]1=CC(=CC=C1)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2134	94	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	YZYVYBOBWFVBGY-JHEYCYPBSA-N
CN1C=CCC(=C1)C(=O)OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O	UALIB-2135	95	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	CVTVNJAFOKATGT-QWHCGFSZSA-N
COC(=O)C1=CC=CN=C1	UALIB-2136	24a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	YNBADRVTZLEFNH-UHFFFAOYSA-N
[I-].COC(=O)C1=CC=C[N+](C)=C1	UALIB-2137	25a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	GAVGHZAEUQBEFK-UHFFFAOYSA-M
COC(=O)C1=CN(C)C=CC1	UALIB-2138	26a	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	UJTANRJAPQJTLF-UHFFFAOYSA-N
CC(C)OC(=O)C1=CC=CN=C1	UALIB-2139	24b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	VSRSQDMWBSKNSF-UHFFFAOYSA-N
[I-].CC(C)OC(=O)C1=CC=C[N+](C)=C1	UALIB-2140	25b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	GTCHKMICAONBBZ-UHFFFAOYSA-M
CC(C)OC(=O)C1=CN(C)C=CC1	UALIB-2141	26b	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	QXMRVRPXYVAVLT-UHFFFAOYSA-N
COC(=O)C1=CC=C(C)N=C1	UALIB-2142	24c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	VYPPZXZHYDSBSJ-UHFFFAOYSA-N
[I-].COC(=O)C1=CC=C(C)[N+](C)=C1	UALIB-2143	25c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	WCYSSEAYCYBYDD-UHFFFAOYSA-M
COC(=O)C1=CN(C)C(C)=CC1	UALIB-2144	26c	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	RRNUKBIBXJWWTF-UHFFFAOYSA-N
C[N+]1=CC(=CC=C1)C([O-])=O	UALIB-2145	30	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	WWNNZCOKKKDOPX-UHFFFAOYSA-N
[H]C1([2H])C=CN(C)C=C1C(=O)OC	UALIB-2146	31	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	UJTANRJAPQJTLF-QYKNYGDISA-N
[Cl-].[I-].COC(=O)C1=C[N+](CC2=CC=C(Cl)C=C2)=CC=C1	UALIB-2147	37	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	GXXRMJGPCXBKJJ-UHFFFAOYSA-L
COC(=O)C1=CN(CC2=CC=C(Cl)C=C2)C=CC1	UALIB-2148	38	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	JOPFXDNLFMVDBR-UHFFFAOYSA-N
COC(=O)C1=CN(CC2=CC=C(Cl)C=C2)CC=C1	UALIB-2149	39	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	IDXAJFULPMVNQD-UHFFFAOYSA-N
COC(=O)CCNC(=O)C1=CC=CN=C1	UALIB-2150	15	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	YFGRJYFJRHVEEX-UHFFFAOYSA-N
[Cl-].OC(=O)CCNC(=O)C1=CC=C[NH+]=C1	UALIB-2151	16	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	QDJBWSHKYRVCGJ-UHFFFAOYSA-N
CC(=O)O[C@@H]1[C@@H](COC(=O)CCNC(=O)C2=CN=CC=C2)O[C@H]([C@H]1OC(C)=O)N1C=NC2=C1N=CN=C2N	UALIB-2152	17	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	CNBZQUDOSMQRJY-JYISGYRJSA-N
[H]C(=O)NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COC(=O)CCNC(=O)C2=CN=CC=C2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	UALIB-2153	23	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	YDZFJAUAHMIYRW-AYFLJRIOSA-N
[I-].[H]C(=O)NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COC(=O)CCNC(=O)C2=C[N+](C)=CC=C2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O	UALIB-2154	24	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	UXGKFJKOZGZPDJ-WGGAOSAYSA-N
[I-].CC(=O)O[C@@H]1[C@@H](COC(=O)CCNC(=O)C2=C[N+](C)=CC=C2)O[C@H]([C@H]1OC(C)=O)N1C=NC2=C1N=CN=C2N	UALIB-2155	25	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	JJPABIOKQTUACP-YIMRBHCGSA-N
CN1C=CCC(=C1)C(=O)NCCC(=O)OC[C@H]1O[C@H]([C@@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=NC2=C1N=CN=C2N	UALIB-2156	26	Yan, S. Chemistry of anti-aids and anticancer compounds. Ph.D. Thesis, The University of Alabama, 1992.	http://library.ua.edu/vwebv/holdingsInfo?bibId=761592	IVBOPZQHBIEMFU-AYFLJRIOSA-N
