SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC(C\N=C/C1=CC(OC)=C(OC)C(OC)=C1)OC	UALIB-1999	179	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	RXWBBUREVBDUPM-NVNXTCNLSA-N
COC(CNCC1=CC(OC)=C(OC)C(OC)=C1)OC	UALIB-2000	103	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	LBRAYHOJTGAIIL-UHFFFAOYSA-N
Cl.COC1=CC2=C(CCNC2)C(OC)=C1OC	UALIB-2001	183	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	NDMIESYJVMGQJU-UHFFFAOYSA-N
Cl.COC1=C(Br)C2=C(CCNC2)C(OC)=C1OC	UALIB-2002	186	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	ZJUAOITXEUBKKN-UHFFFAOYSA-N
COC1=C(Br)C2=C(CCN=C2)C(OC)=C1OC	UALIB-2003	177	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	TXEMYTFSHPXPSG-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OC1=CC=C(Br)C=C1	UALIB-2004	192	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	DLGZGLKSNRKLSM-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OC1=CC=C(C=C1)B(O)O	UALIB-2005	189	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	NVHHEADQQACSCJ-UHFFFAOYSA-N
COC1=CC(Br)=CC(OC)=C1O	UALIB-2006	194	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	VKXCKVRDDDEQOG-UHFFFAOYSA-N
COC1=CC(Br)=CC(OC)=C1O[Si](C)(C)C(C)(C)C	UALIB-2007	195	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	DAUJPVNIOHHCPY-UHFFFAOYSA-N
COC1=CC(=CC(OC)=C1O[Si](C)(C)C(C)(C)C)B(O)O	UALIB-2008	190	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	YYWNTALBMFTFOH-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C2=CC=CC=C2)C2=C1CCN=C2	UALIB-2009	196	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	ULLPAMHPZCCYJK-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C2=CC=CC=C2)C2=C1CCNC2CC(O)=O	UALIB-2010	199	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	OBZDXWJNQNFLCC-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C2=CC=C(O[Si](C)(C)C(C)(C)C)C=C2)C2=C1CCN=C2	UALIB-2011	197	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	NDLAPEGXJFTEPN-UHFFFAOYSA-N
COC1=CC(=CC(OC)=C1O[Si](C)(C)C(C)(C)C)C1=C(OC)C(OC)=C(OC)C2=C1C=NCC2	UALIB-2012	198	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	VQAOXKHBAGPYRM-UHFFFAOYSA-N
COC1=C(Br)C2=C(CCNC2CC(O)=O)C(OC)=C1OC	UALIB-2013	206	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	LTWZVTPLDSOUCH-UHFFFAOYSA-N
COC1=C(Br)C2=C(CCN(C2CC(O)=O)C(=O)OCC(Cl)(Cl)Cl)C(OC)=C1OC	UALIB-2014	207	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	RSPLWBRXKDJZEZ-UHFFFAOYSA-N
COC1=C(Br)C2=C(CCN(C2CSC2=NC=CC=C2)C(=O)OCC(Cl)(Cl)Cl)C(OC)=C1OC	UALIB-2015	215	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	KZVBVOBVWPDFDN-UHFFFAOYSA-N
COC1=CC(=CC(OC)=C1O[Si](C)(C)C(C)(C)C)C1=C(OC)C(OC)=C(OC)C2=C1C(CSC1=NC=CC=C1)N(CC2)C(=O)OCC(Cl)(Cl)Cl	UALIB-2016	223	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	PMRDYGCHRDQUIX-UHFFFAOYSA-N
COC1=C(Br)C2=C(CCNC2CSC2=NC=CC=C2)C(OC)=C1OC	UALIB-2017	224	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	WUIDLUVQMJRRGJ-UHFFFAOYSA-N
C1CC2=C(C=CC=C2)C=N1	UALIB-2018	218	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	NKSZCPBUWGZONP-UHFFFAOYSA-N
OC(=O)CC1NCCC2=C1C=CC=C2	UALIB-2019	219	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	BUAVPRGEIAVFBF-UHFFFAOYSA-N
OC(=O)CC1N(CCC2=C1C=CC=C2)C(=O)OCC(Cl)(Cl)Cl	UALIB-2020	220	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	MSQGLUZFDHZUNR-UHFFFAOYSA-N
ClC(Cl)(Cl)COC(=O)N1CCC2=C(C=CC=C2)C1CSC1=NC=CC=C1	UALIB-2021	221	Stephenson, E.K. New synthetic approach to the tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 1993.	http://library.ua.edu/vwebv/holdingsInfo?bibId=809267	FAOPUHISLGEXBJ-UHFFFAOYSA-N
