SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC(=O)C1(C)OC(C)=CC1=O	UALIB-1657	45a	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	BLOJPCUITWGKHC-UHFFFAOYSA-N
CCOC(=O)C1(C)OC(C)=CC1=O	UALIB-1658	45b	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	HUZGBVJCLHUSKG-UHFFFAOYSA-N
CC1=CC(=O)C(C)(COCC[Si](C)(C)C)O1	UALIB-1659	50	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	VECGYRDSBBEIBK-UHFFFAOYSA-N
CC1(COCC[Si](C)(C)C)OC(=CC1=O)C(CC=C)CC=C	UALIB-1660	51b	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	MCYJCFNINXKNPG-UHFFFAOYSA-N
CC1=CC(=O)C(C)(O1)C(O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)C1=CC=CC=C1	UALIB-1661	54a	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	BLNFQBVAAZHQBP-UHFFFAOYSA-N
CC1=CC(=O)C(C)(O1)C(O[Si](C)(C)C)C1=CC=CC=C1	UALIB-1662	54b	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	NQSGUANVUHNTED-UHFFFAOYSA-N
CC1=CC(=O)C(C)(COCC2=CC=CC=C2)O1	UALIB-1663	56	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	XCOVVSUIFAEWLW-UHFFFAOYSA-N
CC1(COCC2=CC=CC=C2)OC(=CC1=O)C(CC=C)CC=C	UALIB-1664	57b	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	TTYSWCYWTIAYOE-UHFFFAOYSA-N
CCCCC1=CC(=O)C(C)(COCC2=CC=CC=C2)O1	UALIB-1665	58	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	OCNMYEUXKZGLQH-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CO)O1	UALIB-1666	59	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	HAIPTUBBUHSIHW-UHFFFAOYSA-N
CCC1=CC(=O)C(C)(COCC2=CC=CC=C2)O1	UALIB-1667	60a	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	VBKHDBUHKFVDID-UHFFFAOYSA-N
CC1(COCC2=CC=CC=C2)OC(CCCCCCOC2CCCCO2)=CC1=O	UALIB-1668	64	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	YOENUZWPNHVRLO-UHFFFAOYSA-N
CC(CCCCCOC1CCCCO1)C1=CC(=O)C(C)(COCC2=CC=CC=C2)O1	UALIB-1669	65	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	IXDCIGUXUJYLJS-UHFFFAOYSA-N
CC1(CO)OC(CCCCCCOC2CCCCO2)=CC1=O	UALIB-1670	66	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	VFBDBBONLURYIG-UHFFFAOYSA-N
CC(CCCCCOC1CCCCO1)C1=CC(=O)C(C)(CO)O1	UALIB-1671	67	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	LLBUPMFSFJBYOE-UHFFFAOYSA-N
CC1(CO)O[C@@H](CCCCCCOC2CCCCO2)CC1=O.CC1(CO)O[C@H](CCCCCCOC2CCCCO2)CC1=O	UALIB-1672	68 (diastereomers)	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	LXOVHMAXNMVQLG-ZDRYTPIHSA-N
C[C@H]1CC(=O)C(C)(COCC2=CC=CC=C2)O1.C[C@@H]1CC(=O)C(C)(COCC2=CC=CC=C2)O1	UALIB-1673	70 (diastereomers)	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	LOJQVHACUUCEDK-SIZCCJLTSA-N
CC1=CC(=O)C(C)(CC2=CC=CC=C2)O1	UALIB-1674	71	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	DQLVDWFPWLXCKO-UHFFFAOYSA-N
CCCC1=CC(=O)C(C)(CC2=CC=CC=C2)O1	UALIB-1675	72	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	DWZYJMPIBRZPEI-UHFFFAOYSA-N
CCC(CC)C1=CC(=O)C(C)(CC2=CC=CC=C2)O1	UALIB-1676	73	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	SOBVRLPOKZIQMN-UHFFFAOYSA-N
CC1(COCC2=CC=CC=C2)OC(CSC2=CC=CC=C2)=CC1=O	UALIB-1677	77	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	JZTGWWOISZKNLU-UHFFFAOYSA-N
CC1(COCC2=CC=CC=C2)OC(C[S+]([O-])C2=CC=CC=C2)=CC1=O	UALIB-1678	81 (diastereomers, non-specific)	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	KQVGRTLMYHLJEU-UHFFFAOYSA-N
CC1(COCC2=CC=CC=C2)OC(CS(=O)(=O)C2=CC=CC=C2)=CC1=O	UALIB-1679	82	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	KFTOUSBHTWVLBR-UHFFFAOYSA-N
COC1=CC=C(COCC2(C)OC(C)=CC2=O)C=C1	UALIB-1680	90	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	QCCUPBQPLJFTIB-UHFFFAOYSA-N
CCC1=CC(=O)C(C)(COCC2=CC=C(OC)C=C2)O1	UALIB-1681	101a	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	VVYLTLZPTKRMPF-UHFFFAOYSA-N
CCCCCCC1=CC(=O)C(C)(COCC2=CC=C(OC)C=C2)O1	UALIB-1682	105	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	GOQANXNXDOZGFE-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CCCCC=C)O1	UALIB-1683	131	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	FUGMMQWSDCUSER-UHFFFAOYSA-N
CCOP(=O)(CC1=CC(=O)C(C)(CCCCC=C)O1)OCC	UALIB-1684	130	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	ZAINCSJXJGMXFI-UHFFFAOYSA-N
CCOP(=O)(CC1=CC(=O)C(C)(CCCCC(OC)OC)O1)OCC	UALIB-1685	139	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	TWWMPJYQQFXIIN-UHFFFAOYSA-N
C[C@@]12CCCC\C=C\C3=CC(=O)[C@](C)(CCCC\C=C\C(O1)=CC2=O)O3.C[C@@]12CCCC\C=C\C3=CC(=O)[C@@](C)(CCCC\C=C\C(O1)=CC2=O)O3	UALIB-1686	140 (cis and trans mix)	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	PXZYYTJKFRRZEA-UIVBVCTLSA-N
CC(C)(C)[Si](C)(C)OCC(C)(O)C#CCOC1CCCCO1	UALIB-1687	147	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	PQQAMPQKOMRLQQ-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CC(Br)=C)O1	UALIB-1688	149	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	QXOJRHQQDNTBQO-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CC(=C)C#CCO)O1	UALIB-1689	150	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	SFKQXGJAXBIJST-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CC(=C)C#CCBr)O1	UALIB-1690	151	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	LTOYUAARWUXJJI-UHFFFAOYSA-N
CC12CC(=C)C#CCCC(O1)=CC2=O	UALIB-1691	144	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	RONBHGGAHLUIEH-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CC(=C)C#CCOC2CCCCO2)O1	UALIB-1692	154	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	VJQRRLJWLWPGSF-UHFFFAOYSA-N
CC1=CC(=O)C(C)(C[C@@](O)(CO)C#CCOC2CCCCO2)O1.CC1=CC(=O)C(C)(C[C@](O)(CO)C#CCOC2CCCCO2)O1	UALIB-1693	155 (diastereomers)	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	MIVQISHFPULKOQ-AIIJPBGASA-N
CC1=CC(=O)C(C)(CC(=O)C#CCOC2CCCCO2)O1	UALIB-1694	156	Arant, M. Synthesis of potential precursors for the heliangolide sesquiterpenes. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=823117	MGMNKWCWJQARSZ-UHFFFAOYSA-N
