SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
S1C2=CC=C1\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/2	UALIB-1798	2 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	CDEXOONVUKTYMM-FYIRIZDNSA-N
S1C2=CC=C1\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/C1=CC=C(S1)\C=C/2	UALIB-1799	3 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	XNPJBHWLQAWMEN-CVRNVXIMSA-N
S1C=CC=C1C1=CC=CS1	UALIB-1800	4 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	OHZAHWOAMVVGEL-UHFFFAOYSA-N
O=CC1=CC=C(S1)C1=CC=C(S1)C=O	UALIB-1801	5 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	RXAXZMANGDHIJX-UHFFFAOYSA-N
S1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/2	UALIB-1802	6 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	MSROBQXQQZEQGQ-WGMILTDNSA-N
S1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)\C=C/2	UALIB-1803	7 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	MCMDOYOTAWVHPZ-FJVDMWJHSA-N
S1C2=CC=C1C1=CC=C(S1)C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(S1)C1=CC=C(S1)\C=C/2	UALIB-1804	12 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	XKJXMWLVSKBORR-NXECHLCGSA-N
S1C2=CC=C1C1=[S+]\C(C=C1)=C1/S\C(\C=C1)=C/C=C1\S\C(\C=C1)=C1\C=CC(=[S+]1)C1=CC=C(S1)\C=C/2	UALIB-1805	13 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	ORQDTRHICVMSFM-NXECHLCGSA-N
[Br-].[Br-].S1C2=CC=C1C1=[S+]\C(C=C1)=C1/S\C(\C=C1)=C/C=C1\S\C(\C=C1)=C1\C=CC(=[S+]1)C1=CC=C(S1)\C=C/2	UALIB-1806	14 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	KIJHWFVGUOJGRN-RBMLBANMSA-L
S1C2C3C=CC=CC3C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1SC(C3C=CC=CC13)C1=CC=C(S1)\C=C/C1=CC=C2S1	UALIB-1807	20 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	AIGSHXLSISKKKP-BASFJDSNSA-N
