SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(=NNC1=CC=CC=C1)C1=CC=CC=C1N	UALIB-1534	6	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	OHOPPWNOBIEEIT-UHFFFAOYSA-N
C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1535	2B	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	CGCYNUCJTZKIJR-UHFFFAOYSA-N
[H]C1(CCCC)N2C3=C(C=C2C2=C(C=CC=C2)N1C)C=CC=C3	UALIB-1536	8	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	QZOVGKBQYASHKP-UHFFFAOYSA-N
[H]C1(CCCC)N2C3=C(C=C2C2=C(C=CC=C2)N1CCCC)C=CC=C3	UALIB-1537	9	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	IOGORIFNDJQCBE-UHFFFAOYSA-N
CC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	UALIB-1538	10	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	FSYGYWLGBCOFSC-UHFFFAOYSA-N
CCC1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	UALIB-1539	11	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	QBEVVEHXYYDULV-UHFFFAOYSA-N
[H]C1(N2C(=CC3=C2C=CC=C3)C2=C(C=CC=C2)N1C)C1=NC2=C(C=CC=C2)C2=CC3=C(C=CC=C3)N12	UALIB-1540	12	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	ZSPTZQJRVVIDBH-UHFFFAOYSA-N
[H]N1CN2C(=CC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1541	14	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	UNEUNSMCEGSZDB-UHFFFAOYSA-N
CC(=O)N1CN2C3=C(C=C2C2=C1C=CC=C2)C=CC=C3	UALIB-1542	15	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	RPJGTXDHYUUKGJ-UHFFFAOYSA-N
CN(C)C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1543	21	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	LEZRIMJEUKDRDZ-UHFFFAOYSA-N
[H]C(=O)C1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1544	22	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	BXDMHZRXVAMVQJ-UHFFFAOYSA-N
CC(=O)N1CN2C3=C(C=CC=C3)C(C(=O)C(=O)N3CCOCC3)=C2C2=C1C=CC=C2	UALIB-1545	24	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	GTDPULPLXZQNPD-UHFFFAOYSA-N
BrC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1546	25	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	WQFOQHWSTNQJGY-UHFFFAOYSA-N
