SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2370	1a	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	KEDWLAOMOZZMIC-AAEUAGOBSA-N
CCCC[C@@H]1ON=C([C@@H]1O)C1=CC=CC=C1	UALIB-2371	1b	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	KEDWLAOMOZZMIC-WCQYABFASA-N
CCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2372	1c	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	UIHUZVKJUARLKT-JQWIXIFHSA-N
O[C@H]1[C@H](CCCCl)ON=C1C1=CC=CC=C1	UALIB-2373	1d	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	HLFVYCKQPWHQQX-JQWIXIFHSA-N
CC(C)(C)C(=O)OCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2374	1e	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	LFBGCOHPOWXTFF-ZFWWWQNUSA-N
CC(=O)OCCC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2375	1f	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	DMRPAELSFPRMPK-JSGCOSHPSA-N
COC(=O)[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2376	1g	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	UAIVUQOXFGLQTM-NXEZZACHSA-N
O[C@H]1[C@@H](ON=C1C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2377	1h	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	QCYYQUAZFHPAPE-CABCVRRESA-N
O[C@@H]1[C@@H](ON=C1C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2378	1i	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	QCYYQUAZFHPAPE-GJZGRUSLSA-N
CCCC[C@@H]1ON=C([C@H]1O)C1=CC=C(OC)C=C1	UALIB-2379	1j	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	QBPRJRZCCAIFJC-JSGCOSHPSA-N
CCCC[C@@H]1ON=C([C@H]1O)C(C)(C)C	UALIB-2380	1k	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	QAEAEVSSXWKYRZ-IUCAKERBSA-N
CC1=NO[C@H]([C@@H]1O)C1=CC=CC=C1	UALIB-2381	1l	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	DCIGNDVAEIGKDH-ZJUUUORDSA-N
CC(=O)OC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2382	1m	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	QNDJFLNZOYEOCD-JQWIXIFHSA-N
OC[C@@H]1ON=C([C@H]1O)C1=CC=CC=C1	UALIB-2383	1n	Liu, J. A new application of vinylboronates in organic synthesis: the preparation of 4-hydroxy-[delta]2-isoxazolines by 1,3-dipolar cycloaddition. M.S. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837909	RJJSLYDTZFCDTP-WPRPVWTQSA-N
