SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H][C@]12[C@H]3O[C@@]3(Cl)[C@@H](C)[C@]([H])([C@@H](CCC[C@@H]1C(=O)OC)[N+]([O-])=O)C21CC1	UALIB-2789	81	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	YTBBOHHXIJASDW-DQLLVDKESA-N
CC(C)(C)[Si](C)(C)OC1CCC(=O)CC1	UALIB-2790	95	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	HXKBGMNGSYGPRB-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OC1CCC(=O)C(Cl)C1	UALIB-2791	91	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MJRVAGUACRHCFN-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OC1CC=C(C(Cl)C1)N1CCCC1	UALIB-2792	96	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	ZITSAUHYJIHREL-UHFFFAOYSA-N
CC(C)[Si](OC1CCC(=O)CC1)(C(C)C)C(C)C	UALIB-2793	94	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	TZQRNBGGOVBEOR-UHFFFAOYSA-N
CC(C)[Si](OC1CCC(=O)C(Cl)C1)(C(C)C)C(C)C	UALIB-2794	90	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	PGGRXAVIPDQQNF-UHFFFAOYSA-N
[H][C@@]12C[C@@H](C3C=CC([C@@H](I)C1)C31CC1)C(=O)O2.[H][C@@]12C[C@@H](C3C=CC([C@H](I)C1)C31CC1)C(=O)O2	UALIB-2795	109 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	HJQNIRIEHNRNON-UDULHJCXSA-N
COC(=O)[C@H]1CC(=O)C[C@H](I)C2C=CC1C21CC1.COC(=O)[C@H]1CC(=O)C[C@@H](I)C2C=CC1C21CC1	UALIB-2796	112 (diastereomers)	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	BQXGJWNJIRWBIE-BZSYXYMGSA-N
COC(=O)[C@H]1CC(=O)\C=C/C2C=CC1C21CC1	UALIB-2797	113	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	NALPBIHGCHBKTD-KIHCUCEUSA-N
[H][C@@]12C[C@@H](C3C=CC(\C=C/1)C31CC1)C(=O)O2	UALIB-2798	116	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LJGIYFYZMYUDBA-ADKYGKPOSA-N
COC(=O)[C@H]1CC(O)(\C=C/C2C=CC1C21CC1)C(C)=O	UALIB-2799	115	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	DYFGDDDJFLEDBY-FBMPXNOTSA-N
CC1(C)OC2CCCC(=O)C2O1	UALIB-2800	117	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MRTKVCOALNIMRT-UHFFFAOYSA-N
CC1(C)OC2CCC=C(OS(=O)(=O)C(F)(F)F)C2O1	UALIB-2801	118	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	BPQMTDNNWJBNBW-UHFFFAOYSA-N
CC1(C)OC2CCC\C(=N/N)C2O1	UALIB-2802	122	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	BIMOCPCIAGCEBM-IZZDOVSWSA-N
CC1(C)OC2CCC=C(I)C2O1	UALIB-2803	119	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	VFZPNBZQBURFCH-UHFFFAOYSA-N
CCOC(=O)C1=C([C@@H]2CC[C@H]3OC(C)(C)O[C@H]3C2=C(C1)OCC)C(=O)OCC	UALIB-2804	121	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	DIYPYTQNESPBAM-WPKBUWHJSA-N
CC(C)[Si](O[C@@H]1C[C@@H]2C3C4(CC4)C(CC[C@]3(C)OC2=O)C(I)C1)(C(C)C)C(C)C	UALIB-2805	162	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	KREROMPXIXEGBP-UTVZBYICSA-N
CC(C)[Si](O[C@H]1C\C=C2\CC[C@]3(C)OC(=O)[C@H](C1)C3C21CC1)(C(C)C)C(C)C	UALIB-2806	163	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	ORKGUAWRUFKHQV-TUVWGGCGSA-N
C[C@]12CCC3C(I)CC(=O)C[C@H](C1C31CC1)C(=O)O2	UALIB-2807	178	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LFSSIHMXFUZVEN-IGPQPYRGSA-N
C[C@]12CCC3\C=C/C(=O)C[C@H](C1C31CC1)C(=O)O2	UALIB-2808	179	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MESPBEHUVQDVLY-VGMJUPDJSA-N
C[C@]12CCC3C(I)C[C@H](O)C[C@H](C1C31CC1)C(=O)O2	UALIB-2809	168	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	BMLZBQMIWRDXSA-PBAIXUOJSA-N
C[C@]12CCC3(O)\C=C/C(=O)C[C@H](C1C31CC1)C(=O)O2	UALIB-2810	171	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	PJKJOYWTQOWGSX-QUDHVLNDSA-N
CC(C)(C)[Si](C)(C)O/C1=C/[C@@H]2C3C4(CC4)C(O)(CC[C@]3(C)OC2=O)/C=C\1	UALIB-2811	180	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	QGUBRNPIJVGUOU-VAQVZSBTSA-N
CC(C)(C)[Si](C)(C)OC1[C@@H]2C3C4(CC4)C(O)(CC[C@]3(C)OC2=O)\C=C/C1=O	UALIB-2812	181	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	QUOAZBCKBMPXMX-JUSQUQMRSA-N
