SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)OB1OC(C)(C)C(C)(C)O1	UALIB-1932	17	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	MRWWWZLJWNIEEJ-UHFFFAOYSA-N
CC1(C)OB(OC1(C)C)C=C	UALIB-1933	18	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	DPGSPRJLAZGUBQ-UHFFFAOYSA-N
CC1(C)OB(OC1(C)C)C1CC(=NO1)C1=CC=CC=C1	UALIB-1934	21	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	PNXGYCIWFBMDRT-UHFFFAOYSA-N
CC(C)(C)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	UALIB-1935	22	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	QPQXOZJBQXVEOQ-UHFFFAOYSA-N
CC1=NOC(C1)B1OC(C)(C)C(C)(C)O1	UALIB-1936	26	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	XQVZDIJUOGFTIX-UHFFFAOYSA-N
CCC1=NOC(C1)B1OC(C)(C)C(C)(C)O1	UALIB-1937	27	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	PJQYYGAWISILQZ-UHFFFAOYSA-N
CC(C)(O[Si](C)(C)C)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	UALIB-1938	28	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	VBASOJXIACZSDQ-UHFFFAOYSA-N
CC1(C)OB(OC1(C)C)C1CC(Br)=NO1	UALIB-1939	36	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	JFAJKKOBUBWMLU-UHFFFAOYSA-N
CCOC(=O)C1=NOC(C1)B1OC(C)(C)C(C)(C)O1	UALIB-1940	37	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	RQSOZIVLSMDPPG-UHFFFAOYSA-N
CC1=CC(C)=C(C2=NOC(C2)B2OC(C)(C)C(C)(C)O2)C(C)=C1	UALIB-1941	38	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	GUNBVLLNKHXASO-UHFFFAOYSA-N
CC1(C)OB(OC1(C)C)C1CC(COC2CCCCO2)=NO1	UALIB-1942	40	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	QUMKUYDFQAEJDU-UHFFFAOYSA-N
CC1(C)OB(OC1(C)C)C(=C)C1=CC=CC=C1	UALIB-1943	45	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	RMGBWPMWUZSIMH-UHFFFAOYSA-N
CC(=C)B1OC(C)(C)C(C)(C)O1	UALIB-1944	44	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	SVSUYEJKNSMKKW-UHFFFAOYSA-N
C[C@]1(CC(=NO1)C1=CC=CC=C1)B1OC(C)(C)C(C)(C)O1	UALIB-1945	46	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	ORQBUEYPEZVSKC-INIZCTEOSA-N
CC1(C)OB(OC1(C)C)[C@@]1(CC(=NO1)C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1946	47	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	YFYOGJXONHCTET-OAQYLSRUSA-N
CC1(C)OB(OC1(C)C)[C@@]1(CC(=NO1)S(C)(=O)=O)C1=CC=CC=C1	UALIB-1947	48	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	AVHIFXGOBGMKEH-MRXNPFEDSA-N
CCCC\C=C\B1OC(C)(C)C(C)(C)O1	UALIB-1948	51	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	PAOJMGKYYPHNDO-MDZDMXLPSA-N
CCCCC1CC(=NO1)C1=CC=CC=C1	UALIB-1949	54	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	ZEWAYBWKLIQBKM-UHFFFAOYSA-N
COC(=O)\C=C\B1OC(C)(C)C(C)(C)O1	UALIB-1950	57	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	YRXVNAIOQAUBNO-VOTSOKGWSA-N
[H]C1(CCCC)CC(=NO1)C(C)(C)O[Si](C)(C)C	UALIB-1951	63	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	OHJHCIJJCHYGIL-UHFFFAOYSA-N
CC1(C)OB(CC2CC(=NO2)C2=CC=CC=C2)OC1(C)C	UALIB-1952	68	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	CEXLRRMSTUYHNV-UHFFFAOYSA-N
OCC1CC(=NO1)C1=CC=CC=C1	UALIB-1953	70	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	GXUGWAXJXGJRAH-UHFFFAOYSA-N
[H]C1CN(CC2=CC=CC=C2)C[C@@H]1B1OC(C)(C)C(C)(C)O1	UALIB-1954	80	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	ZILAVYOJZGETQB-OAHLLOKOSA-N
COC(=O)[C@H]1CN(CC2=CC=CC=C2)C[C@@H]1B1OC(C)(C)C(C)(C)O1	UALIB-1955	81	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	SMPOFPZIOXJROT-HOTGVXAUSA-N
CC1(C)C2CC1[C@]1(C)OB(O[C@@H]1C2)[C@H]1CCN(CC2=CC=CC=C2)C1.CC1(C)C2CC1[C@]1(C)OB(O[C@@H]1C2)[C@@H]1CCN(CC2=CC=CC=C2)C1	UALIB-1956	84 (diastereomer mixture)	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	RHXLUNZZYWRKQY-PQZCACESSA-N
CCCCOB(OCCCC)C=C	UALIB-1957	96	Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=851312	JQKJEPJLCSCBGW-UHFFFAOYSA-N
