SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC1=CC(=O)C2=C(C=CC=C2)C1=O	UALIB-1257	2-Methoxy-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	OBGBGHKYJAOXRR-UHFFFAOYSA-N
O=C1C=C(NCCC2=CNC3=CC=CC=C23)C(=O)C2=C1C=CC=C2	UALIB-1258	2-Tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	UQLMTKUGAAEQHK-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)NCCC1=CNC2=CC=CC=C12	UALIB-1259	N-(p-Toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	VPIUVBLEDIDJQZ-UHFFFAOYSA-N
O=C1N(CCC2=CNC3=CC=CC=C23)C(=O)C2=C1C=CC=C2	UALIB-1260	3-[(2-Pthalimido)ethyl]indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	SAQDVULJSRMFJO-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCN2C(=O)C3=C(C=CC=C3)C2=O)C2=CC=CC=C12	UALIB-1261	3-[(2-Pthalimido)ethyl]-1-(p-toluenesulfonyl)indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	RVLBVWCERFVZNM-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCN)C2=CC=CC=C12	UALIB-1262	1-(p-Toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	XKKWGBDMWUAPLE-UHFFFAOYSA-N
[H]N1C=C(CCNC(=O)OC(C)(C)C)C2=CC=CC=C12	UALIB-1263	N-(tert-Butoxycarbonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	UJUWQLXEMKUVGE-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N1C=C(CCNC(=O)OC(C)(C)C)C2=CC=CC=C12	UALIB-1264	1-(p-Toluenesulfonyl)-N-(tert-butoxycarbonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	UYMYDPZATSULIB-UHFFFAOYSA-N
[H]N1C=C(CCN(C(=O)OC(C)(C)C)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	UALIB-1265	N-(tert-butoxycarbonyl)-N-(p-toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	HSCIZQUWUZNDBV-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C	UALIB-1266	N-(tert-butoxycarbonyl)-N,1-bis(p-toluenesulfonyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	ZWSRQFVDZWZEKK-UHFFFAOYSA-N
[H]N(CCC1=CN([H])C2=CC=CC=C12)C(=O)OC(C)(C)C(Cl)(Cl)Cl	UALIB-1267	N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	JKNIRCTUMKRFDB-UHFFFAOYSA-N
[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C(Cl)(Cl)Cl	UALIB-1268	1-(p-Toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	RHHNCVUNQGWZQF-UHFFFAOYSA-N
[H]N1C=C(CCN(C(=O)OC(C)(C)C(Cl)(Cl)Cl)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	UALIB-1269	N-(p-Toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	GCOGMWWUNJIZGF-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC(C)(C)C(Cl)(Cl)Cl	UALIB-1270	N,1-Bis(p-toluenesulfonyl)-N-(2,2,2-Trichloro-1,1-dimethylethyl chloroformyl)tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	NYUKINBVEFMBDM-UHFFFAOYSA-N
[H]N(CCC1=CN([H])C2=CC=CC=C12)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1271	N-Trityl tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	MXECCMWWXQDAGI-UHFFFAOYSA-N
[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1272	1-(p-Toluenesulfonyl)-N-trityl tryptamine	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	AOVGJGYYFVCYPK-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C1=CC(=O)C2=C(C=CC=C2)C1=O	UALIB-1273	Ditosylated 2-tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	QNMXKTKMHAMAKH-UHFFFAOYSA-N
[H]N1C=C(CCN(C2=CC(=O)C3=C(C=CC=C3)C2=O)S(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C12	UALIB-1274	N-(p-Toluenesulfonyl)-2-tryptamino-1,4-napthoquinone	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	QBFRLCNRSDHIFZ-UHFFFAOYSA-N
[H]N(CCC1=CN(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(C)C=C1)C1=CC(=O)C2=C(C=CC=C2)C1=O	UALIB-1275	3-[2-(1,4-napthoquinonimino)ethyl]-1-(p-toluenesulfonyl)indole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	IUEAAPLIKPZBHF-UHFFFAOYSA-N
COC(=O)C(=C\C1=C(OC)C=C(OC)C(OC)=C1)\N=[N+]=[N-]	UALIB-1276	Methyl 2,4,5-trimethoxy-alpha-azidocinnamate	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	LHSGUCJFIQLPBI-UITAMQMPSA-N
COC(=O)C1=CC2=C(OC)C=C(OC)C(OC)=C2N1	UALIB-1277	Methyl 4,6,7-trimethoxyindole-2-carboxylate	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	CCWLCFJVPRBLOT-UHFFFAOYSA-N
COC1=C2C=C(NC2=C(OC)C(OC)=C1)C(O)=O	UALIB-1278	4,6,7-Trimethoxyindole-2-carboxylic acid	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	QVCJMJQXKVYHCL-UHFFFAOYSA-N
COC1=C2C=CNC2=C(OC)C(OC)=C1	UALIB-1279	4,6,7-Trimethoxyindole	Hungerford, W.M. Synthetic approaches to the marine alkaloid wakayin and synthetic approaches to potential molecular rectifiers. M.S. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=886782	NXPLALMJOKMQGY-UHFFFAOYSA-N
