SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC(=O)CCCCCCC=C	UALIB-2489	31	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	PWAJIGUTWKGVLP-UHFFFAOYSA-N
COC(=O)C(CCCC=C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2490	35	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	YFKKJVQMFZDTQE-UHFFFAOYSA-N
COC(=O)C(C)(C)CC(CC=C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2491	37	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	JYDDRFGMCNJYGM-UHFFFAOYSA-N
COC(=O)CC(C)(CC=C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2492	43	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	KVKNJKUYEBAMMG-UHFFFAOYSA-N
[H]\C(=C\CCCC(=O)OC)C1=CC=CC=C1.[H]\C(=C/CCCC(=O)OC)C1=CC=CC=C1	UALIB-2493	67b (E/Z mixture)	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	MQGIJAMTYHVCNE-CJUPLKJXSA-N
[H]\C(CC(C)C)=C\CCCC(=O)OC.[H]\C(CC(C)C)=C/CCCC(=O)OC	UALIB-2494	67a (E/Z mixture)	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	XCFLQIVTATYFNO-VGVOGQKGSA-N
[H][C@@]12C[C@]1(O)CCC2	UALIB-2495	26	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	NHPHSQKWQYLZSA-PHDIDXHHSA-N
[H][C@@]12C[C@]1(O)CCCC2	UALIB-2496	28	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	DWLNEMIXWHHTHQ-RNFRBKRXSA-N
[H]C1C[C@]2([H])C[C@]2(O)[C@]([H])(C1)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2497	36	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	HUQVNLHLJDOZEW-OWCLPIDISA-N
[H][C@@]12C[C@]1(O)C(C)(C)CC(C2)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2498	38	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	BSZFYTGPJRGHDV-IFJNFQAOSA-N
[H][C@@]12C[C@]1(O)CC[C@@]2([H])O[Si](C(C)C)(C(C)C)C(C)C	UALIB-2499	40	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	KDSMGIOAAQUYCJ-RRFJBIMHSA-N
CCCC[C@@H]1C[C@@]1(C)O	UALIB-2500	78	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	BXRPQEIMVAVFKI-HTQZYQBOSA-N
CC(C)[Si](OCC[C@@H]1C[C@@]1(C)O)(C(C)C)C(C)C	UALIB-2501	80	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	UXNSPAIIAKLMNF-HUUCEWRRSA-N
CC(C)[Si](OCCCC[C@@H]1C[C@@]1(C)O)(C(C)C)C(C)C	UALIB-2502	82	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	CSHFRXQHDRGOHR-IAGOWNOFSA-N
C[C@@]1(O)C[C@H]1CCCBr	UALIB-2503	84	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	UHWSSMXSTGKLNK-RNFRBKRXSA-N
C[C@@H](CCC=C(C)C)CC1CC1(C)O	UALIB-2504	86a or 86b (relative, draw as non-specific)	Lee, J. [Chapter] I, Kulinkovich hydroxycyclopropanation; [Chapter] II, oxyallyl [4+3] cycloaddition approaches towards taxol. Ph.D. Thesis, The University of Alabama, 1997.	http://library.ua.edu/vwebv/holdingsInfo?bibId=882951	FJQZOLZDUMHJBF-HIFPTAJRSA-N
