SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H]OC(=O)[C@](C)(Br)[C@]([H])(Br)CC	UALIB-1702	80	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	IDWNXPKNWSHWGZ-INEUFUBQSA-N
CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	UALIB-1703	87	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	DYRFMXMYOQYJIN-DYXWJJEUSA-N
CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@@H](O)C(C)=C)(C(C)C)C(C)C.CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@H](O)C(C)=C)(C(C)C)C(C)C	UALIB-1704	89 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	AUOWDHUDSKFLQU-XCTIOMLWSA-N
CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@@H](O[Si](C)(C)C)C(C)=C)(C(C)C)C(C)C.CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1O[C@@]1(C)[C@H](O[Si](C)(C)C)C(C)=C)(C(C)C)C(C)C	UALIB-1705	90 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	RTOGHDKFPSKLNZ-UVSBDSOESA-N
CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](O)C(C)(C=O)C(C)=C)(C(C)C)C(C)C	UALIB-1706	91	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	SFKOEVOMRPCKNS-BVQDOMOSSA-N
CC(C)[Si](OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](O)C(C)(C1OCCO1)C(C)=C)(C(C)C)C(C)C	UALIB-1707	92	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	KOOJMLKPPRCWTI-DBRKUKIDSA-N
COC1=CC=C(CO[C@@H]([C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C)(C)C(C)(C)C)C(C)(C2OCCO2)C(C)=C)C=C1	UALIB-1708	93	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	LPSMAHZAOJRJIE-LSABIWSESA-N
CO[C@H]1O[C@H](CO)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)C(C)=C	UALIB-1709	94	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	SHMLREGVLOLYGF-OWSLCNJRSA-N
CO[C@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)C(C)=C	UALIB-1710	95	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	ZJNKAPFHOPCKDN-WKAQUBQDSA-N
CO[C@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)[C@@](C)(O)CO.CO[C@@H]1O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@H](OCC2=CC=C(OC)C=C2)[C@]1(C)[C@@](C)(O)CO	UALIB-1711	96 (diasteromeric mixture)	Kim, H. Total synthesis of bioactive oxygen hetereocycles: (+)-lauthisan and (+)-asteltoxin. Ph.D. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=940049	RQCGUFIQWNWRJQ-PCMUZXBXSA-N
