SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
O=C(CNC1=CC(=O)C2=C(C=CC=C2)C1=O)C1=CNC2=C1C=CC=C2	UALIB-1299	2-[[2-(indol-3-yl)-2-oxoethyl]amino]-1,4-naphtho-quinone	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	ZLAYZCIXVROMPF-UHFFFAOYSA-N
OC(CNC1=CC(=O)C2=C(C=CC=C2)C1=O)C1=CNC2=C1C=CC=C2	UALIB-1300	2-[2-(indol-3-yl)-2-hydroxyethyl]amino-1,4-naphthoquinone	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	CJCWVTRVDCQZSM-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C=C(C(=O)CNC2=CC(=O)C3=C(C=CC=C3)C2=O)C2=C1C=CC=C2	UALIB-1301	2-[[2-(1-tert-butoxycarbonylindol-3-yl)-2-oxoethyl]-amino]-1,4-naphthoquinone	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	ZJSLOBPQTVWZQH-UHFFFAOYSA-N
CC(C)(C)OC(=O)N1C=C(C(=O)C(=O)NC2=CC(=O)C3=C(C=CC=C3)C2=O)C2=C1C=CC=C2	UALIB-1302	N-(1,4-naphthoquinon-2-yl)-1-(tert-butoxy-carbonyl)-indole-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	RNOMIKYWCHUNCE-UHFFFAOYSA-N
O=C(NC1=CC(=O)C2=C(C=CC=C2)C1=O)C(=O)C1=CNC2=C1C=CC=C2	UALIB-1303	N-(1,4-naphthoquinon-2-yl)indole-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	CZFQHGOWFILERO-UHFFFAOYSA-N
CN1C=C(C2=CNC3=C2C=CC=C3)C2=C1C(=O)C1=C(C=CC=C1)C2=O	UALIB-1304	3-(indol-3-yl)-1-methylbenz[1,2-f]indole-4,9-dione	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	HWBWSTMHVDKRHL-UHFFFAOYSA-N
CN(CCC1=CNC2=C1C=CC=C2)C1=CC(=O)C2=C(C=CC=C2)C1=O	UALIB-1305	2-[N-[2-(indol-3-yl)ethyl]-N-methylamino]-1,4-naphtho-quinone	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	VYPJQJBHGZUOSH-UHFFFAOYSA-N
CN(CC(=O)C1=CNC2=C1C=CC=C2)C1=CC(=O)C2=C(C=CC=C2)C1=O	UALIB-1306	2-[N-[2-(indol-3-yl)-2-oxoethyl]-N-methylamino]-1,4-naphtho-quinone	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	UXOPFLGFNBYJQJ-UHFFFAOYSA-N
CN1C=C(C2=CN(C3=C2C=CC=C3)S(=O)(=O)C2=CC=C(C)C=C2)C2=C1C(=O)C1=C(C=CC=C1)C2=O	UALIB-1307	3-(1-tosylindol-3-yl)-1-methylbenz[1,2-f]indole-4,9-dione	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	SCKGQUUJTRJOSS-UHFFFAOYSA-N
CC(C)(C)OC(=O)NCCC1=CNC2=C1C(=O)C=C(NCCC1=CNC3=C1C=CC=C3)C2=O	UALIB-1308	3-[2-(tert-butoxycarbonylamino)ethyl]-6-[[2-(indol-3-yl)ethyl]-amino]-1-(p-toluenesulfonyl)indole-4,7-dione	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	VVNKMWMEZFIOCD-UHFFFAOYSA-N
COC1=CC(=O)C2=C(NC=C2CCNC(=O)OC(C)(C)C)C1=O	UALIB-1309	3-[2-(tert-butoxy-carbonylamino)ethyl]-6-methoxyindole-4,7-dione	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	ARRMKAMWQJGJGQ-UHFFFAOYSA-N
COC1=CC(OC)=C(OC)C2=C1C(=CN2S(=O)(=O)C1=C(C)C=C(C)C=C1C)C(=O)C(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1	UALIB-1310	1-mesitylsulfonyl-N,N-dibenzyl-4,6,7-trimethoxylindole-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	XDKBAXPLNCSNDG-UHFFFAOYSA-N
COC1=CC(=O)C2=C(N(C=C2C(=O)C(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)S(=O)(=O)C2=C(C)C=C(C)C=C2C)C1=O	UALIB-1311	N,N-dibenzyl-1-mesitylsulfonyl-6-methoxy-indole-4,7-dione-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	XYHUBSOXPLSTMQ-UHFFFAOYSA-N
CN(CCC1=CNC2=C1C=CC=C2)C1=CC(=O)C2=C(NC=C2C(=O)C(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C1=O	UALIB-1312	N,N-dibenzyl-6-[N-[2-(indol-3-yl)ethyl]-N-methyl-amino]-indole-4,7-dione-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	MJFZQBSVDAEJCY-UHFFFAOYSA-N
CN1C=C(C2=CNC3=CC=CC=C23)C2=C1C(=O)C1=C(C(=CN1)C(=O)C(=O)N(CC1=CC=CC=C1)CC1=CC=CC=C1)C2=O	UALIB-1313	N,N-dibenzyl-5-(indol-3-yl)-7-methylpyrrolo[3,2-f]indole-4,8-dione-3-glyoxamide	Zhang, L. Synthesis of a wakayin model. M.S. Thesis, The University of Alabama, 1998.	http://library.ua.edu/vwebv/holdingsInfo?bibId=975423	MQTBZDUPJKEZSM-UHFFFAOYSA-N
