SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCOC(C)OCC#CCCO	UALIB-2466	17a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	DSVSPMFMVZWPOO-UHFFFAOYSA-N
CCOC(C)OCC#CCCOS(C)(=O)=O	UALIB-2467	17b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	CGSCKBDUOREVAH-UHFFFAOYSA-N
CCOC(C)OCC#CCCI	UALIB-2468	17c	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	GLDNOTLKURTPCU-UHFFFAOYSA-N
OCCC#CCOC1CCCCO1	UALIB-2469	17d	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	QGMANNYLVWXDNX-UHFFFAOYSA-N
CS(=O)(=O)OCCC#CCOC1CCCCO1	UALIB-2470	17e	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	GYAVUALISDPFEN-UHFFFAOYSA-N
ICCC#CCOC1CCCCO1	UALIB-2471	17f	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	IEQZYJKDFCSJCO-UHFFFAOYSA-N
CCOC(C)OCC#CC=C	UALIB-2472	18a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	TVDOOLGHRHSONF-UHFFFAOYSA-N
C=CC#CCOC1CCCCO1	UALIB-2473	18b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	RFKSRQQLICSNMH-UHFFFAOYSA-N
CC1=CC(O[Si](C)(C)C)=C(C)O1	UALIB-2474	38	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	CNEDLNAIYYCNME-UHFFFAOYSA-N
CCOC(=O)CCC1(C)OC(C)=CC1=O	UALIB-2475	40	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	REIQMPBLIGEEAF-UHFFFAOYSA-N
COC(=O)CC(C(=O)OC)C1(C)OC(C)=CC1=O	UALIB-2476	41	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	PJEGJMJVGNYGAK-UHFFFAOYSA-N
CC(=O)CCC1(C)OC(C)=CC1=O	UALIB-2477	42	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	WEGFTQFOOLRZAN-UHFFFAOYSA-N
[H]C(=O)CCC1(C)OC(C)=CC1=O	UALIB-2478	43	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	ZZLDOPSNDNCSCL-UHFFFAOYSA-N
COC(=O)\C=C\C1(C)OC(C)=CC1=O	UALIB-2479	44	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	GAIKCRXGLYNEIP-SNAWJCMRSA-N
COC(=O)\C=C(/C(=O)OC)C1(C)OC(C)=CC1=O	UALIB-2480	45	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	UVPZKMFXRSCLIQ-SOFGYWHQSA-N
CCOC(=O)\C=C(/C)C1(C)OC(C)=CC1=O	UALIB-2481	46	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	WPGHPAFBBZJOSB-SOFGYWHQSA-N
