SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC=C=C	UALIB-1514	17	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	RRWJXAJEGRDMQH-UHFFFAOYSA-N
[H]C(=O)CCCC=C	UALIB-1515	29	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	USLRUYZDOLMIRJ-UHFFFAOYSA-N
COC(=C=C)C(O)CCCC=C	UALIB-1516	30	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	HSUKVYKNHFTSLA-UHFFFAOYSA-N
C=CCCCC1OCCC1=O	UALIB-1517	27	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	RXYWXUSHBVWEJL-UHFFFAOYSA-N
C=CCCCC1OC=CC1=O	UALIB-1518	10a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	IHZDBGCYQHUGHL-UHFFFAOYSA-N
COCC#CSC1=CC=CC=C1	UALIB-1519	32	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	XUSPWSBDWXSPHZ-UHFFFAOYSA-N
OCC#C	UALIB-1520	36	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	TVDSBUOJIPERQY-UHFFFAOYSA-N
CCOC(C)OCC1=CC(CC)=NO1	UALIB-1521	38	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	VIEDHSKTDKJZMX-UHFFFAOYSA-N
CC1=NOC(CO)=C1	UALIB-1522	22a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	OFSDWHRZVRCPBR-UHFFFAOYSA-N
CCC1=CC(=O)CO1	UALIB-1523	23a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	RFBRUWXWGVDEMB-UHFFFAOYSA-N
CC1=CC(=O)C(C)(CC=C)O1	UALIB-1524	12a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	FLDCMSAYWFUGJH-UHFFFAOYSA-N
[H]C1([H])[C@@]2([H])CC3C(=O)C1(C)OC23C	UALIB-1525	13a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	MXESIFRMRYUMGK-DOCOQKPTSA-N
BrC1=COC=C1	UALIB-1526	42a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	LXWLEQZDXOQZGW-UHFFFAOYSA-N
C[Si](C)(C)OO[Si](C)(C)C	UALIB-1527	45	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	XPEMYYBBHOILIJ-UHFFFAOYSA-N
COC(=O)\C=C\CI	UALIB-1528	6b	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	CQXZCMOTWVQDLY-NSCUHMNNSA-N
[H][C@]1(C[C@@]1([H])[C@@]1(C)OC(C)=CC1=O)C(=O)OC.[H][C@@]1(C[C@]1([H])[C@@]1(C)OC(C)=CC1=O)C(=O)OC	UALIB-1529	8a and 8b	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	JMSOTGZQVRPBKH-NJBUCWNZSA-N
COC(=O)\C=C\CC1(C)OC(C)=CC1=O	UALIB-1530	7	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	RFYXNFOLQIRVIQ-SNAWJCMRSA-N
