SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)[C@H](O)C(O)=O	UALIB-1750	66	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	NGEWQZIDQIYUNV-BYPYZUCNSA-N
CCOC(=O)[C@@H](O)[C@@H](C)O	UALIB-1751	67	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	PMNDLKWRJQBUCG-UHNVWZDZSA-N
CCOC(=O)[C@@H](O)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-1752	45c	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	UYCVLVIZKHXPAV-KGLIPLIRSA-N
[Ca++].CC1(C)OCC(O1)[C@@H](O)C([O-])=O	UALIB-1753	68a	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	YLIZBJBJZOHVIU-VVNPLDQHSA-M
CCCCCC\C=C\C(=O)OC	UALIB-1754	69	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	ZWNPUELCBZVMDA-CMDGGOBGSA-N
CCCCCCC[C@@H](O)[C@H](O)C(=O)OC	UALIB-1755	70	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	RCOSOARNYXZHJW-ZJUUUORDSA-N
CCCCCCC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@H](O)C(=O)OC	UALIB-1756	45d	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	VNHMNPSNPHTEMA-MOPGFXCFSA-N
COC(=O)\C=C\CCCO	UALIB-1757	71	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	ATLBQTPBCVSZGU-HWKANZROSA-N
COC(=O)\C=C\CCCOC1CCCCO1	UALIB-1758	71a	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	MXYKHVMAQDDEBF-XVNBXDOJSA-N
CCOC(=O)[C@@H](O)[C@H](O)CCCOC1CCCCO1	UALIB-1759	71b	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	CMLYZWHPTMNEBJ-LWALXPGCSA-N
