SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H][C@@](Br)(CC)C(C)(C)C(O)=O	UALIB-339	Erythro-2,3-Dibromo-2-methylpentanoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	UCKHUOHUOYJTCV-RXMQYKEDSA-N
[H]\C(CC)=C(/C)Br	UALIB-340	Z-2-Bromo-2-pentene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	RWKAFOQZRPDXDT-PLNGDYQASA-N
[H]\C(CC)=C(/C)C(O)=O	UALIB-341	cis-2-Methyl-2-pentenoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	JJYWRQLLQAKNAD-PLNGDYQASA-N
[H][C@@](Br)(CC)[C@](C)(Br)C(O)=O	UALIB-342	Threo-2,3-Dibromo-2-methylpentanoic acid	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	IDWNXPKNWSHWGZ-XINAWCOVSA-N
[H]\C(CC)=C(\C)Br	UALIB-343	E-2-Bromo-2-pentene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	RWKAFOQZRPDXDT-SNAWJCMRSA-N
CC(C)[Si](OC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1O[C@@]1(C)CO)(C(C)C)C(C)C	UALIB-344	(2R,3R,4R)-2,3-Epoxy-4,5-bis(triisopropylsiloxy)-2-methylpent-1-ol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	XWFVEKLMZSOCGO-SGNDLWITSA-N
CC\C=C(/C)C(O)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-345	(2R,3R,4R,5RS)-3,4-Epoxy-5-ol-1,2-bis(triisopropylsilyloxy)-4,6-dimethyl-6(E)-nonene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	SRUVFZUKLWKCOW-QJJRGQCDSA-N
CC\C=C(/C)C(O[Si](C)(C)C)[C@]1(C)O[C@H]1[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-346	(2R,3R,4R,5RS)-3,4-Epoxy-5-trimethylsilyloxy-1,2-O-bis(triiospropylsilyloxy)-4,6-dim-ethyl-6(E)-nonene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	AYFLWBJKIFBQQB-LWSHAMMPSA-N
CC\C=C(/C)C(C)(C=O)[C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C	UALIB-347	(2R,3R,4R)-2-Methyl-2-[1-methyl-1(E)-butenyl]-3-hydroxy-4,5-bis(triisopropylsilyloxy)pentanal	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	XUBURSZJEMSHKO-GZGBSASGSA-N
CC\C=C(/C)[C@@](C)([C@@H](O)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C)C1OCCO1	UALIB-348	(2R,3R,4R)-3-Hydroxy-4-(2,5-dioxolanyl)-4,5-dimethyl-1,2-bis(triisopropylsilyloxy)-5(E)-octene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	PXHBWRVVDLDIBH-JGFPXFMTSA-N
CC\C=C(/C)[C@@](C)([C@@H](OCC1=CC=C(OC)C=C1)[C@@H](CO[Si](C(C)C)(C(C)C)C(C)C)O[Si](C(C)C)(C(C)C)C(C)C)C1OCCO1	UALIB-349	(2R,3R,4R)-3-(4-Methoxybenzyloxy)-4-(2,5-dioxolanyl)-4,5-dimethyl-1,2-bis(triisopropylsilyloxy)-5(E)-octene	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	GDYGPDDHTAFTDK-GMVBGBJESA-N
CC\C=C(/C)C(C)([C@@H](OCC1=CC=C(OC)C=C1)[C@H](O)CO)C1OCCO1	UALIB-350	(2R,3R,4R)-3-(4-Methoxybenzyloxy)-4-(2,5-dioxolanyl)-4,5-dimethyloct-5(E)-ene-1,2-diol	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	KRUXIVHSIPAVCG-LBPIHCLOSA-N
CC\C=C(/C)[C@]1(C)[C@@H](OC)O[C@H](CO)[C@@H]1OCC1=CC=C(OC)C=C1	UALIB-351	(2R,3R,4R,5R)-2-Methoxy-4-(4-methoxybenzyloxy)-3-[1-methyl-1(E)-butenyl]-5-(hydroxymethyl)oxolane	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	WNLRSZBCCHMGND-JFVQNFPGSA-N
CC\C=C(/C)[C@]1(C)[C@@H](OC)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H]1OCC1=CC=C(OC)C=C1	UALIB-352	(2R,3R,4R,5R)-2-Methoxy-4-(4-methoxybenzyloxy)-3-methyl-3-[1-methyl-1(E)-butenyl]-5-(tr-iisopropylsilyloxymethyl)oxolane	Eom, K.D. Total Synthesis of (+)-Asteltoxin. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1128100	CHGRFQWEMSYHIE-JUAQOTLBSA-N
