SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CN(CCO)C1=CC(=O)C(=CC1=O)N(C)CCO	UALIB-993	2,5-Bis(N-2-hydroxyethyl-N-methylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	RQFHZLBSLFXBFM-UHFFFAOYSA-N
CCN(CCO)C1=CC(=O)C(=CC1=O)N(CC)CCO	UALIB-994	2,5-Bis(N-2-hydroxyethyl-N-ethylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	CANMGMCDOLOYIX-UHFFFAOYSA-N
CCCN(CCO)C1=CC(=O)C(=CC1=O)N(CCC)CCO	UALIB-995	2,5-Bis(N-2-hydroxyethyl-N-propylamino)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	LVAXIIRCIYEGNR-UHFFFAOYSA-N
CN(CCOC(=O)NC1=CC=C(C)C=C1)C1=CC(=O)C(=CC1=O)N(C)CCOC(=O)NC1=CC=C(C)C=C1	UALIB-996	AQU-1	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	LKFYENQVDJMXPC-UHFFFAOYSA-N
CN(C)C1=CC(=O)C(=CC1=O)N(C)C	UALIB-997	2,5-Bis(N,N’-dimethyl)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	BZZIJKWURTYMLH-UHFFFAOYSA-N
CCN(CC)C1=CC(=O)C(=CC1=O)N(CC)CC	UALIB-998	2,5-Bis(N,N’-diethyl)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	IHZMGBPXYBCYFI-UHFFFAOYSA-N
CN(C)C1=C(Cl)C(=O)C(N(C)C)=C(Cl)C1=O	UALIB-999	2,5-Bis(N,N’-dimethyl)-3,6-dichloro-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	GRVLDMQTFHARBT-UHFFFAOYSA-N
CCN(CC)C1=C(Cl)C(=O)C(N(CC)CC)=C(Cl)C1=O	UALIB-1000	2,5-Bis(N,N’-diethyl)-3,6-dichloro-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	OQOOCJFEYRUERJ-UHFFFAOYSA-N
NC1=CC=C(CC2=CC=C(NC3=CC(=O)C(NC4=CC=C(CC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	UALIB-1001	2,5-Bis(4,4’-methylene dianiline)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	QIUADAKQQRDWER-UHFFFAOYSA-N
NC1=CC=C(OC2=CC=C(NC3=CC(=O)C(NC4=CC=C(OC5=CC=C(N)C=C5)C=C4)=CC3=O)C=C2)C=C1	UALIB-1002	2,5-Bis(4,4’-oxydianiline)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	CWCXWNPDSYLARV-UHFFFAOYSA-N
O=C1C=C(NC2=CC=C(CC3=CC=CC=C3)C=C2)C(=O)C=C1NC1=CC=C(CC2=CC=CC=C2)C=C1	UALIB-1003	2,5-Bis(4,4’-benzyl aniline)-1,4-benzoquinone	Han, M. Synthesis and characterization of amine-quinone polymides and their uses in corrosion protection. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130335	MUIMTZCCABIPOG-UHFFFAOYSA-N
