SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC1=CC(CCCO)=CC(OC)=C1OC	UALIB-1315	3-(3,4,5-Trimethoxyphenyl)-1-propanol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	IBRWTCISGCXHQZ-UHFFFAOYSA-N
COC1=CC(CCCO[Si](C(C)C)(C(C)C)C(C)C)=CC(OC)=C1OC	UALIB-1316	5-(3-Triisopropylsiloxypropyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	RYKWWGOCRZEQDZ-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(I)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	UALIB-1317	5-(3-Triisopropylsiloxypropyl)-4-iodo-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	GJJIEPRUFKKMGQ-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C[Si](C)(C)C)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	UALIB-1318	5-(3-Triisopropylsiloxypropyl)-4-(2-trimethylsilyethynyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	AOFJQXYUZMRMJL-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CCCO)=C1	UALIB-1319	3-(2-Ethynyl-3,4,5-trimethoxyphenyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	BJFQIKGJWOTJKR-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CCC(O)C(Cl)(Cl)Cl)=C1	UALIB-1320	4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1,1,1-trichloro-butan-2-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	KIZRBZQSWRSYGN-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CCC(N=[N+]=[N-])C(O)=O)=C1	UALIB-1321	2-Azido-4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-butanoic acid	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	CIEWFKQHCJKDOI-UHFFFAOYSA-N
COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)N=[N+]=[N-]	UALIB-1322	Methyl [2-Azido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	SLWWYMCEWAQHCT-UHFFFAOYSA-N
COC(=O)C(N)CCC1=CC(OC)=C(OC)C(OC)=C1C#C	UALIB-1323	Methyl [2-amino-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	WCOFBUILQKPVFZ-UHFFFAOYSA-N
COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)NC(C)=O	UALIB-1324	Methyl [2-acetamido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	KKGZZKSGTSDWGD-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CCC(O)C2=NC=CO2)=C1	UALIB-1325	3-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1-(2,5-oxazolyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	CCUABPOSKGFGQX-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CC[C@@H](O)C2=NC=CO2)=C1	UALIB-1326	(1R)-3-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1-(2,5-oxazolyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	CCUABPOSKGFGQX-CYBMUJFWSA-N
COC1=C(OC)C(OC)=C(C#C)C(CC[C@H](N=[N+]=[N-])C2=NC=CO2)=C1	UALIB-1327	5-[(3S)-3-Azido-3-(2,5-oxazolyl)propyl]-4-ethynyl-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LCZYOKKCUWOGCZ-ZDUSSCGKSA-N
COC1=C(OC)C(OC)=C(C#C)C(CC[C@H](NC(C)=O)C2=NC=CO2)=C1	UALIB-1328	(S)-N-Acetyl-3-(2-ethynyl-3,4,5-trimethoxyphenyl)-1-(2-oxazolyl)-propylamine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	NVTMYILIAXJXBT-HNNXBMFYSA-N
COC1=C(OC)C(OC)=C2C3=C(OC=C3)[C@H](CCC2=C1)NC(C)=O	UALIB-1329	(S)-N-7-Acetylamino-(12,13,14-Trimethoxy-5-oxatricyclo[8.4.0.0(2,6)]tetradeca-1(10),2(6),3,11,13-pentaene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LALCTSJFOCTOCE-ZDUSSCGKSA-N
COC(=O)[C@H](CC(=O)C1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	UALIB-1330	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-oxo-4-(3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	YOLNPHZGTWKUDN-LBPRGKRZSA-N
COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	UALIB-1331	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-(3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	SZZYPMVELZLVNS-ZDUSSCGKSA-N
COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(=O)OC(C)(C)C	UALIB-1332	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-(2-iodo-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	JYORUABUAIYCRD-LBPRGKRZSA-N
COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(C)=O	UALIB-1333	(2S)-Methyl-[2-acetamido-4-(2-iodo-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	PHHRIGWNXYMPOA-NSHDSACASA-N
COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C#C[Si](C)(C)C)NC(C)=O	UALIB-1334	(2S)-Methyl-[2-acetamido-4-(2-trimethylsilylethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	WRCMKNKNFWGUHZ-KRWDZBQOSA-N
COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C#C)NC(C)=O	UALIB-1335	(2S)-Methyl-[2-acetamido-4-(2-ethynyl-3,4,5-trimethoxy)phenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	KKGZZKSGTSDWGD-AWEZNQCLSA-N
COC1=C(OC)C(OC)=C(C#C)C(CC[C@H](NC(C)=O)C2=CN=CO2)=C1	UALIB-1336	(S)-N-Acetyl-3-(2-ethynyl-3,4,5-trimethoxyphenyl)-1-(5-oxazolyl)-propylamine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LLNHQAXFZVOCCZ-HNNXBMFYSA-N
COC1=C(OC)C(OC)=C2C3=C(OC=C3)[C@H](CCC2=C1)NC(=O)OC(C)(C)C	UALIB-1337	(S)-7-tert-Butoxycarbonylamino-(12,13,14-trimethoxy-5-oxatricyclo[8.4.0.0(2,6)]tetradeca-1(10),2(6),3,11,13-pentaene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	JOCPYWAPPPIGLF-AWEZNQCLSA-N
CO[C@H]1[C@@H]2O[C@@]3(CC1=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C3=C2)NC(=O)OC(C)(C)C	UALIB-1338	(1R,2S,13R,14S)-2-tert-Butoxycarbonylamino-7,8,9,14-tetramethoxy-17-oxatetracyclo[11.3.1.0(1,11).0(5,10)]heptadeca-5(10),6,8,11(12)-tetraen-15-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	STRRXEMMNAOOPL-MHDHIAOQSA-N
CO[C@H]1C(=O)C[C@H]2O[C@@]11[C@H](CCC3=CC(OC)=C(OC)C(OC)=C3C1=C2)NC(C)=O	UALIB-1339	(1S,2S,13S,16R)-2-Acetamido-7,8,9,16-tetramethoxy-17-oxatetracyclo[11.3.1.0(1,11).0(5,10)]heptadeca-5(10),6,8,11(12)-tetraen-15-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	HOJWMQSXRLFSOC-IGPXYBRXSA-N
COC1=C(OC)C(OC)=C2C(CC[C@H](NC(=O)OC(C)(C)C)C3=CC(=O)C(OC)=CC=C23)=C1	UALIB-1340	(S)-7-tert-Butoxycarbonylamino-6,7-dihydro-1,2,3,10-tetramethoxybenzo[a]heptalene-9(5H)-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	RAMUUTDCIDNGQY-KRWDZBQOSA-N
COC1=C(OC)C(OC)=C2C(CC[C@H](NC(C)=O)C3=CC(=O)C(OC)=CC=C23)=C1	UALIB-1341	Colchicine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	IAKHMKGGTNLKSZ-INIZCTEOSA-N
O=C1C=CC=CC=C1	UALIB-1342	2,4,6-Cycloheptatriene-1-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	QVWDCTQRORVHHT-UHFFFAOYSA-N
OC1=CC=CC=CC1=O	UALIB-1343	2-Hydroxy-2,4,6-cycloheptatriene-1-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	MDYOLVRUBBJPFM-UHFFFAOYSA-N
COC(CN(CC1=CC(OC)=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C(C)C=C1)OC	UALIB-1344	N-(2,2-Dimethoxyethyl)-N-[(3,4,5-trimethoxyphenyl)methyl]-p-toluenesolfonamide	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LHFIPOQEWIBEIN-UHFFFAOYSA-N
COC(CN(CC1=C(I)C(OC)=C(OC)C(OC)=C1)S(=O)(=O)C1=CC=C(C)C=C1)OC	UALIB-1345	N-(2,2-Dimethoxyethyl)-N-[(2-iodo-3,4,5-trimethoxyphenyl)methyl]-p-toluenesolfonamide	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	WSNMMJIGIBFIFV-UHFFFAOYSA-N
COC1=C(I)C2=C(C=CN=C2)C(OC)=C1OC	UALIB-1346	8-Iodo-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LWLTVZWNJAJRAY-UHFFFAOYSA-N
COC1=C(OC)C2=C(C=NC=C2)C(C#C[Si](C)(C)C)=C1OC	UALIB-1347	8-(2-trimethylsilylethynyl)-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	WCAMYTWLFNDFFZ-UHFFFAOYSA-N
[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C=NC=C2	UALIB-1348	8-Ethynyl-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	XQYPCEXVWDAHOV-UHFFFAOYSA-N
[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C(C#N)N(C=C2)C(=O)OC(C)(C)C	UALIB-1349	tert-Butyl-1-cyano-8-ethynyl-5,6,7-trimethoxy-1,2-dihydroisoquinoline-2-carboxylate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	ZQLCMVBWSHZOFB-UHFFFAOYSA-N
[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C(N(C=C2)C(=O)OC(C)(C)C)C1=CN=CO1	UALIB-1350	tert-Butyl-8-ethynyl-5,6,7-trimethoxy-1-(2,4-oxazolyl)-1,2-dihydroisoquinoline-2-carboxylate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	VKMUPQWAPIMGGA-UHFFFAOYSA-N
COC1=C2C3=C(OC=C3)C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1351	8-(Azaethylidene)-7-ethenyl-4,5,6-trimethoxyindeno[2,3-b]furan	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	PACLQMIDZGHFGS-UHFFFAOYSA-N
CO[C@H]1[C@@H]2O[C@]3(CC1=O)C(=C2)C1=C(OC)C(OC)=C(OC)C2=C1C3=NC=C2	UALIB-1352	16-Aza-5-methoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	AOUKKRXCLZAKAE-ZWTQSMTMSA-N
COC1C(=O)CC2OC11C(=C2)C2=C(OC)C(OC)=C(OC)C3=C2C1=NC=C3	UALIB-1353	16-Aza-3-methoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	WZROGWDVHCBJKZ-UHFFFAOYSA-N
COC1=C2C3=CC=C(OC)C(=O)C=C3C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1354	Imerubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	UNLMKMRFVJZAEV-UHFFFAOYSA-N
COC1=C2C3=C[C@@H]4CC(=O)C[C@]3(O4)C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1355	16-Aza-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	IKHRJKQKLXOEJC-MPFOBBLXSA-N
COC1=C2C3=C[C@H]4O[C@@]3(CC(OC)(OC)[C@H]4O)C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1356	16-Aza-4,4-dimethoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-5-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	AQGNWQLNNQHXLP-IWSJWDQHSA-N
COC1=C2C3=C[C@H]4O[C@@]3(CC(=O)[C@H]4O)C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1357	16-Aza-5-hydroxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	BPRDLKXSSKXWGH-RVMQYVRESA-N
COC1=C2C3=CC=C(O)C(=O)C=C3C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1358	Grandirubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	SKNSHDGCCINVFT-UHFFFAOYSA-N
COC1=C2C3=C(C=C(OC)C(=O)C=C3)C3=NC=CC(=C23)C(OC)=C1OC	UALIB-1359	Isoimerubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	LSZCTBVMSGTFLL-UHFFFAOYSA-N
[H]C(=O)CCC1=CC(OC)=C(OC)C(OC)=C1C#C	UALIB-1360	aldehyde 71a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	OLFAEBUPLDFZFY-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C(C#C)C(CCC(=O)C2=NC=CO2)=C1	UALIB-1361	ketone 72a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	TUJWGLZXIRXLPE-UHFFFAOYSA-N
COC1=C(OC)C(OC)=C2C3=C(OC=C3)[C@H](CCC2=C1)N(C(C)=O)C(=O)OC(C)(C)C	UALIB-1362	acetamide 39a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	GBWUTVVPMNSRSY-INIZCTEOSA-N
