SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC(=O)CC[C@@]12O[C@@H](C=C1)[C@@H](C)C(=O)[C@H]2C.COC(=O)CC[C@]12O[C@H](C=C1)[C@H](C)C(=O)[C@@H]2C	UALIB-1033	(±)-1S,2S,4R,5S-2,4-Dimethyl-1-(3-oxo-3-methoxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	JSOBSGLXWWIRPD-VFQGVXTPSA-N
C[C@H]1[C@@H]2O[C@@](CCCO)(C=C2)[C@@H](C)[C@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H]2O[C@](CCCO)(C=C2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C	UALIB-1034	(±)-1R,2R,3R,4R,5S-3-tert-Butyldimethylsiloxy-2,4-dimethyl-1-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	JUCDJIAZZSMWIS-YIOOGNBMSA-N
C[C@H]1[C@@H]2O[C@@](CC\C=C/I)(C=C2)[C@@H](C)[C@H]1O[Si](C)(C)C(C)(C)C.C[C@@H]1[C@H]2O[C@](CC\C=C/I)(C=C2)[C@H](C)[C@@H]1O[Si](C)(C)C(C)(C)C	UALIB-1035	(±)-1R,2R,3R,4R,5S-3-tert-Butyldimethylsiloxy-2,4-dimethyl-1-(4-iodobut-3Z-enyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	CSBNTVBYECWLKU-CIGPUJQUSA-N
[H][C@@]12C[C@@H]3O[C@@]1(CCC=C2)[C@H](C)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H]3C.[H][C@]12C[C@H]3O[C@]1(CCC=C2)[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]3C	UALIB-1036	(±)-1R,6S,8S,9R,10R,11R-10-tert-Butyldimethylsiloxy-9,11-dimethyl-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	HDTNYQCHJDORNU-QGEQQEHASA-N
COC(=O)CCC1=CC=C(CO[Si](C)(C)C(C)(C)C)O1	UALIB-1037	2-tert-Butyldimethylsiloxymethyl-5-(3-oxo-3-methoxypropyl)-furan	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	SZCPAKJQGDGINQ-UHFFFAOYSA-N
COC(=O)CC[C@@]12CC(=O)C[C@@](CO[Si](C)(C)C(C)(C)C)(O1)C=C2.COC(=O)CC[C@]12CC(=O)C[C@](CO[Si](C)(C)C(C)(C)C)(O1)C=C2	UALIB-1038	(±)-1-tert-Butyldimethylsiloxymethyl-5-(3-oxo-3-methoxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	GKUJDIXNBKSSIZ-QVUSPSOHSA-N
CC(C)(C)[Si](C)(C)OC[C@@]12C[C@H](O)C[C@@](CCCO)(O1)C=C2.CC(C)(C)[Si](C)(C)OC[C@]12C[C@@H](O)C[C@](CCCO)(O1)C=C2	UALIB-1039	(±)-1R,3S,5S-1-tert-Butyldimethylsiloxymethyl-5-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-en-3-ol	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	BMQGTAUSNNFJIS-HFOHEHIVSA-N
CC(C)(C)[Si](C)(C)OC[C@@]12C[C@@H](C[C@@](CCCO)(O1)C=C2)OCOCC1=CC=CC=C1.CC(C)(C)[Si](C)(C)OC[C@]12C[C@H](C[C@](CCCO)(O1)C=C2)OCOCC1=CC=CC=C1	UALIB-1040	(±)-1R,3S,5S-3-Benzyloxymethoxy-1-tert-butyldimethylsiloxymethyl-5-(3-hydroxypropyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	UVXRBILAGPBLRX-MWUQKOCKSA-N
CC(C)(C)[Si](C)(C)OC[C@@]12C[C@@H](C[C@@](CC\C=C/I)(O1)C=C2)OCOCC1=CC=CC=C1.CC(C)(C)[Si](C)(C)OC[C@]12C[C@H](C[C@](CC\C=C/I)(O1)C=C2)OCOCC1=CC=CC=C1	UALIB-1041	(±)-1R,3S,5S-3-Benzyloxymethoxy-tert-butyldimethylsiloxymethyl-5-(4-iodobut-3Z-enyl)-8-oxabicyclo[3.2.1]oct-6-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	VHGHCBXRSVVZHS-DAXRORNMSA-N
[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)C[C@H](C[C@]1(CCC=C2)O3)OCOCC1=CC=CC=C1.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)C[C@@H](C[C@@]1(CCC=C2)O3)OCOCC1=CC=CC=C1	UALIB-1042	(±)-1S,6S,8S,10S-10-Benzyloxymethoxy-8-tert-Butyldimethylsiloxymethyl-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	CJPLXSUOGWVSSF-PTBYFFGXSA-N
