SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
C[C@@H]1CCCN2C(=O)CC[C@@]12O	UALIB-1868	20 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	NNJDSVNNFRVGRB-VXNVDRBHSA-N
C[C@@H]1CCN2C(=O)CC[C@@]12O	UALIB-1869	19 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	FKBQOWSPKBHXFN-HTRCEHHLSA-N
OC[C@@H]1CCCN2C(=O)CC[C@@]12O	UALIB-1870	22 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	KGZRZIXNTTZVCN-IONNQARKSA-N
OC[C@@H]1CCN2C(=O)CC[C@@]12O	UALIB-1871	21 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	GGJZFFVIARIPEX-POYBYMJQSA-N
CC(C)[Si](OC[C@@H]1CCCN2C(=O)CC[C@@]12O)(C(C)C)C(C)C	UALIB-1872	43 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	SRLBITGAONFGFQ-FUHWJXTLSA-N
[H][C@@]12CCC(=O)N1CCC[C@H]2CO[Si](C(C)C)(C(C)C)C(C)C	UALIB-1873	44 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	FBTKLDYOZCLKGL-IRXDYDNUSA-N
[H][C@@]12CCC(=O)N1CC[C@@H]2C	UALIB-1874	31 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	XQRIFSFMAVSCKK-BQBZGAKWSA-N
[H][C@@]12CCC(=O)N1CCC[C@@H]2C	UALIB-1875	33 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	UIPIFRBRNRAGAX-YUMQZZPRSA-N
[H][C@@]12CCC(=O)N1CCC[C@@H]2CC	UALIB-1876	35 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	GXASHUJARGALEO-IUCAKERBSA-N
[H][C@@]12CCC(=O)N1CCC[C@@H]2CO	UALIB-1877	37 (relative stereo in name, defined in structure)	Kim, S.-H. Titanium-mediated cyclization reactions: I. New synthetic methods for alkaloids; II. [1,3]- and [3,3]-Sigmatropic rearrangements of vinylcyclobutanols. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1556448	OXLBIWPMLJGIRA-SFYZADRCSA-N
