SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24CCO)C(=O)OC(C)(C)C)C=C1	UALIB-970	alcohol 66	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	XHRDNPBOKGLUAN-UHFFFAOYSA-N
COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24\C=C\O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1	UALIB-971	silyl enol ether 62	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	RPMRJMNLSREHHU-LSDHQDQOSA-N
COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@@H](O)C(OC(=O)C2=CC(Cl)=CC=C2)O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1.COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@H](O)C(OC(=O)C2=CC(Cl)=CC=C2)O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1	UALIB-972	71a and 71b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	ZFXYTLYFECRQKZ-KFPCUEHNSA-N
COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@@H](O)CO)C(=O)OC(C)(C)C)C=C1	UALIB-973	diol 70a	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-ODXJWXGXSA-N
COC1=CC=C(CN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@H](O)CO)C(=O)OC(C)(C)C)C=C1	UALIB-974	diol 70b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-CQVZTVFVSA-N
CCOC(=O)\C=C1\C2CCN(C1C(CO[Si](C)(C)C(C)(C)C)CC2C(=O)NCCCCOCC1=CC=C(OC)C=C1)C(=O)OC(C)(C)C	UALIB-975	87	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	DWJSXLMTWKJYLL-WMMMYUQOSA-N
CCOC(=O)CC12C3CCN(C1C(CO[Si](C)(C)C(C)(C)C)CC3C(=O)N2CCCCOCC1=CC=C(OC)C=C1)C(=O)OC(C)(C)C	UALIB-976	88	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	FZXBXNCRWDTGRG-UHFFFAOYSA-N
COC1=CC=C(COCCCCN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24CCO)C(=O)OC(C)(C)C)C=C1	UALIB-977	alcohol 89	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	BIJQKNUPJWSDGP-UHFFFAOYSA-N
COC1=CC=C(COCCCCN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24\C=C\O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1	UALIB-978	silyl enol ether 90	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	UGERVEXSLWQXQK-XTCLZLMSSA-N
COC1=CC=C(CCCCCN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@@H](O)C(OC(=O)C2=CC(Cl)=CC=C2)O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1.COC1=CC=C(CCCCCN2C(=O)C3CC(CO[Si](C)(C)C(C)(C)C)C4N(CCC3C24[C@H](O)C(OC(=O)C2=CC(Cl)=CC=C2)O[Si](C)(C)C(C)(C)C)C(=O)OC(C)(C)C)C=C1	UALIB-979	91a and 91b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	GOGPVAQGZWBXJB-XJCTVHNISA-N
