SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
NC1=C2N=C(N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1)C1=CC=CC=C1	UALIB-2166	8PhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	BLYRKJBYXSDVJO-QJPTWQEYSA-N
COC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	UALIB-2167	8MeOPhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	DFIUPRQDDZENDP-YNEHKIRRSA-N
CC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	UALIB-2168	p-TolyldA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	AZAYZDXZDKSDGI-YNEHKIRRSA-N
NC1=C2N=C(N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1)C1=CC=C(CO)C=C1	UALIB-2169	8HOCH2PhdA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	RXMBFWSZFFGQNQ-YNEHKIRRSA-N
NC1=C2N=C(N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1)C1=CC=CC=C1	UALIB-2170	8PhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	VPKLCUYVISQZJY-UBEDBUPSSA-N
COC1=CC=C(C=C1)C1=NC2=C(N)N=CN=C2N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	UALIB-2171	8MeOPhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	OKPNPELXKRMPQE-CNEMSGBDSA-N
NC1=C2N=C(N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1)C1=CC=C(F)C=C1	UALIB-2172	8FPhA	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	DXAQHZLMAIYZHC-UBEDBUPSSA-N
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC=CC=C1	UALIB-2173	5PhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	GLRAEFXZTFJYRZ-YNEHKIRRSA-N
COC1=CC=C(C=C1)C1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	UALIB-2174	5-MeOPhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	GXUBSLJTNRPALI-BFHYXJOUSA-N
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC=C(F)C=C1	UALIB-2175	5FPhdU	Western, E.C. Efficient modification of nucleosides using Suzuki-Miyaura coupling in aqueous media. M.S. Thesis, The University of Alabama, 2003.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1632944	XTDIYPCUWJPSBT-YNEHKIRRSA-N
