SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H]C1=[N+](C=CN1CC(O)(C(F)(F)F)C(F)(F)F)C1=C(C)C=C(C)C=C1C	UALIB-2770	84	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	QTQCOESIMSZZAV-UHFFFAOYSA-N
CC1=CC(C)=C(N2C=CN3CC(O\[Cu]=C4\N(CC(O[Cu]=C23)(C(F)(F)F)C(F)(F)F)C=CN4C2=C(C)C=C(C)C=C2C)(C(F)(F)F)C(F)(F)F)C(C)=C1	UALIB-2771	88	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	OWANTIFQUKVXOZ-UHFFFAOYSA-N
CC1=CC(C)=C(N2C=CN3CC(O[Ni]4(=C5N(CC(O4)(C(F)(F)F)C(F)(F)F)C=CN5C4=C(C)C=C(C)C=C4C)=C23)(C(F)(F)F)C(F)(F)F)C(C)=C1	UALIB-2772	89	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	AQUAMJQTLLNSOQ-UHFFFAOYSA-N
CC1=CC(C)=C(N2C=CN3CC(O[Pd]4(=C5N(CC(O4)(C(F)(F)F)C(F)(F)F)C=CN5C4=C(C)C=C(C)C=C4C)=C23)(C(F)(F)F)C(F)(F)F)C(C)=C1	UALIB-2773	90	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	MKYDYPXZBBGICF-UHFFFAOYSA-N
C\C=C(/C)C(C)(O)C1=CN(C)C(=S)N1C	UALIB-2774	96	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	VKYUOOIRUHXJKZ-SOFGYWHQSA-N
[H]C1(C)C(C)=C(C)C2=C1N(C)C(=S)N2C	UALIB-2775	97	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	JOLVKQRIIBUDFH-UHFFFAOYSA-N
C\C=C(/C)C(C)(O)C1=CN=C(Cl)N1C	UALIB-2776	113	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	NSSZZIWLDJOLAD-FNORWQNLSA-N
[H]C1(C)C(C)=C(C)C2=C1N(C)C(Cl)=N2	UALIB-2777	114	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	WBGRLTLDYHNQRB-UHFFFAOYSA-N
F[B-](F)(F)F.[H]C1(C)C(C)=C(C)C2=C1N(C)C(Cl)=[N+]2C	UALIB-2778	115	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	PLQSTDMRYULHIS-UHFFFAOYSA-N
[H]C1=NC2=C(N1C)C([H])(C)C(C)=C2C	UALIB-2779	106	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	CYATYMABEIUPIB-UHFFFAOYSA-N
F[B-](F)(F)F.[H]C1=[N+](C)C2=C(N1C)C([H])(C)C(C)=C2C	UALIB-2780	105	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	MSUODTNGYBIIQD-UHFFFAOYSA-N
[H]C1=[N+](C)C2=C([C-](C)C(C)=C2C)N1C	UALIB-2781	118	Tapu, D. New architectures in Imidazol-2-Ylidene chemistry. Ph.D. Thesis, The University of Alabama, 2005.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1786457	OEVARKYXQGZJLV-UHFFFAOYSA-N
