SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCCCOC(=O)\C=C\C1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	UALIB-1911	13	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	VWLWZGJNSJBZNL-YVAWVJMJSA-N
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C1=CC(=O)CCC1	UALIB-1912	15	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	XWGPPFZWQPQTES-YNEHKIRRSA-N
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\C2=CC=CC=C2)C(=O)NC1=O	UALIB-1913	30	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	UKZXPKJVLYTWOM-XIKIYNFVSA-N
NC1=C2N=C(C#CC3=CC=CC=C3)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	UALIB-1914	32a	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	XCPOOYABRFHDAQ-GZBFAFLISA-N
CCCCC#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	UALIB-1915	32b	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	KEVUBHMQRDEGRE-DMDPSCGWSA-N
NC1=C2N=C(C#CCCO)N([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC=N1	UALIB-1916	32c	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	GNLLZSNBKRHRLM-IQJOONFLSA-N
CC(C)(O)C#CC1=NC2=C(N)N=CN=C2N1[C@H]1C[C@H](O)[C@@H](CO)O1	UALIB-1917	32d	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	ZPTBXSBZWFQHPE-IQJOONFLSA-N
NC1=NC2=C(N=C(C#CC3=CC=CC=C3)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	UALIB-1918	33a	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	LHLVGXXJQIMLLZ-OUCADQQQSA-N
CCCCC#CC1=NC2=C(N=C(N)NC2=O)N1[C@H]1C[C@H](O)[C@@H](CO)O1	UALIB-1919	33b	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	VNWIYLJEYAZTFC-HOSYDEDBSA-N
NC1=NC2=C(N=C(C#CCCO)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	UALIB-1920	33c	Cho, J.H. Part I. Palladium-Catalyzed alkenylation and alkynylation of nucleosides in aqueous media Part II. Palladium-Catalyzed carbon-selenium bond formation for unsymmetrical diaryl selenides. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2375330	XEENNGASXZOWOV-QXFUBDJGSA-N
