SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC1=CC=C(C=C1)N(C1=CC=C(C=C1)C#N)C1=CC(=CC(Cl)=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C#N	UALIB-1844	4	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	OJIIGKFDBZLLGH-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(=CC(=C2)N(C2=CC=C(OC)C=C2)C2=CC=C(C=C2)C#N)N(C2=CC=C(OC)C=C2)C2=CC=C(C=C2)C#N)C=C1	UALIB-1845	5	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	YXCHWGIAPJIGCV-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(C=C1)C#N)C1=CC(=CC(=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C#N)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC(=CC(=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C#N)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C#N	UALIB-1846	6	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	VVNAMQODIOUEEE-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(C=C1)C#N)C1=CC(=CC=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C#N	UALIB-1847	6a	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	QGGRZDKPCIULOJ-UHFFFAOYSA-N
ClC1=CC(NC2=CC=C(C=C2)C#N)=CC(NC2=CC=C(C=C2)C#N)=C1	UALIB-1848	8	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	RZFLMTYCRQJAOI-UHFFFAOYSA-N
ClC1=CC(=CC(=C1)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N	UALIB-1849	9	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	MSWFZAJYFCQFTA-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(=CC(=C2)N(C2=CC=C(C=C2)C#N)C2=CC=C(C=C2)C#N)N(C2=CC=C(C=C2)C#N)C2=CC=C(C=C2)C#N)C=C1	UALIB-1850	10	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	DWLZBDVIULQETF-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC(=CC(=C1)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N)C1=CC(=CC(=C1)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N	UALIB-1851	11	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	PRFAOFBWRUPZQV-UHFFFAOYSA-N
N#CC1=CC=C(NC2=CC(NC3=CC=C(C=C3)C#N)=CC=C2)C=C1	UALIB-1852	12	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	IGPKMXXADOLKOT-UHFFFAOYSA-N
N#CC1=CC=C(C=C1)N(C1=CC=C(C=C1)C#N)C1=CC(=CC=C1)N(C1=CC=C(C=C1)C#N)C1=CC=C(C=C1)C#N	UALIB-1853	11a	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	DPNQIYYSTAHSML-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC(=CC(NC2=CC=C(C=C2)C(C)(C)C)=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	UALIB-1854	14	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	SNUODZHGCNTAQR-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC(=CC(=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1)N(C1=CC=C(C=C1)N(C1=CC=C(C=C1)C(C)(C)C)C1=CC(=CC(=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C(C)(C)C	UALIB-1855	15	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	NZOMELASQLWMQA-UHFFFAOYSA-N
CCOC1=CC=C(NC2=CC(=CC(=C2)N(C2=CC=C(OC)C=C2)C2=CC=C(OC)C=C2)N(C2=CC=C(OC)C=C2)C2=CC=C(OC)C=C2)C=C1	UALIB-1856	16	Duncan, J.R. Changing the redox-gradient in geometrically equivalent aryl amines. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2078535	MPNCGWDGACFQRU-UHFFFAOYSA-N
