SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC(=O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1175	4-(tert-Butyldiphenylsilanyloxy)-3-methylbut-2-enal	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	NOHNQNQQODWRBK-VLGSPTGOSA-N
C[C@@H]([C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)C(=O)N1[C@@H](CC2=CC=CC=C2)COC1=O	UALIB-1176	4-Benzyl-3-[6-(tert-butyldiphenylsilanyloxy)-3-hydroxy-2,5-dimethylhex-4-enoyl]-oxazolidin-2-one	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	WDTRGPHUTPSEEI-DYUSVQAGSA-N
C[C@H](CO)[C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1177	6-(tert-Butyldiphenylsilanyloxy)-2,5-dimethylhex-4-ene-1,3-diol	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	VLALOROEHINBJW-KBWIZFGUSA-N
C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H](O)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1178	1-(tert-Butyldimethylsilanyloxy)-6-(tert-butyldiphenylsilanyloxy)-2,5-dimethylhex-4-en-3-ol	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	LGAWUAQVJXXJBD-ZJRGRKBCSA-N
C[C@H](CO[Si](C)(C)C(C)(C)C)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1179	Bromoaceticacid1-[2-(tert-butyldimethylsilanyloxy)-1-methylethyl]-4-(tert-butyldiphenylsilanyloxy)-3-methylbut-2-enyl ester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	YHKVRIPFHSEBBM-IYIXDCHASA-N
C[C@H](CO)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1180	Bromoaceticacid4-(tert-butyldiphenylsilanyloxy)-1-(2-hydroxy-1-methylethyl)-3-methylbut-2-enyl ester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	VNPOKPJTUGJXNN-SZSLLKTLSA-N
C[C@H](C=O)[C@H](OC(=O)CBr)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1181	Bromoaceticacid4-(tert-butyldiphenylsilanyloxy)-3-methyl-1-(1-methyl-2-oxoethyl)-but-2-enylester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	ZTJBHXLCCWMNJY-SZSLLKTLSA-N
C[C@@H]1[C@@H](O)CC(=O)O[C@@H]1\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1182	6-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-4-hydroxy-5-methyltetrahydro-pyran-2-one	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	SNJYXPJOOQRJGR-MWCFODBRSA-N
CC[Si](CC)(CC)O[C@H]1C[C@H](CC=C)O[C@H](\C=C(\C)CO[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)[C@@H]1C	UALIB-1183	6-Allyl-2-[3-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-3-methyl-4-triethylsilanyloxytetrahydropyran	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	FPIBNTNUHQLEOA-ILXKHOHFSA-N
[H]C(=O)\C=C\C[C@H]1C[C@H](O[Si](CC)(CC)CC)[C@@H](C)[C@H](O1)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1184	4-{6-[3-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-5-methyl-4-triethylsilanyloxytetrahydropyran-2-yl}-but-2-enal	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	HPVXHLFVOBVRQK-GSSRGVRBSA-N
CCOC(=O)\C=C\C=C\C[C@H]1C[C@H](O[Si](CC)(CC)CC)[C@@H](C)[C@H](O1)\C=C(\C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1185	6-{6-[3-(tert-Butyldiphenylsilanyloxy)-2-methylpropenyl]-5-methyl-4-triethylsilanyloxytetrahydropyran-2-yl}-hexa-2,4-dienoicacidethylester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	AUMSYMNJIVLGCN-QRBFXEHBSA-N
CC(C)(C)[Si](C)(C)OCC[C@@H]1O[C@@]1(C)CO	UALIB-1186	3-(2-Benzyloxyethyl)-2-methyloxirane-2-carbaldehyde	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	DPAXNSMAWIWFTC-JQWIXIFHSA-N
C[C@]1(O[C@H]1CCOCC1=CC=CC=C1)C(O)C=C	UALIB-1187	1-[3-(2-Benzyloxyethyl)-2-methyloxiranyl]-prop-2-en-1-ol	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	FRPPQVMUGNVFOK-FGRDXJNISA-N
C[C@]1(O[C@H]1CCOCC1=CC=CC=C1)C(O[Si](C)(C)C)C=C	UALIB-1188	{1-[3-(2-Benzyloxyethyl)-2-methyloxiranyl]-allyloxy}-trimethylsilane	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	PTUJUKFMZTWNEN-FQECFTEESA-N
[H]C(=O)[C@@](C)(C=C)[C@@H](O)CCOCC1=CC=CC=C1	UALIB-1189	2-(3-Benzyloxyethyl-1-hydroxypropyl)-2-methylbut-3-enal	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	UZECISOOXUQHQR-LSDHHAIUSA-N
[H]C(=O)[C@@](C)(C=C)[C@@H](CCOCC1=CC=CC=C1)OC(=O)CBr	UALIB-1190	Bromoacetic acid 1-(2-benzyloxyethyl)-2-formyl-2-methylbut-3-enyl ester	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	HJCMNBYQFVEKMU-NVXWUHKLSA-N
C[C@@]1(C=C)[C@H](O)CC(=O)O[C@H]1CCOCC1=CC=CC=C1	UALIB-1191	6-(2-Benzyloxyethyl)-4-hydroxy-5-methyl-5-vinyltetrahydropyran-2-one	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	SPRINMLJOJHKQE-HLLBOEOZSA-N
C[C@@]1(C=C)[C@H](O)C[C@@H](CC=C)O[C@H]1CCOCC1=CC=CC=C1	UALIB-1192	6-Allyl-(2-Benzyloxyethyl)-3-methyl-3-vinyltetrahydropyran-4-yloxy]-triethylsilane	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	PVSSGMDIAJODAU-YSTOQKLRSA-N
O[C@H]1C[C@@H](CC(=O)C2=CC=CC=C2)O[C@H](C1)C1=CC=CC=C1	UALIB-1193	2-(4-Hydroxy-6-phenyltetrahydropyran-2-yl)-1-phenylethanone	Sawant, K.B. Studies towards synthesis of lasonolide A, total synthesis and structural determination of Dispongin A and B. Ph.D. Thesis, The University of Alabama, 2007.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2180791	HQTSVUPKAYCDEB-JENIJYKNSA-N
