SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC1(C)OC(=O)C2=C(C=C)C=C(OCC3=CC=CC=C3)C=C2O1	UALIB-1088	7-(Benzyloxy)-2,2-dimethyl-5-ethylene-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	ASWUXIIZQBVNNP-UHFFFAOYSA-N
CC1(C)OC(=O)C2=C(O)C=C(OCC3=CC=CC=C3)C=C2O1	UALIB-1089	7-(Benzyloxy)-2,2-dimethyl-5-hydroxy-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	KWTSNZKEEZRRSU-UHFFFAOYSA-N
CC1(C)OC(=O)C2=C(OS(=O)(=O)C(F)(F)F)C=C(OCC3=CC=CC=C3)C=C2O1	UALIB-1090	8-(Benzyloxy)-2,2-dimethyl-5-[(trifluoromethyl)sulfonyl]-4H-1,3-benzodioxin-4-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	BJIQUQJTTKQWCR-UHFFFAOYSA-N
CC(C)(C)[Si](OC[C@@H](O)CCC=C)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1091	(2R)-1-(tert-Butyldiphenylsilyloxy)-2-hydroxy-hex-1-ene	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	MNVMTRRSOOOSHY-IBGZPJMESA-N
COCO[C@@H](CCC=C)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-1092	(2S)-1-(tert-Butyl-diphenyl-silanyloxy)-hex-5-en-2-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	ANXDHJZXMGWOSK-NRFANRHFSA-N
C[C@@H](C\C=C\[C@H]1OC(C)(C)O[C@H]1CCC=C)OC(=O)C1=C(C=C)C=C(OCC2=CC=CC=C2)C=C1O	UALIB-1093	4-Benzyloxy-2-hydroxy-6-vinyl-benzoic acid 4-(5-but-3-enyl-2,2-dimethyl-[1,3]dioxolan-4-yl)-1-methyl-but-3-enyl ester	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	YBVIOGNHIKKYLQ-NGDJZMIFSA-N
C[C@H](O)C\C=C\[C@H]1OC(C)(C)O[C@H]1CCC=C	UALIB-1094	5-(5-Butyl-2,2-dimethyl-[1,3]dioxolan-4-yl)-pent-4-en-2-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	OVIYPDRUMDENLC-PUJUQVOMSA-N
COCO[C@@H](CCC=C)C(O)C#CC[C@H](C)O[Si](C)(C)C(C)(C)C	UALIB-1095	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-yn-6-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	KGQKXYXWEPOGNB-RGBJRUIASA-N
[H]C(=O)[C@H](CCC=C)OCOC	UALIB-1096	(2S)-Methoxymethoxy-hex-5-enal	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	PWBFFOXVMSPYPX-QMMMGPOBSA-N
COCO[C@@H](CCC=C)C(O)\C=C\C[C@H](C)O[Si](C)(C)C(C)(C)C	UALIB-1097	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-en-6-ol	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	NEWOOWBOKZFJEW-JQLYKLAYSA-N
COCO[C@@H](CCC=C)C(=O)\C=C\C[C@H](C)O[Si](C)(C)C(C)(C)C	UALIB-1098	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-en-6-one	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	WCCWEQFRZLMEBN-VRLUQSRJSA-N
COCO[C@@H](CCC=C)[C@H](O)\C=C\C[C@H](C)O[Si](C)(C)C(C)(C)C	UALIB-1099	2-(tert-Butyl-dimethyl-silanyloxy)-7-methoxymethoxy-undec-4-en-6-ol (2)	Bajwa, N. Studies towards the total synthesis of the biologically active natural product aigialomycin D and development of two novel methodologies. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2629772	NEWOOWBOKZFJEW-RNPYQATCSA-N
