SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)[C@@H]1N(C(C)=O)C(=S)OC1(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1365	130	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	WJCFTHCUULIELA-SFHVURJKSA-N
C\C=C\[C@@H](O)CC(=O)N1[C@@H](C(C)C)C(OC1=S)(C1=CC=CC=C1)C1=CC=CC=C1.C\C=C\[C@H](O)CC(=O)N1[C@@H](C(C)C)C(OC1=S)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1366	131 (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	QQOBNOHBJKDMJC-OMRCQCICSA-N
CON(C)C(=O)C[C@@H](O)\C=C\C	UALIB-1367	116	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	DSWIXUSDPPJEOC-KPJROHGDSA-N
[H]C1(C)CC1([H])[C@H](O)CC(=O)N(C)OC	UALIB-1368	132 (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	WHVPIFDYYSOYBG-KAVNDROISA-N
[H][C@@]1(C)C[C@@]1([H])[C@@H](CC(=O)N(C)OC)O[Si](CC)(CC)CC	UALIB-1369	133A	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	FRVDEICOJCZUFB-MGPQQGTHSA-N
[H][C@@]1(C)C[C@@]1([H])[C@@H](CC(=O)CC=C)O[Si](CC)(CC)CC	UALIB-1370	133	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	AXLLFBBYRBIEPN-FVQBIDKESA-N
[H][C@@]1(C)C[C@@]1([H])[C@H](O)CC(=O)CC=C	UALIB-1371	115	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	QXQFMMJRVVXCFR-SZEHBUNVSA-N
[H][C@@]1(C)C[C@@]1([H])[C@H](O)C[C@@H](O)CC=C.[H][C@@]1(C)C[C@@]1([H])[C@H](O)C[C@H](O)CC=C	UALIB-1372	135A (dr mix)	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	UNBWIWBZGVAURB-RTIDEPAHSA-N
[H][C@@]1(C)C[C@@]1([H])[C@H]1C[C@H](CC=C)OC(C)(C)O1	UALIB-1373	135	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	ANTVOXRDPKQAPQ-WRWGMCAJSA-N
[H]C(=O)C[C@H]1C[C@@H](OC(C)(C)O1)[C@]1([H])C[C@@]1([H])C	UALIB-1374	114	Carrick, J.D. Progress towards the formal enantioselective total synthesis of (-)-clavosolide A. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2634576	NLUBCXAVKKVFRZ-LMLFDSFASA-N
