SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCC(OC)C(\C)=C\C(O)=O	UALIB-1577	75	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	JWQOSQGHWHHSCC-AATRIKPKSA-N
CCC(O)C(\C)=C\C(O)=O	UALIB-1578	76	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	BQSIJPSHVJJFCR-SNAWJCMRSA-N
CCC(OCC=C)C(\C)=C\C	UALIB-1579	77	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	JYBUSFNVNDKRIM-RMKNXTFCSA-N
CC\C=C(/C)C(SCC1=CC=CC=C1)C(O)=O	UALIB-1580	78	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	OSXDNFFALGLHEV-YRNVUSSQSA-N
CC(C)=CC(SCC1=CC=CC=C1)C(O)=O	UALIB-1581	82	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	WAPNSRSYFQBWTQ-UHFFFAOYSA-N
CC(C)(OCC=C)\C=C\C(O)=O	UALIB-1582	83	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	DVVHJEAJQROSNQ-AATRIKPKSA-N
COC(C)(C)\C=C\C(O)=O	UALIB-1583	84	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	PCNMYQJDWGFEDE-SNAWJCMRSA-N
CC(C)(O)\C=C\C(O)=O	UALIB-1584	85	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	PDFAAQLHHBQRPO-ONEGZZNKSA-N
CC(C)=CCCC(C)=CC(SCC1=CC=CC=C1)C(O)=O	UALIB-1585	86	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	HOWHHITVDOIUPK-UHFFFAOYSA-N
COC(C)(CCC=C(C)C)\C=C\C(O)=O	UALIB-1586	87	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	CMWQGSHLAVFNJA-VQHVLOKHSA-N
CC(C)=CCCC(C)(OCC=C)\C=C\C(O)=O	UALIB-1587	88	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	XUVGZVUUZKQRKX-CSKARUKUSA-N
CC(C)=CCCC(C)(O)\C=C\C(O)=O	UALIB-1588	89	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	DANKQIKJOQYLRU-SOFGYWHQSA-N
CC(=CC1=CC=CC=C1)C(SCC1=CC=CC=C1)C(O)=O	UALIB-1589	90	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	PADQHJKIKJNRMA-UHFFFAOYSA-N
COC(C(O)=O)C(=C)CC1=CC=CC=C1	UALIB-1590	91	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	ZFNNUQCTRHSXII-UHFFFAOYSA-N
OC(=O)C(OCC=C)C(=C)CC1=CC=CC=C1	UALIB-1591	92	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	PZTRPRHVCCBHMZ-UHFFFAOYSA-N
CCCCCCC(=C)C(SCC1=CC=CC=C1)C(O)=O.CCCCCC=C(C)C(SCC1=CC=CC=C1)C(O)=O	UALIB-1592	93 mixture	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	CHVYGDJMCKWUDH-UHFFFAOYSA-N
CCCCCCC(=C)C(OC)C(O)=O	UALIB-1593	94	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	JJXWABHEJJFQPQ-UHFFFAOYSA-N
CCCCCCC(=C)C(OCC=C)C(O)=O	UALIB-1594	95	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	WESUUVMKUKIVGZ-UHFFFAOYSA-N
CCCCC\C=C\C(OC)C(O)=O	UALIB-1595	102A	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	GPSMUPUWKYHPTF-BQYQJAHWSA-N
CCCCC\C=C\C(OCC=C)C(O)=O	UALIB-1596	102C	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	XLSBAOAFWSSVMY-CMDGGOBGSA-N
CCCCCC\C=C(/SCC1=CC=CC=C1)C(O)=O	UALIB-1597	102D	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	YZVZUGCKHXKRJH-QINSGFPZSA-N
COC(\C=C\C1=CC=CC=C1)C(O)=O	UALIB-1598	102E	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	BAQQKYDAHCKIES-BQYQJAHWSA-N
OC(=O)C(SCC1=CC=CC=C1)\C=C\C1=CC=CC=C1	UALIB-1599	102I	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	GSZVRIMISKHTDJ-VAWYXSNFSA-N
CCCCCC(O)\C=C\C(O)=O	UALIB-1600	103B	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	RLNIWODKAMVILO-VOTSOKGWSA-N
OC(=O)CCC(=O)C1=CC=CC=C1	UALIB-1601	107	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	KMQLIDDEQAJAGJ-UHFFFAOYSA-N
CC(C)(C)OC(=O)CC(=O)C[C@@H](O)C(Cl)(Cl)Cl	UALIB-1602	177	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	MXKBWEPQKNUYTI-SSDOTTSWSA-N
CON(C)C(=O)C[C@@H](O)C(Cl)(Cl)Cl	UALIB-1603	184	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	GIQBNXOEPZWELY-SCSAIBSYSA-N
O[C@H](CC(=O)C1=CC=CC=C1)C(Cl)(Cl)Cl	UALIB-1604	194	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	JTJFOKGHNOVCTC-SECBINFHSA-N
CCCCC(=O)C[C@@H](O)C(Cl)(Cl)Cl	UALIB-1605	195	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	KLSGBPKDZXNFJT-SSDOTTSWSA-N
CC(C)(C)OC(=O)C[C@@H](O)C[C@@H](O)C(Cl)(Cl)Cl	UALIB-1606	202C	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	OOUFFBQQNBNLKU-NKWVEPMBSA-N
CC(C)(C)OC(=O)C[C@H](O)C[C@@H](O)C(Cl)(Cl)Cl	UALIB-1607	206C	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	OOUFFBQQNBNLKU-RNFRBKRXSA-N
O[C@H]1C[C@H](CC2=CC=CC=C2)OC1=O	UALIB-1608	217	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	QDWGWZDQSRYLTG-UWVGGRQHSA-N
CC(C)(C)[Si](C)(C)OCCCCC=O	UALIB-1609	235	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	YTNNMAIKEURUTO-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OCCCCC(=O)C(Cl)(Cl)Cl	UALIB-1610	238	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	OEAQJVRMZKXAPO-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OCCCC[C@@H](O)C(Cl)(Cl)Cl	UALIB-1611	239	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	UNPVPGMRWCOTQA-SNVBAGLBSA-N
OC(=O)[C@@H]1CCCCO1	UALIB-1612	240	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	MQAYFGXOFCEZRW-YFKPBYRVSA-N
COC(=O)[C@@H]1CCCCO1	UALIB-1613	241	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	MHZRCUVVJMWSMP-LURJTMIESA-N
CC1=CC(=O)\C(O1)=C\C1=CC(O)=C(O)C=C1	UALIB-1614	242	Shamshina, J. New synthetic applications of the trichloromethylcarbinols synthesis of small molecule natural products. Ph.D. Thesis, The University of Alabama, 2008.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2673791	NLZQGBCUKNUDED-SDQBBNPISA-N
