SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[Se]=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1	UALIB-577	Tricyclohexylphosphine (Cy3P)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	SCPJDMPQFQJFAU-UHFFFAOYSA-N
[Na]OS(=O)(=O)CCCP(=[Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	UALIB-578	diadamantylphosphoniumpropane sulfonated (DAPPS)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	AYDLBGXNWVMXHA-UHFFFAOYSA-M
CCCCP(=[Se])(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2	UALIB-579	diadamantylbutylphosphine (DABP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	CXNWMQVHDFXGAB-UHFFFAOYSA-N
CC(C)(C)P(=[Se])(C(C)(C)C)C(C)(C)C	UALIB-580	tri-tert-butylphoshine (TTBP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	YGWBZFDBSTZZHD-UHFFFAOYSA-N
[H]P([Se])(CCCS(=O)(=O)O[Na])(C(C)(C)C)C(C)(C)C	UALIB-581	di-tert-butylphosphoniumpropane sulfonated (DTBPPS)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	GENZFLUYLPINOV-UHFFFAOYSA-M
CC(C)(C)P(=[Se])(CCCP(=[Se])(C(C)(C)C)C(C)(C)C)C(C)(C)C	UALIB-582	di-tert-butylphosphoniumpropane (DTBPP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	CPEZSQNZBXLULY-UHFFFAOYSA-N
CC(C)(C)CP(=[Se])(C(C)(C)C)C(C)(C)C	UALIB-583	di-tert-butylneopentylphoshine (DTBNpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	QFDZRGRZUOGGSY-UHFFFAOYSA-N
CCCCP(=[Se])(C(C)(C)C)C(C)(C)C	UALIB-584	di-tert-butylphosphoniumpropane (DTBPB)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	OSJSSGFVAMQSLE-UHFFFAOYSA-N
CC(C)(C)CP(=[Se])(CC(C)(C)C)CC(C)(C)C	UALIB-585	Trineopentylphosphine (TnpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	WUJQWOQYVZGQLZ-UHFFFAOYSA-N
CC(C)(C)CP(=[Se])(CC(C)(C)C)C(C)(C)C	UALIB-586	tert-butyl-dineopentyl phosphine (TBDNpP)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	ZSOLZQWSQBEWCW-UHFFFAOYSA-N
[Se]=P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	UALIB-587	Triphenylphosphine (Ph3P)-Se	Brown, W.S. Design and synthesis of phosphine ligands for palladium-catalyzed coupling reactions. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/564	ZFVJLNKVUKIPPI-UHFFFAOYSA-N
