SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCCCCCCC(O)C(Cl)(Cl)Cl	UALIB-390	1,1,1-trichlorononan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	DYFSVRJUYUUCGG-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OCCCCC(O)C(Cl)(Cl)Cl	UALIB-391	5-(tert-butyldimethylsiloxy)-1,1,1-trochloropentan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	UNPVPGMRWCOTQA-UHFFFAOYSA-N
OC(CCC1=CC=CC=C1)C(Cl)(Cl)Cl	UALIB-392	1,1,1-trichloro-4-phenylbutan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	QWATXHHTKKHWNB-UHFFFAOYSA-N
OC(C1CCCCC1)C(Cl)(Cl)Cl	UALIB-393	2,2,2-trichloro-1-cyclohexylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	YNQHTZHOPABBGP-UHFFFAOYSA-N
CC(C(O)C(Cl)(Cl)Cl)C1=CC=CC=C1	UALIB-394	1,1,1-trichloro-3-phenylbutan-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	VPHJIDPDVGJMES-UHFFFAOYSA-N
OC(C1=CC=CC=C1)C(Cl)(Cl)Cl	UALIB-395	1,1,1-trichloro-1-phenylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	ABFRBTDJEKZSRM-UHFFFAOYSA-N
COC1=CC=C(C=C1)C(O)C(Cl)(Cl)Cl	UALIB-396	2,2,2-tricholoro-1-(4-methoxyphenyl)ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	DQMIPRIVNVYSDB-UHFFFAOYSA-N
OC(C1=CC=C(C=C1)[N+]([O-])=O)C(Cl)(Cl)Cl	UALIB-397	2,2,2-tricholoro-1-(4-nitrophenyl)ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	RWHUHQMPXMQXDN-UHFFFAOYSA-N
OC(C1=CC2=CC=CC=C2C=C1)C(Cl)(Cl)Cl	UALIB-398	2,2,2-trichloro-1-naphthalen-2-yl-ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	AGUUERGDOAXRRY-UHFFFAOYSA-N
OC(C1=CC=CO1)C(Cl)(Cl)Cl	UALIB-399	2,2,2-trichloro-1-furan-2-yl-ethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	LFSYXVDROBFUJN-UHFFFAOYSA-N
OC(C1=CC=CS1)C(Cl)(Cl)Cl	UALIB-400	2,2,2-trichloro-1-thiophen-2-ylethanol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	QBMTZEDLUUIISP-UHFFFAOYSA-N
CC(C)=CC(O)C(Cl)(Cl)Cl	UALIB-401	1,1,1-trichloro-4-methylpent-3-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	VNIRPUMAEZAXLI-UHFFFAOYSA-N
CC\C=C\C(O)C(Cl)(Cl)Cl	UALIB-402	1,1,1,-trichlorohex-3-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	ORGGNBGESHFOMN-ONEGZZNKSA-N
CC\C=C(/C)C(O)C(Cl)(Cl)Cl	UALIB-403	1,1,1,-trichloro-3-methylhex-2-en-2-ol	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	VRHOIIKKDKLXSJ-SNAWJCMRSA-N
CCCCCCCCC(O)=O	UALIB-404	Nonoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	FBUKVWPVBMHYJY-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OCCCCCC(O)=O	UALIB-405	6-(tert-butyldimethylsilyloxy)hexanoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	IYFMRXJBXNNNDL-UHFFFAOYSA-N
OC(=O)CCCC1=CC=CC=C1	UALIB-406	4-phenylbutanoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	OBKXEAXTFZPCHS-UHFFFAOYSA-N
OC(=O)CC1CCCCC1	UALIB-407	cyclohexyacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	LJOODBDWMQKMFB-UHFFFAOYSA-N
CC(CC(O)=O)C1=CC=CC=C1	UALIB-408	3-phenylbutyric acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	ZZEWMYILWXCRHZ-UHFFFAOYSA-N
OC(=O)CC1=CC=CC=C1	UALIB-409	phenylacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	WLJVXDMOQOGPHL-UHFFFAOYSA-N
COC1=CC=C(CC(O)=O)C=C1	UALIB-410	(4-methoxyphenyl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	NRPFNQUDKRYCNX-UHFFFAOYSA-N
OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O	UALIB-411	(4-nitrophenyl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	YBADLXQNJCMBKR-UHFFFAOYSA-N
OC(=O)CC1=CC2=CC=CC=C2C=C1	UALIB-412	Naphthalen-2-ylacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	VIBOGIYPPWLDTI-UHFFFAOYSA-N
OC(=O)CC1=CC=CO1	UALIB-413	2-(furan-2-yl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	VYSRZETUSAOIMP-UHFFFAOYSA-N
OC(=O)CC1=CC=CS1	UALIB-414	2-(thiophen-2-yl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	SMJRBWINMFUUDS-UHFFFAOYSA-N
CC(C)=CCC(O)=O	UALIB-415	4-methylpent-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	CQJHAULYLJXJNL-UHFFFAOYSA-N
CC\C=C\CC(O)=O	UALIB-416	(E)-hex-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	XXHDAWYDNSXJQM-ONEGZZNKSA-N
CC\C=C(/C)CC(O)=O	UALIB-417	(E)-3-methylhex-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	GBBXAKWLJDVDQY-GQCTYLIASA-N
CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C(O)C(Cl)(Cl)Cl	UALIB-418	tert-butyl (2S)-4,4,4,-trichloro-3-hydroxy-1-phenylbutan-2-yl carbamate	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	QQBIKOWCOGEMLF-PXYINDEMSA-N
COC(=O)C([C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(Cl)(Cl)Cl	UALIB-419	(S)-3-tert-butyoxycarbonylamino-4-phenylbutyric acid methyl ester	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	MFBLAFGCTFMTEO-UEWDXFNNSA-N
COC(=O)C[C@H](CC1=CC=CC=C1)NC(=O)[C@](OC)(C1=CC=CC=C1)C(F)(F)F	UALIB-420	(S)-4-phenyl-3-((R)-3,3,3-trifluoro-2-methoxy-2-phenylpropionylamino)butyric acid methyl ester	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	RABWHCRIXDQZPH-FXAWDEMLSA-N
[2H]C(CCC1=CC=CC=C1)C(O)=O	UALIB-421	4-phenyl-2-deuterobutyric acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	OBKXEAXTFZPCHS-BNEYPBHNSA-N
[H]C(=O)C1=CC=CC(CC=C)=C1O	UALIB-422	3-allyl-2-hydroxybenzaldehyde	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	INLWEXRRMUMHKB-UHFFFAOYSA-N
