SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
C[C@@]12O[C@@H]1CC[C@@]2(O)C1=CC=CC=C1	UALIB-509	(±)-2,3-Epoxy-2-methyl-1-phenylcyclopentan-1-ol	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	FNOKFVNNIKZEHT-IJLUTSLNSA-N
C[C@@]1([C@H](O)CCC1=O)C1=CC=CC=C1	UALIB-510	cis-(±)-1-Keto-2-methyl-2-phenylcyclopentan-3-ol	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	UAYSXIQLGXJYLL-PWSUYJOCSA-N
CC1(C(=O)CCC1=O)C1=CC=CC=C1	UALIB-511	2-Methyl-2-phenyl-1,3-cyclopentanedione	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	JKCOTMJBEWLZEH-UHFFFAOYSA-N
CC1(CC[N+]([O-])=O)C(=O)CCC1=O	UALIB-512	2-Methyl-2-(2-nitroethyl)-1,3-cyclopentanedione	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	ZKUOKRMFLGLSOB-UHFFFAOYSA-N
C[C@]1(CC=C)[C@@H](O)CCC1=O.C[C@]1(CC=C)[C@H](O)CCC1=O	UALIB-513	cis- and trans-2-allyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	MZICIOJFAKDHAO-OPJZFTAPSA-N
C[C@]1(CC=C)[C@@H](O)CCCC1=O	UALIB-514	cis-3-Hydroxy-2-allyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	DSGQUBLTBNJBLZ-WPRPVWTQSA-N
CCC[C@@]1(C)[C@@H](O)CCC1=O	UALIB-515	cis-3-Hydroxy-2-propyl-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	KAJKOFDGOSLJQC-CBAPKCEASA-N
CCC[C@@]1(C)[C@@H](O)CCCC1=O	UALIB-516	cis-3-Hydroxy-2-propyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	BOCCJIHMRIMGHV-WPRPVWTQSA-N
C[C@]1(CC#C)[C@@H](O)CCC1=O	UALIB-517	cis-3-Hydroxy-2-propargyl-3-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	UEWYHVQSNFTAKP-CBAPKCEASA-N
C[C@]1(CC#C)[C@H](O)CCC1=O	UALIB-518	trans-3-Hydroxy-2-propargyl-3-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	UEWYHVQSNFTAKP-APPZFPTMSA-N
C[C@]1(CC#C)[C@@H](O)CCCC1=O	UALIB-519	cis-3-Hydroxy-2-propargyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	BUMDAIHRSIOFNP-WPRPVWTQSA-N
C[C@]1(CC#C)[C@H](O)CCCC1=O	UALIB-520	trans-3-Hydroxy-2-propargyl-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	BUMDAIHRSIOFNP-SCZZXKLOSA-N
C[C@]1(CC2=CC=CC=C2)[C@@H](O)CCC1=O	UALIB-521	cis-3-Benzyl-2-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	AEXAVMKCRMTRGH-AAEUAGOBSA-N
C[C@]1(CC2=CC=CC=C2)[C@@H](O)CCCC1=O	UALIB-522	cis-2-Benzyl-3-hydroxy-2-methylcyclohexanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	LNVQEYVGAPACLA-JSGCOSHPSA-N
C[C@@]1([C@@H](O)CCC1=O)C1=CC=CC=C1	UALIB-523	cis-3-Hydroxy-2-phenyl-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	UAYSXIQLGXJYLL-JQWIXIFHSA-N
C[C@]1(CCC#N)[C@@H](O)CCC1=O	UALIB-524	cis-2-Cyanoethyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	YGOZMUKIAMBNJA-CBAPKCEASA-N
C[C@]1(CCC#N)[C@H](O)CCC1=O	UALIB-525	trans-2-Cyanoethyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	YGOZMUKIAMBNJA-APPZFPTMSA-N
C[C@]1(CCC#N)[C@@H](O)CCCC1=O.C[C@]1(CCC#N)[C@H](O)CCCC1=O	UALIB-526	cis- and trans-2-cyanoethyl-3-hydroxy-2-methylcyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	ZTHJLDQYRVFOQJ-UECOCMQASA-N
C[C@]12CCC(=O)O[C@H]1CCC2=O	UALIB-527	6-Methyl-2-oxabicyclo[4.3.0]nonane-3,7-dione	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	USGXIBYXSXYATD-IONNQARKSA-N
COC(=O)CC[C@@]1(C)[C@H](O)CCC1=O	UALIB-528	trans-Methyl 3-(2-hydroxy-1-methyl-5-oxocyclopentyl)propanoate	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	XJEAVZGYZVYNCH-XCBNKYQSSA-N
C[C@]1(CC[N+]([O-])=O)[C@@H](O)CCC1=O	UALIB-529	cis-3-Hydroxy-1-methyl-2-(nitroethyl)-cyclopentanone	Carr, J.M. Progress toward the synthesis of a Xenia diterpenoid common intermediate and the preparation of inotilone derivatives. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/591	HQSSEMYFNRIRIK-XPUUQOCRSA-N
