SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
O[C@@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)CC=C.O[C@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)CC=C	UALIB-1401	82 (ee mix)	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	IPUXGBSLKISXAW-JJMXQKMNSA-N
C=CC[C@H](CCC1=CC=C(OCC2=CC=CC=C2)C=C1)OC(=O)C=C	UALIB-1402	81	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	FVDFZYVWOUYOET-OAQYLSRUSA-N
O=C1O[C@@H](CCC2=CC=C(OCC3=CC=CC=C3)C=C2)CC=C1	UALIB-1403	80	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	UCKKNYSYKAOVKU-LJQANCHMSA-N
COC1=CC=C(CCCC[C@@H](O)CCC2=CC=C(O)C=C2)C=C1	UALIB-1404	95	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	NAVKBMUXXNDFRN-GOSISDBHSA-N
OC1=CC=C(CC[C@H]2CCCC(=O)O2)C=C1	UALIB-1405	99	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	ZGMVPZLDPLYSBJ-GFCCVEGCSA-N
CC[Si](CC)(CC)OC1=CC=C(CC[C@H]2CCCC(=O)O2)C=C1	UALIB-1406	100	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	WEVKVHHORXUSJP-QGZVFWFLSA-N
COC1=CC=C(C=C1)[C@@H]1CCC[C@H](CCC2=CC=C(O)C=C2)O1	UALIB-1407	1	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	VKLGDLFSGNHXAV-UXHICEINSA-N
CC(C)(C)[Si](C)(C)OCCC=O	UALIB-1408	108	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	WGWCJTNWUFFGFH-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OCC[C@@H](O)CC=C	UALIB-1409	110	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	YPXHYWAGAHVDOR-NSHDSACASA-N
CC(C)(C)[Si](C)(C)OCC[C@H](CC=C)OC(=O)C=C	UALIB-1410	111	Clemens, R.T. The total synthesis of biologically active C-glycoside natural products: 1) total synthesis of (-)-centrolobine 2) total synthesis of (-)-varitriol and analogues 3) progress towards the total synthesis of polyrhacatide A. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764142	OSYJECUOEYYRGZ-ZDUSSCGKSA-N
