SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
COC1=CC(OC)=C(I)C(OS(=O)(=O)C(F)(F)F)=C1	UALIB-1202	2-iodo-3,5-dimethoxyphenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	JYEIUGMHEWBSMN-UHFFFAOYSA-N
COC1=C(OS(=O)(=O)C(F)(F)F)C(I)=CC(C)=C1	UALIB-1203	2-iodo-3-methoxy-5-methylphenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	MQWFQHPPRKALLT-UHFFFAOYSA-N
FC(F)(F)S(=O)(=O)OC1=CC=C(C=C1I)C1=CC=CC=C1	UALIB-1204	2-iodo-(4-phenyl) phenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	AJLHADHFKZIKIK-UHFFFAOYSA-N
FC(F)(F)S(=O)(=O)OC1=CC=C(Cl)C=C1I	UALIB-1205	4-chloro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	JKMHQFZISSSYOX-UHFFFAOYSA-N
FC1=CC=C(OS(=O)(=O)C(F)(F)F)C(I)=C1	UALIB-1206	4-fluoro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	MSDRWBCQMWZBFA-UHFFFAOYSA-N
FC1=C(I)C(OS(=O)(=O)C(F)(F)F)=CC=C1	UALIB-1207	3-fluoro-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	FSWLICPETBRWOR-UHFFFAOYSA-N
FC1=C(OS(=O)(=O)C(F)(F)F)C(I)=CC=C1	UALIB-1208	2-fluoro-6-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	JFKBPZCVYHLKPC-UHFFFAOYSA-N
FC(F)(F)C1=CC=C(OS(=O)(=O)C(F)(F)F)C(I)=C1	UALIB-1209	4-(trifluoromehtyl)-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	KSSURASGGXKHBH-UHFFFAOYSA-N
FC(F)(F)C1=CC=C(I)C(OS(=O)(=O)C(F)(F)F)=C1	UALIB-1210	3-(trifluoromethyl)-2-iodophenyl trifluoromethanesulfonate	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	YFJIEFZNYFURGR-UHFFFAOYSA-N
COC1=CC(C\C=C\[Si](C)(C)C)=CC=C1	UALIB-1211	((E)-3-(3-Methoxyphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	DNJDUTUPENCZOS-UXBLZVDNSA-N
COC1=CC(OC)=CC(C\C=C\[Si](C)(C)C)=C1	UALIB-1212	((E)-3-(3,5-Dimethoxyphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	LQVWEUNGQDJSDM-SOFGYWHQSA-N
COC1=CC(C\C=C\[Si](C)(C)C)=CC(C)=C1	UALIB-1213	((E)-3-(3-Methoxy-5-methylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	BEFWXEPXQVLRAV-SOFGYWHQSA-N
CCCCCCCCC1=C(OC)C=CC=C1C\C=C\[Si](C)(C)C	UALIB-1214	((E)-3-(3-Methoxy-2-octylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	GWWGQYVUFFEYKT-QGOAFFKASA-N
COC1=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=CC=C1	UALIB-1215	1-(2-Methoxy-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	VDQZAULYBKMLCI-OQLLNIDSSA-N
COC1=CC(OC)=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=C1	UALIB-1216	1-(2,4-Dimethoxy-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	URFCVMJEQQKGLH-UKTHLTGXSA-N
COC1=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=CC(C)=C1	UALIB-1217	1-(2-Methoxy-4-methyl-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	YBAVQTVWAXCJSL-UKTHLTGXSA-N
