SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC1=CC=C(NC2=CC=CC=C2)C=C1	UALIB-2061	Table 2-2: Entry 3	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	AGHYMXKKEXDUTA-UHFFFAOYSA-N
CC1=CC=CC(C)=C1NC1=CC=CC=C1	UALIB-2062	Table 2-2: Entry 8	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	SQIUEWNROMQRQY-UHFFFAOYSA-N
CN(C)C1=CC=C(NC2=CC=CC=C2)C=C1	UALIB-2063	Table 2-2: Entry 6	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	QETJPYXHTISDOG-UHFFFAOYSA-N
FC1=CC=C(NC2=CC=CC=C2)C=C1	UALIB-2064	Table 2-2: Entry 1	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	RBWCFTJQRDTIBX-UHFFFAOYSA-N
FC(F)(F)C1=CC=C(NC2=CC=CC=C2)C=C1	UALIB-2065	Table 2-2: Entry 2	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	PCBLLVOSVHORQA-UHFFFAOYSA-N
CC1=CC=C(NC2=C(C)C=C(C)C=C2C)C=C1	UALIB-2066	Table 2-2: Entry 9	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	ZELAFHJZYZPXNF-UHFFFAOYSA-N
CC(C)C1=CC=CC(C(C)C)=C1NC1=CC=C(C)C=C1	UALIB-2067	Table 2-2: Entry 10	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	UGQDNIBAELHDSZ-UHFFFAOYSA-N
CC1=CC(C)=C(NC2=C(C)C=CC=C2C)C(C)=C1	UALIB-2068	Table 2-2: Entry 12	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	NLXYMNARXOOBEW-UHFFFAOYSA-N
CC1=CC(C)=C(NC2=C(C)C=CC=C2)C(C)=C1	UALIB-2069	Table 2-2: Entry 11	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	ODGXJKNNRHRTPZ-UHFFFAOYSA-N
COC1=CC=C(NC2=CC=CC=C2)C=C1	UALIB-2070	Table 2-3: Entry 1c	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	OBHGSIGHEBGGFS-UHFFFAOYSA-N
CC1=CC=CC=C1NC1=CC=CC=C1	UALIB-2071	Table 2-3: Entry 2c	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	JTMODJXOTWYBOZ-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C)C1=CC=CC=C1	UALIB-2072	Table 2-3: Entry 3a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	JYNABQRMIKWGTK-UHFFFAOYSA-N
CN(C1=CC=CC=C1)C1=C(C)C=CC=C1	UALIB-2073	Table 2-3: Entry 4a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	MLKPGCKRPFYVCE-UHFFFAOYSA-N
COC1=CC=C(C=C1)N1CCOCC1	UALIB-2074	Table 2-3: Entry 5a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	FAAUAMNUAFGPAR-UHFFFAOYSA-N
CC1=CC=C(C=C1)N1CCOCC1	UALIB-2075	Table 2-3: Entry 6a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	OLAFVASCPJETBP-UHFFFAOYSA-N
COC1=C(NC2=CC=CC=C2)C=CC=C1	UALIB-2076	Table 3-2: Entry 4	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	WENVDHCIJJBBGF-UHFFFAOYSA-N
COC1=CC=C(NC2=C(C)C=C(C)C=C2C)C=C1	UALIB-2077	Table 3-2: Entry 8	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	DJTNJFPOQDYMIS-UHFFFAOYSA-N
COC1=C(NC2=C(C)C=C(C)C=C2C)C=CC=C1	UALIB-2078	Table 3-2: Entry 10	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	YCTRYPSBCOUXEV-UHFFFAOYSA-N
COC1=CC(C)=C(NC2=C(C=CC=C2C(C)C)C(C)C)C=C1	UALIB-2079	Table 3-2: Entry 12	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	SZALVLHQMDPMTL-UHFFFAOYSA-N
COC1=C(NC2=C(C=CC=C2C(C)C)C(C)C)C=CC=C1	UALIB-2080	Table 3-2: Entry 13	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	BMNFWORPXPRPFK-UHFFFAOYSA-N
CC1=C(C=CC=C1)N1CCOCC1	UALIB-2081	Table 3-3: Entry 2	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	BOAGUMGJQAXAEN-UHFFFAOYSA-N
COC1=C(C=CC=C1)N1CCOCC1	UALIB-2082	Table 3-3: Entry 3	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	VFLNKDLFYDLRAN-UHFFFAOYSA-N
COC1=C(C=CC=C1)N(C)C1=CC=CC=C1	UALIB-2083	Table 3-3: Entry 6	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	VFNMUKURWPRPRQ-UHFFFAOYSA-N
CCCCC#CC1=CC=C(C=C1)C(C)=O	UALIB-2084	Table 4-1 Entry 3	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	DSDZGMUWUUKZNH-UHFFFAOYSA-N
CC(=O)C1=CC=C(C=C1)C#C[Si](C)(C)C	UALIB-2085	Table 4-1 Entry 6	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	ZMXWZZHFPDJCRB-UHFFFAOYSA-N
CC(=O)C1=CC=C(C=C1)C#CCCO	UALIB-2086	Table 4-1 Entry 9	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	GQJBUSSNQSYFGN-UHFFFAOYSA-N
COC1=CC=C(C=C1)C#C[Si](C)(C)C	UALIB-2087	Table 4-1 Entry 4a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	GODVAYLZXZQBFP-UHFFFAOYSA-N
CC1=CC=CC=C1C#C[Si](C)(C)C	UALIB-2088	Table 4-1 Entry 5a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	POJCCZAVVWWXNS-UHFFFAOYSA-N
CC1=CC=CC=C1C#CCCO	UALIB-2089	Table 4-1 Entry 8a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	XNJGHWYOLLBVTF-UHFFFAOYSA-N
N#CC1=CC=C(\C=C\C2=CC=CC=C2)C=C1	UALIB-2090	Table 4-2 Entry 4	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	WQUHPLQCUQJSQW-VOTSOKGWSA-N
COC1=CC=C(\C=C\C2=CC=CC=C2)C=C1	UALIB-2091	Table 4-2 Entry 2	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	XWYXLYCDZKRCAD-BQYQJAHWSA-N
CN(C)C1=CC=C(\C=C\C2=CC=CC=C2)C=C1	UALIB-2092	Table 4-2 Entry 5	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	XGHHHPDRXLIMPM-CMDGGOBGSA-N
N#CC1=CC=C(C=C1)C#N	UALIB-2093	Table 5-1 Entry 1a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	BHXFKXOIODIUJO-UHFFFAOYSA-N
COCC1=CC=C(C=C1)C#N	UALIB-2094	Table 5-1 Entry 2a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	RUWUCOYLNIGKRD-UHFFFAOYSA-N
COC1=CC=C(C=C1)C#N	UALIB-2095	Table 5-1 Entry 3a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	XDJAAZYHCCRJOK-UHFFFAOYSA-N
ClC1=C(C=CC=C1)C#N	UALIB-2096	Table 5-1 Entry 5a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	NHWQMJMIYICNBP-UHFFFAOYSA-N
CC(=O)C1=CC=C(C=C1)C#N	UALIB-2097	Table 5-1 Entry 6a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	NLPHXWGWBKZSJC-UHFFFAOYSA-N
CC(C)(C)C1=CC=C(C=C1)C#N	UALIB-2098	Table 5-1 Entry 7a	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	IIZURLNRIMKEDL-UHFFFAOYSA-N
N#CC1=NC=CC=C1	UALIB-2099	Table 5-2 Entry 8	Hill, L.L. Investigations of cross coupling reactions: synthesis and scope of new neopentyl phosphine ligands and pre-formed palladium catalysts. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2765001	FFNVQNRYTPFDDP-UHFFFAOYSA-N
