SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0	Notes
NC12NC(=O)NC1(N)NC(=O)N2	UALIB-474	3a,6a-Diaminotetrahydroimidazo[4,5-d]imidazole-2,5(1H,3H)-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	CZEUFUWHRDIGQJ-UHFFFAOYSA-N	
O=C1NC23NC(=O)NC2(N1)NC(=O)N3	UALIB-475	2,4,6,8,9,11-Hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	ALRLNLGOQVXRAC-UHFFFAOYSA-N	
CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	UALIB-476	2,4,6,8,9,11-Hexamethyl 2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	NTARDXJXCFOROT-UHFFFAOYSA-N	
CN1C(=S)N(C)C23N(C)C(=S)N(C)C12N(C)C(=S)N3C	UALIB-477	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7,10-trithione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	GZLPQMBNZJLDHR-UHFFFAOYSA-N	
F[B-](F)(F)F.F[B-](F)(F)F.F[B-](F)(F)F.CS[C+]1N(C)C23N(C)[C+](SC)N(C)C2(N1C)N(C)[C+](SC)N3C	UALIB-478	2,4,6,8,9,11-Hexamethyl-3,7,10-tris(methylsulfanyl)-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]-undec-3,7,10-tris(ylium) tri(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	ZFDMPEIEMFRRSC-UHFFFAOYSA-N	
CN1CN(C)C23N(C)CN(C)C12N(C)CN3C	UALIB-479	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	LUWLKUUKMKLTME-UHFFFAOYSA-N	
[Cl-].CN1[C+](Cl)N(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	UALIB-480	3-Chloro-2,4,6,8,9,11-hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5) ]-undec-3-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	QYHGXAVRPHPEKE-UHFFFAOYSA-M	
CN1C(=O)N(C)C23N(C)C(=O)N(C)C12N(C)C(N3C)=C1N(C)C23N(C)C(=O)N(C)C2(N(C)C(=O)N3C)N1C	UALIB-481	10-(2,4,6,8,9,11-Hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undec-3-ylidene)-2,4,6,8,9,11-hexamethyl-2,4,6,8,9,11-hexaazatricycloc{3.3.3.0(1,5)]undecane-3,7-dioxo	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VQDDIZFJTQQUIJ-UHFFFAOYSA-N	
CN1CN(C)C23N(C)C(=O)N(C)C12N(C)C(=O)N3C	UALIB-482	2,4,6,8,9,11-Hexamethyl-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0(1,5)]undecane-3,7-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	PLUDUMQNQZXWSF-UHFFFAOYSA-N	
[Cl-].[H][C+]1N(C)C23N(C)C(=O)N(C)C2(N1C)N(C)C(=O)N3C	UALIB-483	2,4,6,8,9,11-Hexamethyl-7,10-dioxo-2,4,6,8,9,11-hexaazatricyclo[3.3.3.0 (1,5)]-undec-3-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	BKYLNIVEDQXWAV-UHFFFAOYSA-M	
[H]N1C(=O)N([H])C2(\N=C/C3=CC=CC=C3)N([H])C(=O)N([H])C12\N=C/C1=CC=CC=C1	UALIB-484	3a,6a-Bis[(phenylmethylidene)amino]-tetrahydroimidazo[4,5-d]imidazoline-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	APHJIWBWCXJOHQ-YZLQMOBTSA-N	
C=CCN1C(=O)N(CC=C)C2(\N=C/C3=CC=CC=C3)N(CC=C)C(=O)N(CC=C)C12\N=C/C1=CC=CC=C1	UALIB-485	3a,6a-Bis[(phenylmethylidene)amino]-1,3,4,6-tetrakis(allyl)-tetrahydroimidazo[4,5-d]-imidazoline-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	IHYCRJDKTIQQRW-PUHRYQSPSA-N	
O=C1N2CC=CCN3C(=O)N4CC=CCN1C4(\N=C/C1=CC=CC=C1)C23\N=C/C1=CC=CC=C1	UALIB-486	3a,6a-Bis[(phenylmethylidene)amino]-1,6,8,13-tetraazatetracyclo[11.2.1.0 (6,15) .0 (8,14)]hexadeca-3,10-diene-7,16-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	LWITUFGJJQDJAR-RSSRHXQMSA-N	
NC12N3CC=CCN1C(=O)N1CC=CCN(C3=O)C21N	UALIB-487	3a,6a-Diamino-1,6,8,13-tetraazatetracyclo[11.2.1.0 (6,15) .0 (8,14) ]hexadeca-3,10-diene-7,16-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VZOFOLBAAYSOCW-UHFFFAOYSA-N	
O=C1NC23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1	UALIB-488	1,6,8,13,15,17-Hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	ONQZOXWLNKBFQP-UHFFFAOYSA-N	
ClCC(=O)N1C(=O)N(C(=O)CCl)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	UALIB-489	15,17-bis(2-chloroacetyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	IMUJEQPZMQLUOQ-UHFFFAOYSA-N	
O=C1N(CC#N)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1CC#N	UALIB-490	15,17-Bis(cyanomethyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VEHHHASTNCRQEZ-UHFFFAOYSA-N	
C=CCN1C(=O)N(CC=C)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	UALIB-491	15,17-Bis(allyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	HSVKSULNKBVYJX-UHFFFAOYSA-N	
[H]N1C(=O)N([H])C2([H])N([H])C(=O)N([H])C12[H]	UALIB-492	Octahydroimidazo[4,5-d]imidazolidine-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VPVSTMAPERLKKM-UHFFFAOYSA-N	
