SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCOC(=O)\C=C/C1=CC=CC=C1	UALIB-616	Compound 34a	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	KBEBGUQPQBELIU-HJWRWDBZSA-N
CCOC(=O)\C=C/C1=CC=C(F)C=C1	UALIB-617	Compound 34b	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	UNAXNPTZJKKUGO-YVMONPNESA-N
CCOC(=O)\C=C/C1=C(C)C=CC=C1	UALIB-618	Compound 34c	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	FVVNCRMEGJFCPL-HJWRWDBZSA-N
CCOC(=O)\C=C/C1=CC=CC(OC)=C1	UALIB-619	Compound 34d	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	UPOMPRQKAGEXPN-FPLPWBNLSA-N
CCOC(=O)\C=C(\C)C1=CC=CC=C1	UALIB-620	Compound 34e	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	BSXHSWOMMFBMLL-KTKRTIGZSA-N
CCOC(=O)\C=C/C1=CC=C(OC)C=C1	UALIB-621	Compound 34f	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	DHNGCHLFKUPGPX-TWGQIWQCSA-N
CCOC(=O)\C=C/C1=C(C)C=C(C)C=C1C	UALIB-622	Compound 34g	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	QTLOYKCWYODNOC-SREVYHEPSA-N
[2H]\C(=C\C1=CC=CC=C1)C(=O)OCC	UALIB-623	Compound 34h	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	KBEBGUQPQBELIU-DPGMDDFWSA-N
CCCCCC\C=C/C(=O)OCC	UALIB-624	Compound 34i	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	ZCSDUGXKKBIICL-KTKRTIGZSA-N
CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=CC=C1	UALIB-625	Compound 67	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	LJXIUDZTIJVURM-SSZFMOIBSA-N
CCOC(=O)C(=C/C1=CC=C(F)C=C1)\C(O)C1=CC=CC=C1	UALIB-626	Compound 68	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	ZMJGNPSGTSPCMK-VBKFSLOCSA-N
CCOC(=O)C(=C/C1=C(C)C=CC=C1)\C(O)C1=CC=CC=C1	UALIB-627	Compound 69	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	LPMCBQCZKQJSLO-LGMDPLHJSA-N
CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(OC)C=C1	UALIB-628	Compound 70	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	JSUJBJVYPKEQAD-LGMDPLHJSA-N
CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(F)C=C1	UALIB-629	Compound 71	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	XZANKYDMGLFMBL-VBKFSLOCSA-N
CCOC(=O)C(=C/C1=CC=CC=C1)\C(O)C1=CC=C(C)C=C1	UALIB-630	Compound 72	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	UVYDBIBSCXIZOO-LGMDPLHJSA-N
CCCCCC(O)C(=C\C1=CC=C(F)C=C1)\C(=O)OCC	UALIB-631	Compound 73	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	PCULOKXYBSVMDO-QINSGFPZSA-N
CCCCCC(O)C(=C\C1=C(C)C=CC=C1)\C(=O)OCC	UALIB-632	Compound 74	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	GIHDRIKOWKAWLP-SSZFMOIBSA-N
CCCCCC(O)C(=C\C1=CC=CC=C1)\C(=O)OCC	UALIB-633	Compound 75	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	YDDBNRMDGPXBHP-SQFISAMPSA-N
CCCCCC\C=C(\C(O)C1=CC=CC=C1)C(=O)OCC	UALIB-634	Compound 76	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	WXFAZFIEBMLHMI-PEZBUJJGSA-N
CCCCCC\C=C(\C(O)CCCCC)C(=O)OCC	UALIB-635	Compound 77	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	ZAWQFEQLYVVYGM-SQFISAMPSA-N
CCOC(=O)C(\C(O)C1=CC=CC=C1)=C(/C)C1=CC=CC=C1C.CCOC(=O)C(\C(O)C1=CC=CC=C1)=C(\C)C1=C(C)C=CC=C1	UALIB-636	Compound 79 E/Z	Hendrix, A.J.M. Novel methodologies via the catalytic carbocupration of alkynoates and the total synthesis of (+)-aspergillide B. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/951	CGVXFYVVZLHPKL-WNOMTAPNSA-N
