SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	UALIB-558	Benzalkonium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	MWUHQHMBGSKYNW-UHFFFAOYSA-M
O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	UALIB-559	Didecyldimethylammonium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	VFQMDEVHBKOBGK-UHFFFAOYSA-M
O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	UALIB-560	Hexadecylpyridinium saccharinate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	DQYAWGYRXQBLRC-UHFFFAOYSA-M
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	UALIB-561	Benzalkonium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	HIYOKNWXQNEGKE-UHFFFAOYSA-M
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	UALIB-562	Didecyldimethylammonium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	XGOHUVCAZTVMMP-UHFFFAOYSA-M
CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	UALIB-563	Hexadecylpyridinium acesulfamate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	WCIYCFBSYSKHFI-UHFFFAOYSA-M
CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	UALIB-564	Benzalkonium Ibuprofenate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	FASUCKLZJDNNHP-UHFFFAOYSA-M
CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	UALIB-565	Didecyldimethylammonium Ibuprofenate	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	DXLTWFWUCYVSNS-UHFFFAOYSA-M
CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	UALIB-566	Benzalkonium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	VRXDOMSXMOCVFH-UHFFFAOYSA-M
CC(=O)N=S([O-])(=O)C1=CC=C(N)C=C1.CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	UALIB-567	Didecyldimethylammonium Sulfacetamide	Hough, W.L. Functional Ionic Liquids for use in Pharmaceutical Applications. Ph.D. Thesis, The University of Alabama, 2010.	https://ir.ua.edu/handle/123456789/848	LRHPWRMTAIJYLP-UHFFFAOYSA-M
