SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H]\C(=C(\[H])C(O)(C1=CN=C(Cl)N1C)C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2880	99a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	AKSFJXCUMHAJKP-OUKQBFOZSA-N
[H]\C(=C(\[H])C(O)(C1=CN=C(Cl)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2881	99b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	YIJBWWPYVBQXBM-ZHACJKMWSA-N
[H]\C(=C(\[H])C(O)(C1=CN(C)C(=S)N1C)C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2882	119a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	VRAVECHBJJXDAU-BUHFOSPRSA-N
[H]\C(=C(\[H])C(O)(C1=CN(C)C(=S)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2883	119b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	OHVYVJVDTCFFPC-VAWYXSNFSA-N
[H]\C(=C(\[H])C(O)(C1=CN(C(C)C)C(=S)N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2884	119c	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	SSVHBSGRPHRNOE-OUKQBFOZSA-N
CC1=CC(C)=C(N2C=C(N(C2=S)C2=C(C)C=C(C)C=C2C)C(O)(\C=C\C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C(C)=C1	UALIB-2885	119d	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	YNSWMLZTMITQDC-FOCLMDBBSA-N
[H]C(CC(=O)C1=CC=C(Cl)C=C1)(C1=CN(C(=S)N1C(C)(C)C)C(C)(C)C)C1=CC=C(Cl)C=C1	UALIB-2886	121	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	HLLSXUVXRTTXKB-UHFFFAOYSA-N
[H]C1([H])C(=C2N(C)C(=S)N(C)C2=C1C1=CC=CC=C1)C1=CC=CC=C1	UALIB-2887	122a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	UGROGFBXEXBTQJ-UHFFFAOYSA-N
[H]C1([H])C(=C2N(C)C(=S)N(C)C2=C1C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2888	122b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	WIWIUONIDWIRHB-UHFFFAOYSA-N
CC1=CC(C)=C(N2C(=S)N(C3=C(CC(=C23)C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C2=C(C)C=C(C)C=C2C)C(C)=C1	UALIB-2889	122c	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	FCICIJCTNMNNIF-UHFFFAOYSA-N
CC(C)N1C(=S)N(C)C2=C1C(=CC2C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1.[H]C1([H])C(=C2N(C)C(=S)N(C(C)C)C2=C1C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2890	124 and 125	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	OWXJJOVZCKJETE-UHFFFAOYSA-N
F[B-](F)(F)F.[H]C1=C(C2=C(N(C)[C+](SC)N2C)C1([H])C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2891	134	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	CEYQXQNXIRGMRY-UHFFFAOYSA-N
[H]C1=C(C2=C([C-]1C1=CC=C(Cl)C=C1)N(C)[C+](SC)N2C)C1=CC=C(Cl)C=C1	UALIB-2892	137	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	PAEOQLCCWIBNRO-UHFFFAOYSA-N
[H][C+]1N(C)C2=C([C-]([H])C(=C2N1C)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	UALIB-2893	138	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	PJGANQRMSJBBAS-UHFFFAOYSA-N
[H]C1([H])N(C)C2=C(C3=CC=C(Cl)C=C3)C([H])([H])C(=C2N1C)C1=CC=C(Cl)C=C1	UALIB-2894	139	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	FQDAHWLFGONYBE-UHFFFAOYSA-N
