SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=CC(CCO)=C1	UALIB-663	2-[3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-phenyl]-ethanol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	OYRLNIVFLLKCNB-UHFFFAOYSA-N
[H]C(=O)CC1=CC(O[Si](C)(C)C(C)(C)C)=CC(O[Si](C)(C)C(C)(C)C)=C1	UALIB-664	[3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-phenyl]-acetaldehyde	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	JSLMRBGISYDMIL-UHFFFAOYSA-N
CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=CC(C[C@H](O)CC=C)=C1	UALIB-665	1-[3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-phenyl]-pent-4-en-2-ol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	RSGZSFOEVWHJFP-LJQANCHMSA-N
CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=CC(C[C@H](O)CCCO)=C1	UALIB-666	5-[3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-phenyl]-pentane-1,4-diol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	PELOXJSYOQRXHM-LJQANCHMSA-N
CC(C)(C)[Si](C)(C)OC1=CC(O[Si](C)(C)C(C)(C)C)=CC(C[C@H]2CCC(=O)O2)=C1	UALIB-667	5-[3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-benzyl]-dihydro-furan-2-one	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	DXPWORSSAPZRJD-GOSISDBHSA-N
[H][C@]12CC[C@](C)(O1)C1=C(O[Si](C)(C)C(C)(C)C)C=C(O[Si](C)(C)C(C)(C)C)C=C1C2	UALIB-668	3,5-Bis-(tert-butyl-dimethyl-silanyloxy)-1-methyl-12-oxa-tricyclo[7.2.1.0(2,7) ]dodeca-2,4,6-triene	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	YZXZIEZCBGDBJY-KOSHJBKYSA-N
[H][C@]12CC[C@](C)(O1)C1=C(O)C=C(O)C=C1C2	UALIB-669	(+)-Bruguierol C	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	NPBAXCRDRPTPBM-SKDRFNHKSA-N
COC1=C(C)C=CC(C(C)C)=C1OC	UALIB-670	6-Methyl-3-isopropylveratrol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	REQCNFPLPYDNEG-UHFFFAOYSA-N
[H][C@]12C[C@@]3([H])CC(C)(C)CC[C@@]3(CC3=C(OC)C(OC)=C(C=C13)C(C)C)O2	UALIB-671	Brussonol dimethyl ether	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	LUQBVOLZVKXBCW-SDYXESRWSA-N
CCC[C@@H](O)CC=C	UALIB-672	R-Hept-1-en-4-ol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	AQTUHJABKZECGA-ZETCQYMHSA-N
[H]C(=O)C[C@@H](CCC)OCC1=CC=CC=C1	UALIB-673	3R-Benzyloxy-hexanal	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	ANESVLVAPNIUQJ-CYBMUJFWSA-N
CCC[C@H](C[C@H](O)CC=C)OCC1=CC=CC=C1	UALIB-674	6R-Benzyloxy-non-1-en-4R-ol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	KDSKBEMOFBHLOJ-HZPDHXFCSA-N
CCC[C@H](C[C@@H](CC=C)OC(=O)CBr)OCC1=CC=CC=C1	UALIB-675	Bromo-acetic acid 1R-(2R-benzyloxy-pentyl)-but-3-enyl ester	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	ORLJUCZWOATDEN-IAGOWNOFSA-N
CCC[C@H](C[C@@H](CC(C)=O)OC(=O)CBr)OCC1=CC=CC=C1	UALIB-676	Bromo-acetic acid 3-benzyloxy-1-(2-oxo-propyl)-hexyl ester	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	IXMWVHMUNHVEKP-IAGOWNOFSA-N
CCC[C@H](C[C@H]1C[C@](C)(O)CC(=O)O1)OCC1=CC=CC=C1	UALIB-677	6-(2-Benzyloxy-pentyl)-4-hydroxy-4-methyl-tetrahydro-pyran-2-one	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	JAHXMSNIAAGHDC-RYRKJORJSA-N
CCC[C@H](C[C@H]1CC(C)=CC(=O)O1)OCC1=CC=CC=C1	UALIB-678	6-(2-Benzyloxy-pentyl)-4-methyl-5,6-dihydro-pyran-2-one	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	VYZZHNAHLMWYJB-IAGOWNOFSA-N
CCC[C@H](C[C@H](O)CC(C)=C)OCC1=CC=CC=C1	UALIB-679	6R-Benzyloxy-2-methyl-non-1-en-4R-ol	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	JJIDYFCPMIMJIC-IAGOWNOFSA-N
CCC[C@H](C[C@@H](CC(C)=C)OC(=O)C=C)OCC1=CC=CC=C1	UALIB-680	Acrylic acid 1R-(2R-benzyloxy-pentyl)-3-methyl-but-3-enyl ester	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	YTIVJLRMTYJIHI-RTBURBONSA-N
CCC[C@@H](O)C[C@H]1C[C@@H](C)CC(=O)O1	UALIB-681	6-(2-Hydroxy-pentyl)-4-methyl-tetrahydro-pyran-2-one	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	LWERBNXQTPNVFM-OPRDCNLKSA-N
CCC[C@H](C[C@H]1C[C@@H](C)CC(=O)O1)O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-682	6-[2-(tert-Butyl-diphenyl-silanyloxy)-pentyl]-4-methyl-tetrahydro-pyran-2-one	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	NSDQAWOXVCLYFR-DNVJHFABSA-N
CCC[C@H](C[C@H](O)C[C@@H](C)CC(=O)N(C)OC)O[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-683	7-(tert-Butyl-diphenyl-silanyloxy)-5-hydroxy-3-methyl-decanoic acid methoxy-methyl-amide	Martinez, D.S. Syntheses of C-glycoside natural products via oxocarbenium cationic intermediates. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1063	SIZSFSQFKFHUAQ-UBFVSLLYSA-N
