SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C=CN3CC(O[Ru](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1023	ruthenium complex 56	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	MAVYSTUNWBUQJS-UHFFFAOYSA-N
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C=CN3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1024	ruthenium alkylidene 59	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	AHMHBNHPZURXLH-UHFFFAOYSA-N
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1025	ruthenium alkylidene 60	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	GZBIRAAGZUGHQJ-UHFFFAOYSA-N
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C(=C(N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C1=CC=CC=C1)C(F)(F)F	UALIB-1026	ruthenium alkylidene 61	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	OMWWYTYWQUVNEK-UHFFFAOYSA-N
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C3=CC=CC=C3N3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1027	ruthenium alkylidene 62	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	MITUAVTYHSMQAD-UHFFFAOYSA-N
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1.FC(F)(F)C1(CN2C=NN3CC(O[Ru](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1028	ruthenium alkylidene 63	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	VFGJPMDGSONKPN-UHFFFAOYSA-N
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C=CN3CC(O[Fe](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1029	iron complex 65	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	DJUBRGAOMUYNEB-UHFFFAOYSA-N
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Fe](O1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1030	iron complex 66	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	GPIDHFLTFUCDJD-UHFFFAOYSA-N
C1=CC=C(C=C1)P(C1=CC=CC=C1)C1=CC=CC=C1.FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(O[Fe](O1)(=CC1=CC=CC=C1)=C23)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1031	iron alkylidene 68	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	IUGHIRSLWBOOED-UHFFFAOYSA-N
CN1[C]N(C)C(C)=C1C.FC(F)(F)C1(O[Si]2(OC(C3=C2C=CC=C3)(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)C(F)(F)F |c:6,18,21,23,34,37,39,^3:2|	UALIB-1032	spirosilane 37	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	JKZDIDBJPHJMBJ-UHFFFAOYSA-N
