SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C=CN1CC([O-])(C(F)(F)F)C(F)(F)F	UALIB-1004	zwitterion 11	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	LVHZYAOHCLZISL-UHFFFAOYSA-N
[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(Cl)=C(Cl)N1CC([O-])(C(F)(F)F)C(F)(F)F	UALIB-1005	zwitterion 12	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	RUWNMIRVOFKJSE-UHFFFAOYSA-N
[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C(=C(N1CC([O-])(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C1=CC=CC=C1	UALIB-1006	zwitterion 13	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	HXDHBRXYUFFZAJ-UHFFFAOYSA-N
[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)C2=C(C=CC=C2)N1CC([O-])(C(F)(F)F)C(F)(F)F	UALIB-1007	zwitterion 14	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	BTNZSNNFBONINW-UHFFFAOYSA-N
[H]C1=[N+](CC(O)(C(F)(F)F)C(F)(F)F)N=CN1CC([O-])(C(F)(F)F)C(F)(F)F	UALIB-1008	zwitterion 15	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	FMAVLRBJPBWAPC-UHFFFAOYSA-N
[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C=C1)(C(F)(F)F)C(F)(F)F |c:17,^3:6|	UALIB-1009	carbene 21	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	IODJVCABMZELOG-UHFFFAOYSA-N
[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(Cl)=C1Cl)(C(F)(F)F)C(F)(F)F |c:18,^3:6|	UALIB-1010	carbene 22	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	XKMONGOSWBATJA-UHFFFAOYSA-N
[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C(=C1C1=CC=CC=C1)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F |c:17,22,24,29,31,t:20,27,^3:6|	UALIB-1011	carbene 23	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	YRHJKDFOCRQOND-UHFFFAOYSA-N
[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)C2=C1C=CC=C2)(C(F)(F)F)C(F)(F)F |c:17,20,22,^3:6|	UALIB-1012	carbene 24	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	CIQRLHAFNRGPAW-UHFFFAOYSA-N
[K+].[K+].[O-]C(CN1[C]N(CC([O-])(C(F)(F)F)C(F)(F)F)N=C1)(C(F)(F)F)C(F)(F)F |c:17,^3:6|	UALIB-1013	carbene 25	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	GCLOFQMDPWDBEW-UHFFFAOYSA-N
FC(F)(F)C1(CN2C=CN3CC(OC23O1)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1014	spiroketal 39	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	CMIVYIUUSKHDOT-UHFFFAOYSA-N
FC(F)(F)C1(CN2C(Cl)=C(Cl)N3CC(OC23O1)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1015	spiroketal 40	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	JZRNQPBZSSLGLD-UHFFFAOYSA-N
FC(F)(F)C1(CN2C(=C(N3CC(OC23O1)(C(F)(F)F)C(F)(F)F)C1=CC=CC=C1)C1=CC=CC=C1)C(F)(F)F	UALIB-1016	spiroketal 41	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	WCTDXJUCNLQTKH-UHFFFAOYSA-N
FC(F)(F)C1(CN2C3=C(C=CC=C3)N3CC(OC23O1)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1017	spiroketal 42	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	MTXVDYWLVQAUFW-UHFFFAOYSA-N
FC(F)(F)C1(CN2C=NN3CC(OC23O1)(C(F)(F)F)C(F)(F)F)C(F)(F)F	UALIB-1018	spiroketal 43	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	AAEHGWYATSPRCY-UHFFFAOYSA-N
[H]C1([H])N(C=CN1C(C)(C)C)C(C)(C)C	UALIB-1019	aminal 84	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	WLZCDCXFXATHNC-UHFFFAOYSA-N
[H]C1=[N+](C=C(N1C(C)(C)C)C(=O)[Fe-](C=O)(C=O)(C=O)C=O)C(C)(C)C	UALIB-1020	imidazolium acyl ferrate 98	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	KLVHEZKFUKUTAF-UHFFFAOYSA-N
[O-]S(=O)(=O)C(F)(F)F.[H]C1=[N+](C=C(N1C(C)(C)C)C(C)=O)C(C)(C)C	UALIB-1021	imidazolium salt 99	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	CTNJKBPUUZZAEZ-UHFFFAOYSA-M
[Cl-].[H]C(=O)C1=C[N+](=C([H])N1C(C)(C)C)C(C)(C)C	UALIB-1022	imidazolium salt 100	Runyon, J.W. Fluoroalkoxy-functionalized carbenes for main group and transition metal complexes. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1045	GZMCSGOUGMHBNJ-UHFFFAOYSA-M
