SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
BrCC(Br)C1=CC=C(Br)C=C1	UALIB-719	Compound 1	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	NRUIEVHCKHZAHT-UHFFFAOYSA-N
BrC1=CC=C(C=C1)C#C	UALIB-720	Compound 2	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	LTLVZQZDXQWLHU-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)\C=C(\I)C1=CC=C(Br)C=C1	UALIB-721	Compound 3	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	ADMVPSHVFMPIEZ-XNTDXEJSSA-N
CC1=CC=C(C=C1)S(=O)(=O)C#CC1=CC=C(Br)C=C1	UALIB-722	Compound 4	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	NYGGYXNHEOZGCQ-UHFFFAOYSA-N
CC1=CC=C(C=C1)S(=O)(=O)C1=C(C2CC1C=C2)C1=CC=C(Br)C=C1	UALIB-723	4-BrPh-N-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	XVMYPIWWGZMGMX-UHFFFAOYSA-N
COC1=CC=C(NC2=CC=C(OC)C=C2)C=C1	UALIB-724	Compound 5	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	VCOONNWIINSFBA-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C(C)=O)C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	UALIB-725	Compound 6	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	XLMORSDAOOIXTL-UHFFFAOYSA-N
COC1=CC=C(NC2=CC=C(C=C2)N(C2=CC=C(OC)C=C2)C2=CC=C(OC)C=C2)C=C1	UALIB-726	Compound 7	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	AUUPCARFKACPJG-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C1=C(C2CC1C=C2)S(=O)(=O)C1=CC=C(C)C=C1	UALIB-727	AA-N-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	CNQIPPIOZUAQMF-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C12C3CC4C(C13)C24S(=O)(=O)C1=CC=C(C)C=C1	UALIB-728	AA-Q-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	SYJSYCBUCGNYGT-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C1=C(C2CC1C=C2)S(=O)(=O)C1=CC=C(C)C=C1	UALIB-729	PD-N-Ts	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	PSAFSZMSUIOZJG-UHFFFAOYSA-N
CC(=O)C1=C(C2CC1C=C2)C1=CC=CC=C1	UALIB-730	Ph-N-Ac	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	UNEHANCGQJFLQS-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(C=C1)S([Na])(=O)=O	UALIB-731	Compound 8	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	PAMCPPAOEYFGRC-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)\C=C(\I)C1=CC=C(Br)C=C1	UALIB-732	Compound 9	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	ZYBBMOWLFYPVMK-NTEUORMPSA-N
[O-][N+](=O)C1=CC=C(OCCCOC2=CC=C(C=C2)[N+]([O-])=O)C=C1	UALIB-733	Compound 10	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	LWXLFOWPHMXKCX-UHFFFAOYSA-N
[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)C1=C(C2CC1C=C2)C1=CC=C(Br)C=C1	UALIB-734	4-BrPh-N-Ns	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	QACQJFMMDAWHCU-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)C1=C(C2CC1C=C2)S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O	UALIB-735	AA-N-Ns	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	INXIXADFCYBPKM-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(NC3=CC=C(OC)C=C3)=CC(Cl)=C2)C=C1	UALIB-736	Cl-mPD	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	VSTRINZRYKCHPB-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(NC3=CC=C(OC)C=C3)=CC(F)=C2)C=C1	UALIB-737	F-mPD	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	SGNJYSCDYUWILJ-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(NC3=CC=C(OC)C=C3)=CC(Br)=C2)C=C1	UALIB-738	Br-mPD	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	OJGVLEQMFACNHJ-UHFFFAOYSA-N
CSC1=CC=C(NC2=CC(NC3=CC=C(SC)C=C3)=CC(Cl)=C2)C=C1	UALIB-739	Cl-mPD-Sme	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	RQOJNGGVDOEXGL-UHFFFAOYSA-N
COC1=CC=C(NC2=CC(NC3=CC=C(OC)C=C3)=CC=C2)C=C1	UALIB-740	H-mPD	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	JJGYZGWHHMEVBD-UHFFFAOYSA-N
CC(C)OC1=CC=C(NC2=CC(NC3=CC=C(OC(C)C)C=C3)=CC(Cl)=C2)C=C1	UALIB-741	Cl-mPD-OiPr	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	WVRHGKOHZBERGZ-UHFFFAOYSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	UALIB-742	TAPD	Gray, L.T. The application of arylamines as redox auxiliaries, polar crystals, and organic semiconductors. Ph.D. Thesis, The University of Alabama, 2012.	https://ir.ua.edu/handle/123456789/1462	TXWHKSPUCZONIE-UHFFFAOYSA-N
