SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC[Si](CC)(CC)O[C@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)CC=C	UALIB-743	(S)-7-Allyl-9,9-diethyl-2,2-dimethyl-3,3-diphenyl-4,8-dioxa-3,9-disilaundecane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	SCUDZGJRKMSJSA-VWLOTQADSA-N
CC[Si](CC)(CC)O[C@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)CC(C)=O	UALIB-744	(R)-6-((tert-Butyldiphenylsilyl)oxy)-4-((triethylsilyl)oxy)hexan-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	PVTQJKIQUZHJCD-RUZDIDTESA-N
CC(=O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-745	(R)-6-((tert-Butyldiphenylsilyl)oxy)-4-hydroxyhexan-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	UJDVEWVSZRPJMG-LJQANCHMSA-N
C[C@H](O)C[C@H](O)CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	UALIB-746	(2S,4R)-6-((tert-Butyldiphenylsilyl)oxy)hexane-2,4-diol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	IGWZBTCIRDFFIL-RBUKOAKNSA-N
COCO[C@@H](C)C[C@@H](CCO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)OCOC	UALIB-747	(5S,7R)-7-(Methoxymethoxy)-5,12,12-trimethyl-11,11-diphenyl-2,4,10-trioxa-11-silatridecane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	QOGITJFXWAVHNE-XZOQPEGZSA-N
COCO[C@@H](C)C[C@@H](CCO)OCOC	UALIB-748	(3R,5S)-3,5-bis(Methoxymethoxy)hexan-1-ol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	IEVXMAJSIRTHKJ-VHSXEESVSA-N
[H]C(=O)C[C@H](C[C@H](C)OCOC)OCOC	UALIB-749	(3S,5S)-3,5-bis(Methoxymethoxy)hexanal	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	CTPNBIMNXMNRSJ-VHSXEESVSA-N
COCO[C@@H](C)C[C@@H](C[C@H](O)CC=C)OCOC	UALIB-750	(4R,6R,8S)-6,8-bis(Methoxymethoxy)non-1-en-4-ol	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	UVYIDBIQPTVZCG-XQQFMLRXSA-N
COCO[C@@H](C)C[C@@H](C[C@H](O)C\C=C\C(=O)OC)OCOC	UALIB-751	(5R,7R,9S,E)-Methyl 5-hydroxy-7,9-bis(methoxymethoxy)dec-2-enoate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	XDSDLVNMGPFBNS-RTBFPQRFSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](CC(=O)OC)O[C@H](O1)C1=CC=CC=C1)OCOC	UALIB-752	Methyl 2-((2S,4S,6S)-6-((2S,4S)-2,4-bis(methoxymethoxy)pentyl)-2-phenyl-1,3-dioxan-4-yl)acetate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	ZIILOHIXPVWIAD-OYJIISJGSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@H](O)CC(=O)O1)OCOC	UALIB-753	(4S,6R)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-hydroxytetrahydro-2H-pyran-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	BKIMDITXKLAKDV-ZDEQEGDKSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](CC(=O)O1)O[Si](C)(C)C(C)(C)C)OCOC	UALIB-754	(4S,6S)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-((tert-butyldimethylsilyl)oxy)tetrahydro-2H-pyran-2-one	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	SOXHOFQLKWLYFH-XSLAGTTESA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](CC(OC(C)=O)O1)O[Si](C)(C)C(C)(C)C)OCOC	UALIB-755	(4S,6S)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-((tert-butyldimethylsilyl)oxy)tetrahydro-2H-pyran-2-yl acetate	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	LOMKGHVJVPVPFA-CFDYWWKCSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](C[C@H](CC=C)O1)O[Si](C)(C)C(C)(C)C)OCOC	UALIB-756	(((2S,4R,6S)-2-Allyl-6-((2S,4S)-2,4-bis(methoxymethoxy)pentyl)tetrahydro-2H-pyran-4-yl)oxy)(tert-butyl)dimethylsilane	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	ZTYLYRCOKDJTAV-KNOXWWKRSA-N
[H]C(=O)C[C@H]1C[C@H](C[C@H](C[C@H](C[C@H](C)OCOC)OCOC)O1)O[Si](C)(C)C(C)(C)C	UALIB-757	2-((2R,4S,6S)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-((tert-butyldimethylsilyl)oxy)tetrahydro-2H-pyran-2-yl)acetaldehyde	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	YYRVIJZYYRDPEP-UQVNRYHBSA-N
COCO[C@@H](C)C[C@@H](C[C@H]1C[C@@H](C[C@H](CC(O)=O)O1)O[Si](C)(C)C(C)(C)C)OCOC	UALIB-758	2-((2R,4S,6S)-6-((2S,4S)-2,4-bis(Methoxymethoxy)pentyl)-4-((tert-butyldimethylsilyl)oxy)tetrahydro-2H-pyran-2-yl)acetic acid	Albury, A.M.M. Total syntheses of (-)-cryptocaryolone and (-)-cryptocaryolone diacetate, progress towards the total syntheses of (±)-sinensigenin A and C and the development of a novel electrophilic allylsilane methodology. Ph.D. Thesis, The University of Alabama, 2013. 	https://ir.ua.edu/handle/123456789/1769	AJHUICSBCAFSGN-FSGKZVOOSA-N
