SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
BrC1=CC=C(C=C1)N=O	UALIB-900	p-Br-nitrosobenzene	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	KEBOFPCXLHRSEG-UHFFFAOYSA-N
BrC1=CC=C(C=C1)\N=N\C1=CC=CC=C1	UALIB-901	p-Br-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	SVJSEJOASMWXGQ-CCEZHUSRSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(C=C1)\N=N\C1=CC=CC=C1	UALIB-902	pAA-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	WIULIUSUAVALJO-BYYHNAKLSA-N
COC1=CC=C(C=C1)\N=N\C1=CC=C(Br)C=C1	UALIB-903	p-Br-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	IIOGSSUNUYQYJQ-FOCLMDBBSA-N
COC1=CC=C(C=C1)\N=N\C1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	UALIB-904	pAA-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	OJHGNXVTWNXTMA-ZQHSETAFSA-N
BrC1=CC(=CC=C1)N=O	UALIB-905	m-Bromo-nitrosobenzene	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	RHIKGCGTJHKUGB-UHFFFAOYSA-N
BrC1=CC=CC(=C1)\N=N\C1=CC=CC=C1	UALIB-906	mBr-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	FMNSVCUNXLMOSA-CCEZHUSRSA-N
COC1=CC=C(C=C1)\N=N\C1=CC(Br)=CC=C1	UALIB-907	mBr-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	QCRMYCJHEMBMKR-FOCLMDBBSA-N
COC1=CC=C(C=C1)N(C1=CC=C(OC)C=C1)C1=CC=CC(=C1)\N=N\C1=CC=CC=C1	UALIB-908	mAA-Ph-N=N-Ph	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	BLJPJDJJVQAKOU-BYYHNAKLSA-N
COC1=CC=C(C=C1)\N=N\C1=CC(=CC=C1)N(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1	UALIB-909	mAA-Ph-N=N-An	Saint-Louis, C.J. Control of molecular geometries using new photo-electro-switchable azobenzenes. Ph.D. Thesis, The University of Alabama, 2015.	https://ir.ua.edu/handle/123456789/2504	VQUYEOGIAPLVTI-ZQHSETAFSA-N
