SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCOC(=O)C(=C/CC1=CC=CC=C1)\[Si](C)(C)C	UALIB-923	E47f	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	ZBEVAVVNEKQTRF-WYMLVPIESA-N
CCOC(=O)C(=C/C)\[Si](CC)(CC)CC	UALIB-924	E47h	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	VCWXBWQMQAIEGA-IZZDOVSWSA-N
CCOC(=O)C(=C/CC)\[Si](C)(C)C	UALIB-925	E47i	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	ZURPOQSZDMBVNI-CMDGGOBGSA-N
CCOC(=O)C(=C/CC)\[Si](CC)(CC)CC	UALIB-926	E47j	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PIQXJNJDGJKCLE-VAWYXSNFSA-N
CCOC(=O)C(=C/C(C)C)\[Si](C)(C)C	UALIB-927	E47k	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	JHBPXFOSHUSESD-CSKARUKUSA-N
CCOC(=O)C(=C/C[Si](C)(C)C)\[Si](C)(C)C	UALIB-928	E47l	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	YLJGWJLMVYKXHS-PKNBQFBNSA-N
CCOC(=O)C(=C/C[Si](C)(C)C)\[Si](CC)(CC)CC	UALIB-929	E47m	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	BLGDMEGQCMXOLS-WYMLVPIESA-N
CCOC(=O)C(=C(\C)C[Si](C)(C)C)\[Si](C)(C)C	UALIB-930	E47n	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PDWSRHIDCHJFFZ-VAWYXSNFSA-N
CCOC(=O)C(\C=C\C)[Si](C)(C)C	UALIB-931	E61.11	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	JZKCAGZYQGSTIF-SOFGYWHQSA-N
CCOC(=O)C(\C=C\C1=CC=CC=C1)[Si](C)(C)C	UALIB-932	E61.38	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	ZNDZNQZREZZBTQ-VAWYXSNFSA-N
